"('05RW0339_001s', '05RW0339_001', '05RW0339', '05RW', 'NULL', '339', 'NULL', 'self', 'NULL', 'NULL', 'NULL', 'B73_[32-24]_01', 'NULL', '15', 'NULL', 'P30_Et4(F2s)', 'NULL', 'NULL')"
"('05RW0339_001s', '05RW0339_001', '05RW0339', '05RW', 'NULL', '339', 'NULL', 'self', 'NULL', 'NULL', 'NULL', 'B73_[32-24]_01', 'NULL', '15', 'NULL', 'P30_Et4(F2s)', 'NULL', 'NULL')"
"('05RW0339_001s', '05RW0339_001', '05RW0339', '05RW', 'NULL', '339', 'NULL', 'self', 'NULL', 'NULL', 'NULL', 'B73_[32-24]_01', 'NULL', '15', 'NULL', 'P30_Et4(F2s)', 'NULL', 'NULL')"
"('05RW0339_001s', '05RW0339_001', '05RW0339', '05RW', 'NULL', '339', 'NULL', 'self', 'NULL', 'NULL', 'NULL', 'B73_[32-24]_01', 'NULL', '15', 'NULL', 'P30_Et4(F2s)', 'NULL', 'NULL')"
"('05RW0339_001s', '05RW0339_001', '05RW0339', '05RW', 'NULL', '339', 'NULL', 'self', 'NULL', 'NULL', 'NULL', 'B73_[32-24]_01', 'NULL', '15', 'NULL', 'P30_Et4(F2s)', 'NULL', 'NULL')"
"('05RW0339_003s', '05RW0339_003', '05RW0339', '05RW', 'NULL', '339', 'NULL', 'self', 'NULL', 'NULL', 'NULL', 'B73_[32-24]_03', 'NULL', '15', 'NULL', 'P30_Et4(F2s)', 'NULL', 'NULL')"
"('05RW0339_003s', '05RW0339_003', '05RW0339', '05RW', 'NULL', '339', 'NULL', 'self', 'NULL', 'NULL', 'NULL', 'B73_[32-24]_03', 'NULL', '15', 'NULL', 'P30_Et4(F2s)', 'NULL', 'NULL')"
"('05RW0339_003s', '05RW0339_003', '05RW0339', '05RW', 'NULL', '339', 'NULL', 'self', 'NULL', 'NULL', 'NULL', 'B73_[32-24]_03', 'NULL', '15', 'NULL', 'P30_Et4(F2s)', 'NULL', 'NULL')"
"('05RW0339_003s', '05RW0339_003', '05RW0339', '05RW', 'NULL', '339', 'NULL', 'self', 'NULL', 'NULL', 'NULL', 'B73_[32-24]_03', 'NULL', '15', 'NULL', 'P30_Et4(F2s)', 'NULL', 'NULL')"
"('05RW0339_003s', '05RW0339_003', '05RW0339', '05RW', 'NULL', '339', 'NULL', 'self', 'NULL', 'NULL', 'NULL', 'B73_[32-24]_03', 'NULL', '15', 'NULL', 'P30_Et4(F2s)', 'NULL', 'NULL')"
"('05RW0339_003s', '05RW0339_003', '05RW0339', '05RW', 'NULL', '339', 'NULL', 'self', 'NULL', 'NULL', 'NULL', 'B73_[32-24]_03', 'NULL', '15', 'NULL', 'P30_Et4(F2s)', 'NULL', 'NULL')"
"('05RW0339_003s', '05RW0339_003', '05RW0339', '05RW', 'NULL', '339', 'NULL', 'self', 'NULL', 'NULL', 'NULL', 'B73_[32-24]_03', 'NULL', '15', 'NULL', 'P30_Et4(F2s)', 'NULL', 'NULL')"
"('05RW0339_003s', '05RW0339_003', '05RW0339', '05RW', 'NULL', '339', 'NULL', 'self', 'NULL', 'NULL', 'NULL', 'B73_[32-24]_03', 'NULL', '15', 'NULL', 'P30_Et4(F2s)', 'NULL', 'NULL')"
"('05RW0339_003s', '05RW0339_003', '05RW0339', '05RW', 'NULL', '339', 'NULL', 'self', 'NULL', 'NULL', 'NULL', 'B73_[32-24]_03', 'NULL', '15', 'NULL', 'P30_Et4(F2s)', 'NULL', 'NULL')"
"('05RW0339_003s', '05RW0339_003', '05RW0339', '05RW', 'NULL', '339', 'NULL', 'self', 'NULL', 'NULL', 'NULL', 'B73_[32-24]_03', 'NULL', '15', 'NULL', 'P30_Et4(F2s)', 'NULL', 'NULL')"
"('05RW0339_003s', '05RW0339_003', '05RW0339', '05RW', 'NULL', '339', 'NULL', 'self', 'NULL', 'NULL', 'NULL', 'B73_[32-24]_03', 'NULL', '15', 'NULL', 'P30_Et4(F2s)', 'NULL', 'NULL')"
"('05RW0339_003s', '05RW0339_003', '05RW0339', '05RW', 'NULL', '339', 'NULL', 'self', 'NULL', 'NULL', 'NULL', 'B73_[32-24]_03', 'NULL', '15', 'NULL', 'P30_Et4(F2s)', 'NULL', 'NULL')"
"('05RW0339_003s', '05RW0339_003', '05RW0339', '05RW', 'NULL', '339', 'NULL', 'self', 'NULL', 'NULL', 'NULL', 'B73_[32-24]_03', 'NULL', '15', 'NULL', 'P30_Et4(F2s)', 'NULL', 'NULL')"
"('05RW0339_003s', '05RW0339_003', '05RW0339', '05RW', 'NULL', '339', 'NULL', 'self', 'NULL', 'NULL', 'NULL', 'B73_[32-24]_03', 'NULL', '15', 'NULL', 'P30_Et4(F2s)', 'NULL', 'NULL')"
