10TS2002_001s,10TS2002_001,10TS2002,10TS,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TS2002_002s,10TS2002_002,10TS2002,10TS,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TS2002_003s,10TS2002_003,10TS2002,10TS,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TS2009_001s,10TS2009_001,10TS2009,10TS,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TS2009_002s,10TS2009_002,10TS2009,10TS,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TS2017_001s,10TS2017_001,10TS2017,10TS,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TS2017_002s,10TS2017_002,10TS2017,10TS,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TS2021_001s,10TS2021_001,10TS2021,10TS,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TS2021_002s,10TS2021_002,10TS2021,10TS,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TS2021_003s,10TS2021_003,10TS2021,10TS,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TS2023_001s,10TS2023_001,10TS2023,10TS,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TS2023_002s,10TS2023_002,10TS2023,10TS,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TS2023_003s,10TS2023_003,10TS2023,10TS,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TS2040_001s,10TS2040_001,10TS2040,10TS,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TS2040_002s,10TS2040_002,10TS2040,10TS,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TS2040_003s,10TS2040_003,10TS2040,10TS,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TS2046_001s,10TS2046_001,10TS2046,10TS,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TS2046_002s,10TS2046_002,10TS2046,10TS,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TS2046_003s,10TS2046_003,10TS2046,10TS,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TS2057_001s,10TS2057_001,10TS2057,10TS,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TS2057_002s,10TS2057_002,10TS2057,10TS,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TS2057_003s,10TS2057_003,10TS2057,10TS,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TS2061_001s,10TS2061_001,10TS2061,10TS,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TS2061_002s,10TS2061_002,10TS2061,10TS,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
