12TH0001,NULL,12TH,NULL,NULL,08CF2003_012s,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,8.06 Mapping population,34
12TH0002,NULL,12TH,NULL,NULL,08CF2003_012s,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,8.06 Mapping population,34
12TH0003,NULL,12TH,NULL,NULL,08CF2003_012s,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,8.06 Mapping population,34
12TH0004,NULL,12TH,NULL,NULL,08CF2003_012s,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,8.06 Mapping population,34
12TH0005,NULL,12TH,NULL,NULL,08CF2003_012s,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,8.06 Mapping population,34
12TH0006,NULL,12TH,NULL,NULL,08CF2003_012s,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,8.06 Mapping population,34
12TH0007,NULL,12TH,NULL,NULL,08CF2003_012s,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,8.06 Mapping population,34
12TH0008,NULL,12TH,NULL,NULL,08CF2003_012s,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,8.06 Mapping population,34
12TH0009,NULL,12TH,NULL,NULL,08CF2003_012s,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,8.06 Mapping population,34
12TH0010,NULL,12TH,NULL,NULL,08CF2003_012s,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,8.06 Mapping population,34
12TH0011,NULL,12TH,NULL,NULL,08CF2003_012s,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,8.06 Mapping population,34
12TH0012,NULL,12TH,NULL,NULL,08CF2003_012s,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,8.06 Mapping population,34
12TH0013,NULL,12TH,NULL,NULL,08CF2003_012s,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,8.06 Mapping population,34
12TH0014,NULL,12TH,NULL,NULL,08CF2003_012s,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,8.06 Mapping population,34
12TH0015,NULL,12TH,NULL,NULL,08CF2003_012s,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,8.06 Mapping population,34
12TH0016,NULL,12TH,NULL,NULL,08CF2003_012s,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,8.06 Mapping population,34
