07PK2352_002b,07PK2352_002,07PK2352,07PK,NULL,07PK2352,07PK2352,sib,NULL,NULL,NULL,Mo17,NULL,3,NULL,NULL,NULL,NULL
07PK2385_001b,07PK2385_001,07PK2385,07PK,NULL,07K2385,07K2385,sib,NULL,NULL,NULL,M37W,NULL,3,NULL,original source: 06ncai01 - Ames27133,NULL,NULL
07PK2451_001b,07PK2451_001,07PK2451,07PK,NULL,07K2451,07K2451,sib,NULL,NULL,NULL,M37W,NULL,3,NULL,original source: 06ncai01 - Ames27133,NULL,NULL
07PK2483_001b,07PK2483_001,07PK2483,07PK,NULL,07K2483,07K2483,sib,NULL,NULL,NULL,M37W,NULL,3,NULL,original source: 06ncai01 - Ames27133,NULL,NULL
07PK2488_001b,07PK2488_001,07PK2488,07PK,NULL,07K2488,07K2488,sib,NULL,NULL,NULL,M37W,NULL,3,NULL,original source: 06ncai01 - Ames27133,NULL,NULL
07PK2657_001b,07PK2657_001,07PK2657,07PK,NULL,07K2657,07K2657,sib,NULL,NULL,NULL,Hp301,NULL,3,NULL,original source: 94ncai01 - PI587131,NULL,NULL
07PK2665_001b,07PK2665_001,07PK2665,07PK,NULL,07K2665,07K2665,sib,NULL,NULL,NULL,Hp301,NULL,3,NULL,original source: 94ncai01 - PI587131,NULL,NULL
07PK2693_001b,07PK2693_001,07PK2693,07PK,NULL,07K2693,07K2693,sib,NULL,NULL,NULL,Hp301,NULL,3,NULL,original source: 94ncai01 - PI587131,NULL,NULL
07PK2708_001b,07PK2708_001,07PK2708,07PK,NULL,07K2708,07K2708,sib,NULL,NULL,NULL,Hp301,NULL,3,NULL,original source: 94ncai01 - PI587131,NULL,NULL
07PK2749_001b,07PK2749_001,07PK2749,07PK,NULL,07K2749,07K2749,sib,NULL,NULL,NULL,Hp301,NULL,3,NULL,original source: 94ncai01 - PI587131,NULL,NULL
07PK2862_001b,07PK2862_001,07PK2862,07PK,NULL,07K2862,07K2862,sib,NULL,NULL,NULL,Tx303,NULL,3,NULL,original source: 97ncab01 - Ames19327,NULL,NULL
07PK3044_001b,07PK3044_001,07PK3044,07PK,NULL,07K3044,07K3044,sib,NULL,NULL,NULL,MS71,NULL,3,NULL,original source: 94ncai03 - PI587137,NULL,NULL
07PK3076_001b,07PK3076_001,07PK3076,07PK,NULL,07K3076,07K3076,sib,NULL,NULL,NULL,MS71,NULL,3,NULL,original source: 94ncai03 - PI587137,NULL,NULL
07PK3076_002b,07PK3076_002,07PK3076,07PK,NULL,07K3076,07K3076,sib,NULL,NULL,NULL,MS71,NULL,3,NULL,original source: 94ncai03 - PI587137,NULL,NULL
07PK3089_001b,07PK3089_001,07PK3089,07PK,NULL,07K3089,07K3089,sib,NULL,NULL,NULL,MS71,NULL,3,NULL,original source: 94ncai03 - PI587137,NULL,NULL
07PK3107_001b,07PK3107_001,07PK3107,07PK,NULL,07K3107,07K3107,sib,NULL,NULL,NULL,MS71,NULL,3,NULL,original source: 94ncai03 - PI587137,NULL,NULL
07PK3107_002b,07PK3107_002,07PK3107,07PK,NULL,07K3107,07K3107,sib,NULL,NULL,NULL,MS71,NULL,3,NULL,original source: 94ncai03 - PI587137,NULL,NULL
07PK3136_001b,07PK3136_001,07PK3136,07PK,NULL,07K3136,07K3136,sib,NULL,NULL,NULL,MS71,NULL,3,NULL,original source: 94ncai03 - PI587137,NULL,NULL
07PK3257_001b,07PK3257_001,07PK3257,07PK,NULL,07K3257,07K3257,sib,NULL,NULL,NULL,NC350,NULL,3,NULL,original source: 06ncai01 - Ames27171,NULL,NULL
07PK3353_001b,07PK3353_001,07PK3353,07PK,NULL,07K3353,07K3353,sib,NULL,NULL,NULL,M162W,NULL,3,NULL,original source: 06ncai01 - Ames27134,NULL,NULL
