08SC1001,NULL,08SC,101,NULL,NULL,07FL371,2,1,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1002,NULL,08SC,104,NULL,NULL,07A1770,2,1,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1003,NULL,08SC,123,NULL,NULL,07A5431,2,2,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1004,NULL,08SC,23,NULL,NULL,06A0136,2,2,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1005,NULL,08SC,188,NULL,NULL,07FL422,2,3,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1006,NULL,08SC,18,NULL,NULL,07A3399,2,3,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1007,NULL,08SC,28,NULL,NULL,07FL327,2,4,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1008,NULL,08SC,77,NULL,NULL,07FL357,2,4,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1009,NULL,08SC,129,NULL,NULL,07FL387,2,5,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1010,NULL,08SC,7,NULL,NULL,07FL314,2,5,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1011,NULL,08SC,17,NULL,NULL,07A1922,2,6,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1012,NULL,08SC,71,NULL,NULL,07A1689,2,6,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1013,NULL,08SC,139,NULL,NULL,07A1444,2,7,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1014,NULL,08SC,195,NULL,NULL,07A0702,2,7,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1015,NULL,08SC,3,NULL,NULL,07A4189,2,8,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1016,NULL,08SC,29,NULL,NULL,07FL328,2,8,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1017,NULL,08SC,49,NULL,NULL,07FL338,2,9,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
