12CH0001,NULL,12CH,NULL,NULL,UFMu-00003,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0002,NULL,12CH,NULL,NULL,UFMu-00291,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0003,NULL,12CH,NULL,NULL,UFMu-00317,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0004,NULL,12CH,NULL,NULL,UFMu-00403,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0005,NULL,12CH,NULL,NULL,UFMu-00556,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0006,NULL,12CH,NULL,NULL,UFMu-00652,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0007,NULL,12CH,NULL,NULL,UFMu-00841,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0008,NULL,12CH,NULL,NULL,UFMu-00895,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0009,NULL,12CH,NULL,NULL,UFMu-00915,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0010,NULL,12CH,NULL,NULL,UFMu-00968,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0011,NULL,12CH,NULL,NULL,UFMu-01040,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0012,NULL,12CH,NULL,NULL,UFMu-01129,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0013,NULL,12CH,NULL,NULL,UFMu-01262,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0014,NULL,12CH,NULL,NULL,UFMu-01268,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0015,NULL,12CH,NULL,NULL,UFMu-01281,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0016,NULL,12CH,NULL,NULL,UFMu-01373,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0017,NULL,12CH,NULL,NULL,UFMu-01469,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0018,NULL,12CH,NULL,NULL,UFMu-01716,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0019,NULL,12CH,NULL,NULL,UFMu-01858,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0020,NULL,12CH,NULL,NULL,UFMu-01882,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0021,NULL,12CH,NULL,NULL,UFMu-01980,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0022,NULL,12CH,NULL,NULL,UFMu-01984,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0023,NULL,12CH,NULL,NULL,UFMu-01998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0024,NULL,12CH,NULL,NULL,UFMu-01999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0025,NULL,12CH,NULL,NULL,UFMu-02242,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0026,NULL,12CH,NULL,NULL,UFMu-02269,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0027,NULL,12CH,NULL,NULL,UFMu-02280,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
