12SH0001,NULL,12SH,A619,NULL,10TI0010_001b,NULL,NULL,NULL,NULL,1,NULL,A619,NULL,NULL,NULL,8
12SH0002,NULL,12SH,A619^Ht2,NULL,10TI0016_001b,NULL,NULL,NULL,NULL,1,NULL,A619,NULL,NULL,NULL,8
12SH0003,NULL,12SH,Oh43,NULL,10TI0025_001b,NULL,NULL,NULL,NULL,1,NULL,Oh43,NULL,NULL,NULL,8
12SH0004,NULL,12SH,Oh43^Ht2,NULL,10TI0019_001s,NULL,NULL,NULL,NULL,1,NULL,Oh43,NULL,NULL,NULL,8
12SH0005,NULL,12SH,Pa91^Ht2,NULL,10TI0021_001b,NULL,NULL,NULL,NULL,1,NULL,Pa91,NULL,NULL,NULL,8
12SH0006,NULL,12SH,Pa91^Ht3,NULL,NULL,Ames25374 02ncai01,NULL,NULL,NULL,1,NULL,Pa91,NULL,NULL,NULL,8
12SH0007,NULL,12SH,Pa91,NULL,NULL,PI587147 94ncai01,NULL,NULL,NULL,1,NULL,Pa91,NULL,NULL,NULL,8
12SH0008,NULL,12SH,Pa91^Ht1,NULL,NULL,Ames25372 02ncai01,NULL,NULL,NULL,1,NULL,Pa91,NULL,NULL,NULL,8
12SH0009,NULL,12SH,Pa91^Ht2,NULL,10TI0021_001b,NULL,NULL,NULL,NULL,2,NULL,Pa91,NULL,NULL,NULL,8
12SH0010,NULL,12SH,Pa91^Ht1,NULL,NULL,Ames25372 02ncai01,NULL,NULL,NULL,2,NULL,Pa91,NULL,NULL,NULL,8
12SH0011,NULL,12SH,Pa91,NULL,NULL,PI587147 94ncai01,NULL,NULL,NULL,2,NULL,Pa91,NULL,NULL,NULL,8
12SH0012,NULL,12SH,Pa91^Ht3,NULL,NULL,Ames25374 02ncai01,NULL,NULL,NULL,2,NULL,Pa91,NULL,NULL,NULL,8
12SH0013,NULL,12SH,Oh43^Ht2,NULL,10TI0019_001s,NULL,NULL,NULL,NULL,2,NULL,Oh43,NULL,NULL,NULL,8
12SH0014,NULL,12SH,Oh43,NULL,10TI0025_001b,NULL,NULL,NULL,NULL,2,NULL,Oh43,NULL,NULL,NULL,8
12SH0015,NULL,12SH,A619^Ht2,NULL,10TI0016_001b,NULL,NULL,NULL,NULL,2,NULL,A619,NULL,NULL,NULL,8
12SH0016,NULL,12SH,A619,NULL,10TI0010_001b,NULL,NULL,NULL,NULL,2,NULL,A619,NULL,NULL,NULL,8
12SH0017,NULL,12SH,Pa91^Ht3,NULL,NULL,Ames25374 02ncai01,NULL,NULL,NULL,3,NULL,Pa91,NULL,NULL,NULL,8
12SH0018,NULL,12SH,Pa91,NULL,NULL,PI587147 94ncai01,NULL,NULL,NULL,3,NULL,Pa91,NULL,NULL,NULL,8
12SH0019,NULL,12SH,Pa91^Ht1,NULL,NULL,Ames25372 02ncai01,NULL,NULL,NULL,3,NULL,Pa91,NULL,NULL,NULL,8
12SH0020,NULL,12SH,Pa91^Ht2,NULL,10TI0021_001b,NULL,NULL,NULL,NULL,3,NULL,Pa91,NULL,NULL,NULL,8
12SH0021,NULL,12SH,A619,NULL,10TI0010_001b,NULL,NULL,NULL,NULL,3,NULL,A619,NULL,NULL,NULL,8
12SH0022,NULL,12SH,A619^Ht2,NULL,10TI0016_001b,NULL,NULL,NULL,NULL,3,NULL,A619,NULL,NULL,NULL,8
12SH0023,NULL,12SH,Oh43,NULL,10TI0025_001b,NULL,NULL,NULL,NULL,3,NULL,Oh43,NULL,NULL,NULL,8
12SH0024,NULL,12SH,Oh43^Ht2,NULL,10TI0019_001s,NULL,NULL,NULL,NULL,3,NULL,Oh43,NULL,NULL,NULL,8
