09K0043,NULL,09K,(B73xCML333)S5,Z007E0147,NULL,07A5004,30,38,3,NULL,16,7,NULL,Trial,NULL,0
09K0044,NULL,09K,B73,Z007E0201,NULL,NULL,30,37,3,NULL,16,7,NULL,CheckB,NULL,0
09K0045,NULL,09K,(B73xCML333)S5,Z007E0184,NULL,07A1103,30,36,3,NULL,16,7,NULL,Trial,NULL,0
09K0046,NULL,09K,(B73xCML333)S5,Z007E0161,NULL,07A1758,30,35,3,NULL,16,7,NULL,Trial,NULL,0
09K0047,NULL,09K,(B73xCML333)S5,Z007E0103,NULL,06A4510,30,34,3,NULL,16,7,NULL,Trial,NULL,0
09K0048,NULL,09K,(B73xCML333)S5,Z007E0085,NULL,06A4673,30,33,3,NULL,16,7,NULL,Trial,NULL,0
09K0049,NULL,09K,(B73xCML333)S5,Z007E0138,NULL,07A4548,30,32,3,NULL,16,7,NULL,Trial,NULL,0
09K0050,NULL,09K,(B73xCML333)S5,Z007E0060,NULL,06A4534,30,31,3,NULL,16,7,NULL,Trial,NULL,0
09K0051,NULL,09K,(B73xCML333)S5,Z007E0010,NULL,07A0317,30,30,3,NULL,16,7,NULL,Trial,NULL,0
09K0052,NULL,09K,(B73xCML333)S5,Z007E0074,NULL,07A3053,30,29,3,NULL,16,7,NULL,Trial,NULL,0
09K0053,NULL,09K,(B73xCML333)S5,Z007E0047,NULL,07A0947,30,28,3,NULL,16,7,NULL,Trial,NULL,0
09K0054,NULL,09K,(B73xCML333)S5,Z007E0076,NULL,07A4694,30,27,3,NULL,16,7,NULL,Trial,NULL,0
09K0055,NULL,09K,(B73xCML333)S5,Z007E0155,NULL,07A1728,30,26,3,NULL,16,7,NULL,Trial,NULL,0
09K0056,NULL,09K,(B73xCML333)S5,Z007E0137,NULL,07A4626,30,25,3,NULL,16,7,NULL,Trial,NULL,0
09K0057,NULL,09K,(B73xCML333)S5,Z007E0185,NULL,07A2103,30,24,3,NULL,16,7,NULL,Trial,NULL,0
09K0058,NULL,09K,(B73xCML333)S5,Z007E0191,NULL,07A1579,30,23,3,NULL,16,7,NULL,Trial,NULL,0
09K0059,NULL,09K,(B73xCML333)S5,Z007E0048,NULL,06A4607,30,22,3,NULL,16,7,NULL,Trial,NULL,0
09K0060,NULL,09K,(B73xCML333)S5,Z007E0128,NULL,07A1570,30,21,3,NULL,16,7,NULL,Trial,NULL,0
09K0061,NULL,09K,(B73xCML333)S5,Z007E0025,NULL,07A1331,30,20,4,NULL,16,7,NULL,Trial,NULL,0
09K0062,NULL,09K,(B73xCML333)S5,Z007E0104,NULL,07A4799,30,19,4,NULL,16,7,NULL,Trial,NULL,0
09K0063,NULL,09K,(B73xCML333)S5,Z007E0187,NULL,07A1202,30,18,4,NULL,16,7,NULL,Trial,NULL,0
09K0064,NULL,09K,(B73xCML333)S5,Z007E0099,NULL,07A3149,30,17,4,NULL,16,7,NULL,Trial,NULL,0
09K0065,NULL,09K,(B73xCML333)S5,Z007E0100,NULL,07A1165,30,16,4,NULL,16,7,NULL,Trial,NULL,0
