11PF0001,NULL,11PF,B73,B73,NULL,NULL,M1;0,NULL,1,1,14,5,NULL,check,NULL,3
11PF0002,NULL,11PF,B73/[32-24]-5_336_02_01_sib,P05L0336,09PF0024_000b,NULL,M1;0,NULL,1,1,14,5,NULL,trial,NULL,3
11PF0003,NULL,11PF,B73/[32-24]-5_327_02_01_sib,P05L0327,09PF0138_000b,NULL,M1;0,NULL,1,1,14,5,NULL,trial,NULL,3
11PF0004,NULL,11PF,B73/[32-24]-5_254_02_01_sib,P05L0254,09PF0076_000b,NULL,M1;0,NULL,1,1,14,5,NULL,trial,NULL,3
11PF0005,NULL,11PF,B73/[32-24]-5_228_02_01_sib,P05L0228,09PF0007_000b,NULL,M1;0,NULL,1,1,14,5,NULL,trial,NULL,3
11PF0006,NULL,11PF,B73/[32-24]-5_223_02_01_sib,P05L0223,09PF0130_000b,NULL,M1;0,NULL,1,1,14,5,NULL,trial,NULL,3
11PF0007,NULL,11PF,B73/[32-24]-5_247_02_01_sib,P05L0247,09PF0027_000b,NULL,M1;0,NULL,1,1,14,5,NULL,trial,NULL,3
11PF0008,NULL,11PF,B73/[32-24]-5_306_02_01_sib,P05L0306,09PF0060_000b,NULL,M1;0,NULL,1,1,14,5,NULL,trial,NULL,3
11PF0009,NULL,11PF,B73/[32-24]-5_054_02_01_sib,P05L0054,09PF0493_000b,NULL,M1;0,NULL,1,1,14,5,NULL,trial,NULL,3
11PF0010,NULL,11PF,B73/[32-24]-5_014_02_01_sib,P05L0014,09PF0018_000b,NULL,M1;0,NULL,1,1,14,5,NULL,trial,NULL,3
11PF0011,NULL,11PF,B73/[32-24]-5_318_02_01_sib,P05L0318,09PF0066_000b,NULL,M1;0,NULL,1,1,14,5,NULL,trial,NULL,3
11PF0012,NULL,11PF,B73/[32-24]-5_102_02_01_sib,P05L0102,09PF0093_000b,NULL,M1;0,NULL,1,1,14,5,NULL,trial,NULL,3
11PF0013,NULL,11PF,B73/[32-24]-5_316_02_01_sib,P05L0316,09PF0194_000b,NULL,M1;0,NULL,1,1,14,5,NULL,trial,NULL,3
11PF0014,NULL,11PF,B73/[32-24]-5_137_02_01_sib,P05L0137,09PF0121_000b,NULL,M1;0,NULL,1,1,14,5,NULL,trial,NULL,3
11PF0015,NULL,11PF,B73,B73,NULL,NULL,M1;0,NULL,1,1,14,5,NULL,check,NULL,3
11PF0016,NULL,11PF,B73/[32-24]-5_266_02_01_sib,P05L0266,09PF0207_000b,NULL,M1;0,NULL,1,1,14,5,NULL,trial,NULL,3
11PF0017,NULL,11PF,B73/[32-24]-5_093_01_01_sib,P05L0093,09PF0125_000b,NULL,M1;0,NULL,1,1,14,5,NULL,trial,NULL,3
11PF0018,NULL,11PF,B73/[32-24]-5_297_02_01_sib,P05L0297,09PF0046_000b,NULL,M1;0,NULL,1,1,14,5,NULL,trial,NULL,3
11PF0019,NULL,11PF,B73/[32-24]-5_146_02_01_sib,P05L0146,09PF0101_000b,NULL,M1;0,NULL,2,1,14,5,NULL,trial,NULL,3
11PF0020,NULL,11PF,B73/[32-24]-5_258_01_01_sib,P05L0258,09PF0106_000b,NULL,M1;0,NULL,2,1,14,5,NULL,trial,NULL,3
11PF0021,NULL,11PF,B73/[32-24]-5_333_02_01_sib,P05L0333,09PF0049_000b,NULL,M1;0,NULL,2,1,14,5,NULL,trial,NULL,3
11PF0022,NULL,11PF,B73/[32-24]-5_064_02_01_sib,P05L0064,09PF0142_000b,NULL,M1;0,NULL,2,1,14,5,NULL,trial,NULL,3
11PF0023,NULL,11PF,B73/[32-24]-5_100_02_01_sib,P05L0100,09PF0177_000b,NULL,M1;0,NULL,2,1,14,5,NULL,trial,NULL,3
11PF0024,NULL,11PF,B73,B73,NULL,NULL,M1;0,NULL,2,1,14,5,NULL,check,NULL,3
11PF0025,NULL,11PF,B73/[32-24]-5_021_02_01_sib,P05L0021,09PF0053_000b,NULL,M1;0,NULL,2,1,14,5,NULL,trial,NULL,3
11PF0026,NULL,11PF,B73/[32-24]-5_305_02_01_sib,P05L0305,09PF0002_000b,NULL,M1;0,NULL,2,1,14,5,NULL,trial,NULL,3
11PF0027,NULL,11PF,B73/[32-24]-5_315_02_01_sib,P05L0315,09PF0050_000b,NULL,M1;0,NULL,2,1,14,5,NULL,trial,NULL,3
