10SH0006_001s,NULL,10SH0006,10SH,NULL,NULL,NULL,self,NULL,NULL,NULL,(Z006E0003)S3,NULL,8,NULL,NULL,NULL,NULL
10SH0006_002s,NULL,10SH0006,10SH,NULL,NULL,NULL,self,NULL,NULL,NULL,(Z006E0003)S3,NULL,8,NULL,NULL,NULL,NULL
10SH0008_001s,NULL,10SH0008,10SH,NULL,NULL,NULL,self,NULL,NULL,NULL,(Z006E0003)S3,NULL,8,NULL,NULL,NULL,NULL
10SH0010_001s,NULL,10SH0010,10SH,NULL,NULL,NULL,self,NULL,NULL,NULL,(Z006E0003)S3,NULL,8,NULL,NULL,NULL,NULL
10SH0036_001b,NULL,10SH0036,10SH,NULL,NULL,NULL,sib,NULL,NULL,NULL,(Z006E0003)S2,NULL,8,NULL,NULL,NULL,NULL
10SH0036_002b,NULL,10SH0036,10SH,NULL,NULL,NULL,sib,NULL,NULL,NULL,(Z006E0003)S2,NULL,8,NULL,NULL,NULL,NULL
10SH0036_003b,NULL,10SH0036,10SH,NULL,NULL,NULL,sib,NULL,NULL,NULL,(Z006E0003)S2,NULL,8,NULL,NULL,NULL,NULL
10SH0038_001b,NULL,10SH0038,10SH,NULL,NULL,NULL,sib,NULL,NULL,NULL,(Z006E0003)S2,NULL,8,NULL,NULL,NULL,NULL
10SH0099_001s,NULL,10SH0099,10SH,NULL,NULL,NULL,self,NULL,NULL,NULL,(Z006E0031)S3,NULL,8,NULL,NULL,NULL,NULL
10SH0101_001s,NULL,10SH0101,10SH,NULL,NULL,NULL,self,NULL,NULL,NULL,(Z006E0031)S3,NULL,8,NULL,NULL,NULL,NULL
10SH0101_002s,NULL,10SH0101,10SH,NULL,NULL,NULL,self,NULL,NULL,NULL,(Z006E0031)S3,NULL,8,NULL,NULL,NULL,NULL
10SH0119_001s,NULL,10SH0119,10SH,NULL,NULL,NULL,self,NULL,NULL,NULL,(Z006E0033)S3,NULL,8,NULL,NULL,NULL,NULL
10SH0121_001s,NULL,10SH0121,10SH,NULL,NULL,NULL,self,NULL,NULL,NULL,(Z006E0033)S3,NULL,8,NULL,NULL,NULL,NULL
10SH0145_001s,NULL,10SH0145,10SH,NULL,NULL,NULL,self,NULL,NULL,NULL,(Z006E0033)S3,NULL,8,NULL,NULL,NULL,NULL
10SH0147_001s,NULL,10SH0147,10SH,NULL,NULL,NULL,self,NULL,NULL,NULL,(Z006E0033)S3,NULL,8,NULL,NULL,NULL,NULL
10SH0148_001s,NULL,10SH0148,10SH,NULL,NULL,NULL,self,NULL,NULL,NULL,(Z006E0033)S3,NULL,8,NULL,NULL,NULL,NULL
