08SN0207,NULL,08SN,TBBC3-52,NULL,NULL,CC06_T_041_3,NULL,17,2,NULL,10,NILs,NULL,NULL,QTL on 4.06?,8
08SN0208,NULL,08SN,TBBC3-75,NULL,NULL,CC07_T_003,NULL,17,2,NULL,10,NILs,NULL,NULL,QTL on 6.05?,8
08SN0209,NULL,08SN,TBBC3-77,NULL,NULL,CC07_T_015,NULL,18,2,NULL,10,NILs,NULL,NULL,QTL on 6.05?,8
08SN0210,NULL,08SN,TBBC3-58,NULL,NULL,CC06_T_017,NULL,18,2,NULL,10,NILs,NULL,NULL,"""QTL on 7.02, 7.03, 7.07?""",8
08SN0211,NULL,08SN,Tx303,NULL,NULL,07A5571,NULL,19,2,NULL,10,NILs,NULL,NULL,NULL,8
08SN0212,NULL,08SN,B73,NULL,NULL,07FL441,NULL,19,2,NULL,10,NILs,NULL,NULL,NULL,8
08SN0213,NULL,08SN,1889_1_6F_04C_003.01,NULL,NULL,CC07_C_003.01,NULL,20,2,NULL,10,NILs,NULL,NULL,"""HIF 6.05, 1.06""",8
08SN0214,NULL,08SN,1889_1_6F_04C_003.02,NULL,NULL,CC07_C_003.02,NULL,20,2,NULL,10,NILs,NULL,NULL,"""HIF 6.05, 1.06""",8
08SN0215,NULL,08SN,1889_1_6F_04G_006.01,NULL,NULL,CC07_C_006.01,NULL,21,2,NULL,10,NILs,NULL,NULL,"""HIF 6.05, 1.06""",8
08SN0216,NULL,08SN,1889_1_6F_04G_069.03,NULL,NULL,CC07_C_069.03,NULL,21,2,NULL,10,NILs,NULL,NULL,"""HIF 6.05, 1.06""",8
08SN0217,NULL,08SN,1889_1_6F_05F_007.01,NULL,NULL,CC07_C_007.01,NULL,22,2,NULL,10,NILs,NULL,NULL,"""HIF 6.05, 1.06""",8
08SN0218,NULL,08SN,1889_1_6F_05F_007.04,NULL,NULL,CC07_C_007.04,NULL,22,2,NULL,10,NILs,NULL,NULL,"""HIF 6.05, 1.06""",8
08SN0219,NULL,08SN,1889_1_6F_02A_008.02,NULL,NULL,CC07_C_008.02,NULL,23,2,NULL,10,NILs,NULL,NULL,"""HIF 6.05, 1.06""",8
08SN0220,NULL,08SN,1889_1_6F_02A_008.03,NULL,NULL,CC07_C_008.03,NULL,23,2,NULL,10,NILs,NULL,NULL,"""HIF 6.05, 1.06""",8
08SN0221,NULL,08SN,1889_1_6F_02A_008.04,NULL,NULL,CC07_C_008.04,NULL,24,2,NULL,10,NILs,NULL,NULL,"""HIF 6.05, 1.06""",8
08SN0222,NULL,08SN,1889_1_6F_02F_004.02,NULL,NULL,CC07_C_004.02,NULL,24,2,NULL,10,NILs,NULL,NULL,"""HIF 6.05, 1.06""",8
08SN0223,NULL,08SN,1889_1_6F_03G_005.01,NULL,NULL,CC07_C_005.01,NULL,25,2,NULL,10,NILs,NULL,NULL,"""HIF 6.05, 1.06""",8
08SN0224,NULL,08SN,1889_1_6F_04D_009.03,NULL,NULL,CC07_C_009.03,NULL,25,2,NULL,10,NILs,NULL,NULL,"""HIF 6.05, 1.06""",8
08SN0225,NULL,08SN,1889_1_6F_04D_072.02,NULL,NULL,CC07_C_072.02,NULL,26,2,NULL,10,NILs,NULL,NULL,"""HIF 6.05, 1.06""",8
08SN0226,NULL,08SN,B73,NULL,NULL,07FL441,NULL,26,2,NULL,10,NILs,NULL,NULL,NULL,8
08SN0227,NULL,08SN,Mp717,NULL,NULL,W. Paul Williams,NULL,27,2,NULL,10,NILs,NULL,NULL,resistant control,8
08SN0228,NULL,08SN,Sc212m,NULL,NULL,W. Paul Williams,NULL,27,2,NULL,10,NILs,NULL,NULL,susceptible control,8
