07PN0012_016x,07PN0012_016,07PN0012,07PN,07N12.16,07N12,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-1-56,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0013_001x,07PN0013_001,07PN0013,07PN,07N13.01,07N13,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-2-40,NULL,3,NULL,pedigree changed from 2-41;  P30_Et4 [32-24] BC1,NULL,NULL
07PN0013_002x,07PN0013_002,07PN0013,07PN,07N13.02,07N13,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-2-41,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0013_003x,07PN0013_003,07PN0013,07PN,07N13.03,07N13,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-2-42,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0013_004x,07PN0013_004,07PN0013,07PN,07N13.04,07N13,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-2-43,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0013_006x,07PN0013_006,07PN0013,07PN,07N13.06,07N13,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-2-45,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0013_007x,07PN0013_007,07PN0013,07PN,07N13.07,07N13,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-2-46,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0013_008x,07PN0013_008,07PN0013,07PN,07N13.08,07N13,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-2-47,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0013_009x,07PN0013_009,07PN0013,07PN,07N13.09,07N13,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-2-48,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0013_010x,07PN0013_010,07PN0013,07PN,07N13.10,07N13,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-2-49,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0013_011x,07PN0013_011,07PN0013,07PN,07N13.11,07N13,07N13.11 x B73,cross,07PN0002,B73,NULL,B73(3)/32-24-2-50,NULL,3,NULL,P30_Et4 BC,NULL,NULL
07PN0013_012x,07PN0013_012,07PN0013,07PN,07N13.12,07N13,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-2-51,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0013_013x,07PN0013_013,07PN0013,07PN,07N13.13,07N13,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-2-52,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0013_014x,07PN0013_014,07PN0013,07PN,07N13.14,07N13,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-2-53,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0013_015x,07PN0013_015,07PN0013,07PN,07N13.15,07N13,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-2-54,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0013_016x,07PN0013_016,07PN0013,07PN,07N13.16,07N13,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-2-55,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0014_001x,07PN0014_001,07PN0014,07PN,07N14.01,07N14,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-3-41,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0014_002x,07PN0014_002,07PN0014,07PN,07N14.02,07N14,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-3-42,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0014_003x,07PN0014_003,07PN0014,07PN,07N14.03,07N14,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-3-43,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0014_004x,07PN0014_004,07PN0014,07PN,07N14.04,07N14,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-3-44,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0014_006x,07PN0014_006,07PN0014,07PN,07N14.06,07N14,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-3-46,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0014_007x,07PN0014_007,07PN0014,07PN,07N14.07,07N14,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-3-47,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0014_008x,07PN0014_008,07PN0014,07PN,07N14.08,07N14,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-3-48,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0014_009x,07PN0014_009,07PN0014,07PN,07N14.09,07N14,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-3-49,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0014_010x,07PN0014_010,07PN0014,07PN,07N14.10,07N14,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-3-50,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0014_011x,07PN0014_011,07PN0014,07PN,07N14.11,07N14,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-3-51,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0014_012x,07PN0014_012,07PN0014,07PN,07N14.12,07N14,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-3-52,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0014_013x,07PN0014_013,07PN0014,07PN,07N14.13,07N14,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-3-53,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0014_014x,07PN0014_014,07PN0014,07PN,07N14.14,07N14,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-3-54,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0014_015x,07PN0014_015,07PN0014,07PN,07N14.15,07N14,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-3-55,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0014_016x,07PN0014_016,07PN0014,07PN,07N14.16,07N14,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-3-56,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0015_001x,07PN0015_001,07PN0015,07PN,07N15.01,07N15,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-4-41,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0015_002x,07PN0015_002,07PN0015,07PN,07N15.02,07N15,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-4-42,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0015_003x,07PN0015_003,07PN0015,07PN,07N15.03,07N15,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-4-43,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0015_004x,07PN0015_004,07PN0015,07PN,07N15.04,07N15,07N15.04 x B73,cross,07PN0002,B73,NULL,B73(3)/32-24-4-44,NULL,3,NULL,P30_Et4 BC,NULL,NULL
07PN0015_005x,07PN0015_005,07PN0015,07PN,07N15.05,07N15,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-4-45,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0015_006x,07PN0015_006,07PN0015,07PN,07N15.06,07N15,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-4-46,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0015_007x,07PN0015_007,07PN0015,07PN,07N15.07,07N15,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-4-47,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0015_008x,07PN0015_008,07PN0015,07PN,07N15.08,07N15,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-4-48,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0015_009x,07PN0015_009,07PN0015,07PN,07N15.09,07N15,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-4-49,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0015_010x,07PN0015_010,07PN0015,07PN,07N15.10,07N15,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-4-50,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0015_011x,07PN0015_011,07PN0015,07PN,07N15.11,07N15,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-4-51,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0015_012x,07PN0015_012,07PN0015,07PN,07N15.12,07N15,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-4-52,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0015_013x,07PN0015_013,07PN0015,07PN,07N15.13,07N15,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-4-53,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0015_014x,07PN0015_014,07PN0015,07PN,07N15.14,07N15,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-4-54,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0015_015x,07PN0015_015,07PN0015,07PN,07N15.15,07N15,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-4-55,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0015_016x,07PN0015_016,07PN0015,07PN,07N15.16,07N15,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-4-56,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0016_001x,07PN0016_001,07PN0016,07PN,07N16.01,07N16,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-5-40,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0016_002x,07PN0016_002,07PN0016,07PN,07N16.02,07N16,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-5-41,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0016_003x,07PN0016_003,07PN0016,07PN,07N16.03,07N16,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-5-42,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0016_004x,07PN0016_004,07PN0016,07PN,07N16.04,07N16,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-5-43,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0016_005x,07PN0016_005,07PN0016,07PN,07N16.05,07N16,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-5-44,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0016_006x,07PN0016_006,07PN0016,07PN,07N16.06,07N16,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-5-45,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0016_007x,07PN0016_007,07PN0016,07PN,07N16.07,07N16,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-5-46,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0016_008x,07PN0016_008,07PN0016,07PN,07N16.08,07N16,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-5-47,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0016_010x,07PN0016_010,07PN0016,07PN,07N16.10,07N16,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-5-49,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0016_011x,07PN0016_011,07PN0016,07PN,07N16.11,07N16,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-5-50,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0016_012x,07PN0016_012,07PN0016,07PN,07N16.12,07N16,07N16.12 x B73,cross,07PN0002,B73,NULL,B73(3)/32-24-5-51,NULL,3,NULL,P30_Et4 BC,NULL,NULL
07PN0016_013x,07PN0016_013,07PN0016,07PN,07N16.13,07N16,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-5-52,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0016_014x,07PN0016_014,07PN0016,07PN,07N16.14,07N16,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-5-53,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0016_015x,07PN0016_015,07PN0016,07PN,07N16.15,07N16,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-5-54,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0016_016x,07PN0016_016,07PN0016,07PN,07N16.16,07N16,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-5-55,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0017_001x,07PN0017_001,07PN0017,07PN,07N17.01,07N17,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-6-41,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0017_002x,07PN0017_002,07PN0017,07PN,07N17.02,07N17,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-6-42,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0017_003x,07PN0017_003,07PN0017,07PN,07N17.03,07N17,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-6-43,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0017_004x,07PN0017_004,07PN0017,07PN,07N17.04,07N17,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-6-44,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0017_005x,07PN0017_005,07PN0017,07PN,07N17.05,07N17,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-6-45,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0017_007x,07PN0017_007,07PN0017,07PN,07N17.07,07N17,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-6-47,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0017_009x,07PN0017_009,07PN0017,07PN,07N17.09,07N17,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-6-49,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0017_010x,07PN0017_010,07PN0017,07PN,07N17.10,07N17,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-6-50,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0017_011x,07PN0017_011,07PN0017,07PN,07N17.11,07N17,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-6-51,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0017_012x,07PN0017_012,07PN0017,07PN,07N17.12,07N17,07N17.12 x B73,cross,07PN0002,B73,NULL,B73(3)/32-24-6-52,NULL,3,NULL,P30_Et4 BC,NULL,NULL
07PN0017_013x,07PN0017_013,07PN0017,07PN,07N17.13,07N17,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-6-53,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0017_014x,07PN0017_014,07PN0017,07PN,07N17.14,07N17,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-6-54,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0017_015x,07PN0017_015,07PN0017,07PN,07N17.15,07N17,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-6-55,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0017_016x,07PN0017_016,07PN0017,07PN,07N17.16,07N17,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-6-56,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0018_001x,07PN0018_001,07PN0018,07PN,B73,07N03,B73 x 07N03.01,cross,07PN0003_001,07N03.01,NULL,B73//B73/32-24-10,NULL,3,NULL,P30_Et4 BC1,NULL,NULL
07PN0018_002x,07PN0018_002,07PN0018,07PN,B73,07N03,B73 x 07N03.07,cross,07PN0003_007,07N03.07,NULL,B73//B73/32-24-16,NULL,3,NULL,P30_Et4 BC1,NULL,NULL
07PN0018_003x,07PN0018_003,07PN0018,07PN,B73,07N04,B73 x 07N04.01,cross,07PN0004_001,07N04.01,NULL,B73//B73/32-24-26,NULL,3,NULL,P30_Et4 BC1,NULL,NULL
07PN0018_004x,07PN0018_004,07PN0018,07PN,B73,07N09,B73 x 07N09.08,cross,07PN0009_008,07N09.08,NULL,B73(3)/32-24-4-28,NULL,3,NULL,P30_Et4 BC2,NULL,NULL
07PN0018_005x,07PN0018_005,07PN0018,07PN,B73,07N13,B73 x 07N13.11,cross,07PN0013_011,07N13.11,NULL,B73(3)/32-24-2-50,NULL,3,NULL,P30_Et4 BC2,NULL,NULL
07PN0018_006x,07PN0018_006,07PN0018,07PN,B73,07N17,B73 x 07N17.05,cross,07PN0017_005,07N17.05,NULL,B73(3)/32-24-6-45,NULL,3,NULL,P30_Et4 BC2,NULL,NULL
07PN0018_007x,07PN0018_007,07PN0018,07PN,B73,07N17,B73 x 07N17.07,cross,07PN0017_007,07N17.07,NULL,B73(3)/32-24-6-47,NULL,3,NULL,P30_Et4 BC2,NULL,NULL
07PN0018_008x,07PN0018_008,07PN0018,07PN,B73,07N17,B73 x 07N17.08,cross,07PN0017_008,07N17.08,NULL,B73(3)/32-24-6-48,NULL,3,NULL,P30_Et4 BC2,NULL,NULL
07PN0019_001b,07PN0019_001,07PN0019,07PN,NULL,07N19,07N19 sib,sib,NULL,NULL,NULL,B73,NULL,3,NULL,B73 sib increase 2007,NULL,NULL
07PN0019_001x,07PN0019_001,07PN0019,07PN,B73,07N20,B73 x 07N20.02,cross,07PN0020_002,07N20.02,NULL,B73/30-052,NULL,3,NULL,P30_Et2 F1,NULL,NULL
07PN0019_002x,07PN0019_002,07PN0019,07PN,B73,07N20,B73 x 07N20.07,cross,07PN0020_007,07N20.07,NULL,B73/30-057,NULL,3,NULL,P30_Et2 F1,NULL,NULL
07PN0019_003x,07PN0019_003,07PN0019,07PN,B73,07N20,B73 x 07N20.07,cross,07PN0020_007,07N20.07,NULL,B73/30-057,NULL,3,NULL,P30_Et2 F1,NULL,NULL
07PN0019_004x,07PN0019_004,07PN0019,07PN,B73,07N20,B73 x 07N20.11,cross,07PN0020_011,07N20.11,NULL,B73/30-061,NULL,3,NULL,P30_Et2 F1,NULL,NULL
07PN0019_005x,07PN0019_005,07PN0019,07PN,B73,07N20,B73 x 07N20.14,cross,07PN0020_014,07N20.14,NULL,B73/30-064,NULL,3,NULL,P30_Et2 F1,NULL,NULL
07PN0019_006x,07PN0019_006,07PN0019,07PN,B73,07N21,B73 x 07N21.03,cross,07PN0021_003,07N21.03,NULL,B73/30-073,NULL,3,NULL,P30_Et2 F1,NULL,NULL
07PN0019_007x,07PN0019_007,07PN0019,07PN,B73,07N21,B73 x 07N21.05,cross,07PN0021_005,07N21.05,NULL,B73/30-075,NULL,3,NULL,P30_Et2 F1,NULL,NULL
07PN0019_008x,07PN0019_008,07PN0019,07PN,B73,07N21,B73 x 07N21.06,cross,07PN0021_006,07N21.06,NULL,B73/30-076,NULL,3,NULL,P30_Et2 F1,NULL,NULL
07PN0019_009x,07PN0019_009,07PN0019,07PN,B73,07N21,B73 x 07N21.07,cross,07PN0021_007,07N21.07,NULL,B73/30-077,NULL,3,NULL,P30_Et2 F1,NULL,NULL
07PN0019_010x,07PN0019_010,07PN0019,07PN,B73,07N21,B73 x 07N21.08,cross,07PN0021_008,07N21.08,NULL,B73/30-078,NULL,3,NULL,P30_Et2 F1,NULL,NULL
07PN0020_001x,07PN0020_001,07PN0020,07PN,07N20.01,07N20,NULL,cross,07PN0019,B73,NULL,30-051,NULL,3,NULL,P30_Et2,NULL,NULL
07PN0020_002x,07PN0020_002,07PN0020,07PN,07N20.02,07N20,07N20.02 x B73,cross,07PN0002,B73,NULL,30-052/B73,NULL,3,NULL,P30_Et2 F1,NULL,NULL
07PN0020_004x,07PN0020_004,07PN0020,07PN,07N20.04,07N20,NULL,cross,07PN0019,B73,NULL,30-054,NULL,3,NULL,P30_Et2,NULL,NULL
07PN0020_009x,07PN0020_009,07PN0020,07PN,07N20.09,07N20,NULL,cross,07PN0019,B73,NULL,30-059,NULL,3,NULL,P30_Et2,NULL,NULL
07PN0020_010x,07PN0020_010,07PN0020,07PN,07N20.10,07N20,07N20.10 x B73,cross,07PN0002,B73,NULL,30-060/B73,NULL,3,NULL,P30_Et2 F1,NULL,NULL
07PN0020_011x,07PN0020_011,07PN0020,07PN,07N20.11,07N20,NULL,cross,07PN0019,B73,NULL,30-061,NULL,3,NULL,P30_Et2,NULL,NULL
07PN0020_012x,07PN0020_012,07PN0020,07PN,07N20.12,07N20,NULL,cross,07PN0019,B73,NULL,30-062,NULL,3,NULL,P30_Et2,NULL,NULL
07PN0020_016x,07PN0020_016,07PN0020,07PN,07N20.16,07N20,NULL,cross,07PN0019,B73,NULL,30-066,NULL,3,NULL,P30_Et2,NULL,NULL
07PN0020_017x,07PN0020_017,07PN0020,07PN,07N20.17,07N20.17,07N20.17 x B73,cross,07PN0002,B73,NULL,30-067/B73,NULL,3,NULL,P30_Et2 F1,NULL,NULL
07PN0020_019x,07PN0020_019,07PN0020,07PN,07N20.19,07N20,NULL,cross,07PN0019,B73,NULL,30-069,NULL,3,NULL,P30_Et2,NULL,NULL
07PN0020_020x,07PN0020_020,07PN0020,07PN,07N20.20,07N20.20,07N20.20 x B73,cross,07PN0002,B73,NULL,30-070/B73,NULL,3,NULL,P30_Et2 F1,NULL,NULL
07PN0021_001x,07PN0021_001,07PN0021,07PN,07N21.01,07N21,NULL,cross,07PN0019,B73,NULL,30-071,NULL,3,NULL,P30_Et2,NULL,NULL
07PN0021_003x,07PN0021_003,07PN0021,07PN,07N21.03,07N21,NULL,cross,07PN0019,B73,NULL,30-073,NULL,3,NULL,P30_Et2,NULL,NULL
07PN0021_004x,07PN0021_004,07PN0021,07PN,07N21.04,07N21,NULL,cross,07PN0019,B73,NULL,30-074,NULL,3,NULL,P30_Et2,NULL,NULL
07PN0021_013x,07PN0021_013,07PN0021,07PN,07N21.13,07N21,NULL,cross,07PN0019,B73,NULL,30-083,NULL,3,NULL,P30_Et2,NULL,NULL
07PN0021_015x,07PN0021_015,07PN0021,07PN,07N21.15,07N21,07N21.15 x B73,cross,07PN0002,B73,NULL,30-085/B73,NULL,3,NULL,P30_Et2 F1,NULL,NULL
07PN0021_018x,07PN0021_018,07PN0021,07PN,07N21.18,07N21,NULL,cross,07PN0019,B73,NULL,30-088,NULL,3,NULL,P30_Et2,NULL,NULL
07PN0021_019x,07PN0021_019,07PN0021,07PN,07N21.19,07N21,NULL,cross,07PN0019,B73,NULL,30-089,NULL,3,NULL,P30_Et2,NULL,NULL
07PN0021_020x,07PN0021_020,07PN0021,07PN,07N21.20,07N21.20,07N21.20 x B73,cross,07PN0002,B73,NULL,30-090/B73,NULL,3,NULL,P30_Et2 F1,NULL,NULL
07PN0022_001x,07PN0022_001,07PN0022,07PN,07N22.01,07N22,NULL,cross,07PN0019,B73,NULL,30-091,NULL,3,NULL,P30_Et2,NULL,NULL
07PN0022_003x,07PN0022_003,07PN0022,07PN,07N22.03,07N22,NULL,cross,07PN0019,B73,NULL,30-093,NULL,3,NULL,P30_Et2,NULL,NULL
07PN0022_004x,07PN0022_004,07PN0022,07PN,07N22.04,07N22,NULL,cross,07PN0019,B73,NULL,30-094,NULL,3,NULL,P30_Et2,NULL,NULL
07PN0022_006x,07PN0022_006,07PN0022,07PN,07N22.06,07N22,NULL,cross,07PN0019,B73,NULL,30-096,NULL,3,NULL,P30_Et2,NULL,NULL
07PN0022_008x,07PN0022_008,07PN0022,07PN,07N22.08,07N22,NULL,cross,07PN0019,B73,NULL,30-098,NULL,3,NULL,P30_Et2,NULL,NULL
07PN0022_010x,07PN0022_010,07PN0022,07PN,07N22.10,07N22,07N22.10 x B73,cross,07PN0002,B73,NULL,30-100/B73,NULL,3,NULL,P30_Et2 F1,NULL,NULL
07PN0022_011x,07PN0022_011,07PN0022,07PN,07N22.11,07N22,NULL,cross,07PN0019,B73,NULL,30-101,NULL,3,NULL,P30_Et2,NULL,NULL
07PN0022_012x,07PN0022_012,07PN0022,07PN,07N22.12,07N22,NULL,cross,07PN0019,B73,NULL,30-102,NULL,3,NULL,P30_Et2,NULL,NULL
07PN0022_013x,07PN0022_013,07PN0022,07PN,07N22.13,07N22,NULL,cross,07PN0019,B73,NULL,30-103,NULL,3,NULL,P30_Et2,NULL,NULL
07PN0022_016x,07PN0022_016,07PN0022,07PN,07N22.16,07N22,NULL,cross,07PN0019,B73,NULL,30-106,NULL,3,NULL,P30_Et2,NULL,NULL
07PN0022_017x,07PN0022_017,07PN0022,07PN,07N22.17,07N22.17,07N22.17 x B73,cross,07PN0002,B73,NULL,30-107/B73,NULL,3,NULL,P30_Et2 F1,NULL,NULL
07PN0023_001x,07PN0023_001,07PN0023,07PN,B73,07N21,B73 x 07N21.09,cross,07PN0021_009,07N21.09,NULL,B73/30-079,NULL,3,NULL,P30_Et2 F1,NULL,NULL
07PN0023_002x,07PN0023_002,07PN0023,07PN,B73,07N21,B73 x 07N21.10,cross,07PN0021_010,07N21.10,NULL,B73/30-080,NULL,3,NULL,P30_Et2 F1,NULL,NULL
07PN0023_003x,07PN0023_003,07PN0023,07PN,B73,07N21,B73 x 07N21.12,cross,07PN0021_012,07N21.12,NULL,B73/30-082,NULL,3,NULL,P30_Et2 F1,NULL,NULL
07PN0023_004x,07PN0023_004,07PN0023,07PN,B73,07N21,B73 x 07N21.14,cross,07PN0021_014,07N21.14,NULL,B73/30-084,NULL,3,NULL,P30_Et2 F1,NULL,NULL
07PN0023_005x,07PN0023_005,07PN0023,07PN,B73,07N21,B73 x 07N21.15,cross,07PN0021_015,07N21.15,NULL,B73/30-085,NULL,3,NULL,P30_Et2 F1,NULL,NULL
07PN0023_006x,07PN0023_006,07PN0023,07PN,B73,07N21,B73 x 07N21.15,cross,07PN0021_015,07N21.15,NULL,B73/30-085,NULL,3,NULL,P30_Et2 F1,NULL,NULL
07PN0023_007x,07PN0023_007,07PN0023,07PN,B73,07N21,B73 x 07N21.17,cross,07PN0021_017,07N21.17,NULL,B73/30-087,NULL,3,NULL,P30_Et2 F1,NULL,NULL
07PN0024_001b,07PN0024_001,07PN0024,07PN,07N24,07N24,NULL,sib,07PN0024,B73,NULL,B73,NULL,3,NULL,P30_Et2,NULL,NULL
07PN0024_001x,07PN0024_001,07PN0024,07PN,B73,07N22,B73 x 07N22.04,cross,07PN0022_004,07N22.04,NULL,B73/30-094,NULL,3,NULL,P30_Et2 F1,NULL,NULL
07PN0024_002x,07PN0024_002,07PN0024,07PN,B73,07N22,B73 x 07N22.06,cross,07PN0022_006,07N22.06,NULL,B73/30-096,NULL,3,NULL,P30_Et2 F1,NULL,NULL
07PN0024_003x,07PN0024_003,07PN0024,07PN,B73,07N22,B73 x 07N22.07,cross,07PN0022_007,07N22.07,NULL,B73/30-097,NULL,3,NULL,P30_Et2 F1,NULL,NULL
07PN0024_004x,07PN0024_004,07PN0024,07PN,B73,07N22,B73 x 07N22.08,cross,07PN0022_008,07N22.08,NULL,B73/30-098,NULL,3,NULL,P30_Et2 F1,NULL,NULL
