07PN0006_002x,07PN0006_002,07PN0006,07PN,07N06.02,07N06,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-1-22,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0006_003x,07PN0006_003,07PN0006,07PN,07N06.03,07N06,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-1-23,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0006_005x,07PN0006_005,07PN0006,07PN,07N06.05,07N06,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-1-25,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0006_006x,07PN0006_006,07PN0006,07PN,07N06.06,07N06,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-1-26,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0006_007x,07PN0006_007,07PN0006,07PN,07N06.07,07N06,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-1-27,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0006_008x,07PN0006_008,07PN0006,07PN,07N06.08,07N06,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-1-28,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0006_009x,07PN0006_009,07PN0006,07PN,07N06.09,07N06,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-1-29,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0006_010x,07PN0006_010,07PN0006,07PN,07N06.10,07N06,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-1-30,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0006_011x,07PN0006_011,07PN0006,07PN,07N06.11,07N06,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-1-31,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0006_012x,07PN0006_012,07PN0006,07PN,07N06.12,07N06,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-1-32,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0006_014x,07PN0006_014,07PN0006,07PN,07N06.14,07N06,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-1-34,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0006_015x,07PN0006_015,07PN0006,07PN,07N06.15,07N06,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-1-35,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0006_016x,07PN0006_016,07PN0006,07PN,07N06.16,07N06,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-1-36,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0007_001x,07PN0007_001,07PN0007,07PN,07N07.01,07N07,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-2-21,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0007_002x,07PN0007_002,07PN0007,07PN,07N07.02,07N07,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-2-22,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0007_003x,07PN0007_003,07PN0007,07PN,07N07.03,07N07,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-2-23,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
