09CR0034,Tx303,09CR,Tx303,NULL,FL06-07_546,Tx303,NULL,NULL,5,1,10,NULL,NULL,Rust,Control,34
09CR0035,B73,09CR,B73,NULL,08PN0305_000b,B73,NULL,NULL,5,1,10,NULL,NULL,Rust,Control,34
09CR0036,B73,09CR,B73,NULL,08PN0305_000b,B73,NULL,NULL,1,2,10,NULL,NULL,Rust,Control,34
09CR0037,TBBC3_38_07H,09CR,TBBC3 NIL,NULL,08FL0045_001s,TBBC3_38_07H,NULL,NULL,1,2,10,NULL,NULL,Rust,qEt1.06Tx303,34
09CR0038,TBBC3_39_09F,09CR,TBBC3 NIL,NULL,08FL0050_001s,TBBC3_39_09F,NULL,NULL,1,2,10,NULL,NULL,Rust,qEt1.06Tx303,34
09CR0039,B73,09CR,B73,NULL,08PN0305_000b,B73,NULL,NULL,1,2,10,NULL,NULL,Rust,Control,34
09CR0040,TBBC3_42_02E_01,09CR,TBBC3 NIL,NULL,08FL0053_001s,TBBC3_42_02E_01,NULL,NULL,1,2,10,NULL,NULL,Rust,qEt1.02B72,34
09CR0041,Tx303,09CR,Tx303,NULL,FL06-07_546,Tx303,NULL,NULL,1,2,10,NULL,NULL,Rust,Contol,34
09CR0042,B73,09CR,B73,NULL,08PN0305_000b,B73,NULL,NULL,1,2,10,NULL,NULL,Rust,Control,34
09CR0043,TBBC3_38_18A,09CR,TBBC3 NIL,NULL,08FL0048_001s,TBBC3_38_18A,NULL,NULL,2,2,10,NULL,NULL,Rust,qEt1.06Tx303,34
09CR0044,TBBC3_38,09CR,TBBC3 NIL,NULL,CC07_T_005,TBBC3_38,NULL,NULL,2,2,10,NULL,NULL,Rust,qEt1.06Tx303,34
09CR0045,B73,09CR,B73,NULL,08PN0305_000b,B73,NULL,NULL,2,2,10,NULL,NULL,Rust,Control,34
09CR0046,TBBC3_42,09CR,TBBC3 NIL,NULL,CC07_T_021,TBBC3_42,NULL,NULL,2,2,10,NULL,NULL,Rust,qEt1.02B73,34
09CR0047,TBBC3_42_09E_01,09CR,TBBC3 NIL,NULL,08FL0057_001s,TBBC3_42_09E_01,NULL,NULL,2,2,10,NULL,NULL,Rust,qEt1.02B73,34
09CR0048,B73,09CR,B73,NULL,08PN0305_000b,B73,NULL,NULL,2,2,10,NULL,NULL,Rust,Control,34
09CR0049,TBBC3_39_11A,09CR,TBBC3 NIL,NULL,08FL0051_001s,TBBC3_39_11A,NULL,NULL,3,2,10,NULL,NULL,Rust,qEt1.06Tx303,34
09CR0050,TBBC3_39_19E,09CR,TBBC3 NIL,NULL,08FL0052_001s,TBBC3_39_19E,NULL,NULL,3,2,10,NULL,NULL,Rust,qEt1.06Tx303,34
09CR0051,B73,09CR,B73,NULL,08PN0305_000b,B73,NULL,NULL,3,2,10,NULL,NULL,Rust,Control,34
09CR0052,TBBC3_39,09CR,TBBC3 NIL,NULL,CC07_T_011,TBBC3_39,NULL,NULL,3,2,10,NULL,NULL,Rust,qEt1.06Tx302,34
09CR0053,TBBC3_42_12F_01,09CR,TBBC3 NIL,NULL,08FL0059_001s,TBBC3_42_12F_01,NULL,NULL,3,2,10,NULL,NULL,Rust,qEt1.02B72,34
09CR0054,B73,09CR,B73,NULL,08PN0305_000b,B73,NULL,NULL,3,2,10,NULL,NULL,Rust,Control,34
09CR0055,TBBC3_38_05F,09CR,TBBC3 NIL,NULL,08FL0044_001s,TBBC3_38_05F,NULL,NULL,4,2,10,NULL,NULL,Rust,qEt1.06Tx303,34
09CR0056,TBBC3_38_16G,09CR,TBBC3 NIL,NULL,08FL0047_001s,TBBC3_38_16G,NULL,NULL,4,2,10,NULL,NULL,Rust,qEt1.06Tx303,34
09CR0057,B73,09CR,B73,NULL,08PN0305_000b,B73,NULL,NULL,4,2,10,NULL,NULL,Rust,Control,34
09CR0058,TBBC3_42_05H_04,09CR,TBBC3 NIL,NULL,08FL0055_001s,TBBC3_42_05H_04,NULL,NULL,4,2,10,NULL,NULL,Rust,qEt1.02B73,34
09CR0059,TBBC3_42_10E_02,09CR,TBBC3 NIL,NULL,08FL0058_001s,TBBC3_42_10E_02,NULL,NULL,4,2,10,NULL,NULL,Rust,qEt1.02B73,34
09CR0060,B73,09CR,B73,NULL,08PN0305_000b,B73,NULL,NULL,4,2,10,NULL,NULL,Rust,Control,34
