09JH0002_001s,09JH0002_001,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0002_002s,09JH0002_002,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0002_003s,09JH0002_003,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0002_004s,09JH0002_004,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0002_005s,09JH0002_005,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0002_006s,09JH0002_006,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0002_007s,09JH0002_007,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0002_008s,09JH0002_008,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0002_009s,09JH0002_009,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0002_010s,09JH0002_010,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0003_001s,09JH0003_001,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0003_002s,09JH0003_002,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0003_003s,09JH0003_003,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0003_004s,09JH0003_004,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0003_005s,09JH0003_005,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0003_006s,09JH0003_006,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0003_007s,09JH0003_007,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0003_008s,09JH0003_008,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0003_009s,09JH0003_009,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0003_010s,09JH0003_010,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0003_011s,09JH0003_011,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0003_012s,09JH0003_012,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0003_013s,09JH0003_013,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0003_014s,09JH0003_014,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0003_015s,09JH0003_015,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0004_001s,09JH0004_001,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0004_002s,09JH0004_002,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0004_003s,09JH0004_003,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0004_004s,09JH0004_004,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0004_005s,09JH0004_005,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
