09SB1010_001b,09SB1010_001,09SB1010,09SB,NULL,NULL,NULL,sib/self,NULL,NULL,NULL,Sc212m,NULL,8,NULL,seed increase,NULL,NULL
09SB1012_001b,09SB1012_001,09SB1012,09SB,NULL,NULL,NULL,sib/self,NULL,NULL,NULL,B73,NULL,8,NULL,seed increase,NULL,NULL
09SB1012_002b,09SB1012_002,09SB1012,09SB,NULL,NULL,NULL,sib/self,NULL,NULL,NULL,B73,NULL,8,NULL,seed increase,NULL,NULL
09SB1020_001b,09SB1020_001,09SB1020,09SB,NULL,NULL,NULL,sib/self,NULL,NULL,NULL,B73,NULL,8,NULL,seed increase,NULL,NULL
09SB2003_001b,09SB2003_001,09SB2003,09SB,NULL,NULL,NULL,sib/self,NULL,NULL,NULL,MS71,NULL,8,NULL,seed increase,NULL,NULL
09SB2003_002b,09SB2003_002,09SB2003,09SB,NULL,NULL,NULL,sib/self,NULL,NULL,NULL,MS71,NULL,8,NULL,seed increase,NULL,NULL
09SB2008_001b,09SB2008_001,09SB2008,09SB,NULL,NULL,NULL,sib/self,NULL,NULL,NULL,Mp339,NULL,8,NULL,seed increase,NULL,NULL
09SB2016_001b,09SB2016_001,09SB2016,09SB,NULL,NULL,NULL,sib/self,NULL,NULL,NULL,CML322,NULL,8,NULL,seed increase,NULL,NULL
09SB2021_001b,09SB2021_001,09SB2021,09SB,NULL,NULL,NULL,sib/self,NULL,NULL,NULL,NC300,NULL,8,NULL,seed increase,NULL,NULL
09SB2028_001b,09SB2028_001,09SB2028,09SB,NULL,NULL,NULL,sib/self,NULL,NULL,NULL,Ki3,NULL,8,NULL,seed increase,NULL,NULL
