08FL0001,NULL,08FL,Tx303,NULL,NULL,07A5571,NULL,NULL,NULL,NULL,20,NULL,NULL,self all,NULL,8
08FL0002,NULL,08FL,Tx303,NULL,NULL,07A5571,NULL,NULL,NULL,NULL,20,NULL,NULL,self all,NULL,8
08FL0003,NULL,08FL,Tx303,NULL,NULL,07A5571,NULL,NULL,NULL,NULL,20,NULL,NULL,self all,NULL,8
08FL0004,NULL,08FL,Tx303,NULL,NULL,07A5571,NULL,NULL,NULL,NULL,20,NULL,NULL,self all,NULL,8
08FL0005,NULL,08FL,Tx303,NULL,NULL,07A5571,NULL,NULL,NULL,NULL,20,NULL,NULL,self all,NULL,8
08FL0006,NULL,08FL,IBM262,NULL,NULL,JP266#1,NULL,NULL,NULL,NULL,20,NULL,NULL,sib 2-3,NULL,8
08FL0007,NULL,08FL,IBM54,NULL,NULL,JK06-M1-356,NULL,NULL,NULL,NULL,20,NULL,NULL,sib 2-3,NULL,8
08FL0008,NULL,08FL,Mp717,NULL,NULL,WPW,NULL,NULL,NULL,NULL,20,NULL,NULL,sib 2-3,NULL,8
08FL0009,NULL,08FL,Mp313E,NULL,NULL,"NCRPIS, 04ncai01",NULL,NULL,NULL,NULL,20,NULL,NULL,sib 2-3,NULL,8
08FL0010,NULL,08FL,CML322,NULL,NULL,"NCRPIS, 04ncai01",NULL,NULL,NULL,NULL,20,NULL,NULL,sib 2-3,NULL,8
08FL0011,NULL,08FL,Mp339,NULL,NULL,"NCRPIS, 06ncai01",NULL,NULL,NULL,NULL,20,NULL,NULL,sib 2-3,NULL,8
08FL0012,NULL,08FL,Sc212m,NULL,NULL,WPW,NULL,NULL,NULL,NULL,20,NULL,NULL,sib 2-3,NULL,8
08FL0013,NULL,08FL,NC300,NULL,NULL,"NCRPIS, 04ncai01",NULL,NULL,NULL,NULL,20,NULL,NULL,sib 2-3,NULL,8
08FL0014,NULL,08FL,CML52,NULL,NULL,05FL440,NULL,NULL,NULL,NULL,20,NULL,NULL,sib 2-3,NULL,8
08FL0015,NULL,08FL,(B73؃ML322)S5 RIL #8,NULL,NULL,07A4846,NULL,NULL,NULL,NULL,20,NULL,NULL,sib 2-3,NULL,8
08FL0016,NULL,08FL,(B73؃ML322)S5 RIL #10,NULL,NULL,07A5727,NULL,NULL,NULL,NULL,20,NULL,NULL,sib 2-3,NULL,8
08FL0017,NULL,08FL,(B73؃ML322)S5 RIL #12,NULL,NULL,07A4272,NULL,NULL,NULL,NULL,20,NULL,NULL,sib 2-3,NULL,8
08FL0018,NULL,08FL,(B73؃ML322)S5 RIL #18,NULL,NULL,07A3399,NULL,NULL,NULL,NULL,20,NULL,NULL,sib 2-3,NULL,8
08FL0019,NULL,08FL,(B73؃ML322)S5 RIL #23,NULL,NULL,06A0136,NULL,NULL,NULL,NULL,20,NULL,NULL,sib 2-3,NULL,8
08FL0020,NULL,08FL,(B73؃ML322)S5 RIL #52,NULL,NULL,07A1351,NULL,NULL,NULL,NULL,20,NULL,NULL,sib 2-3,NULL,8
08FL0021,NULL,08FL,(B73؃ML322)S5 RIL #63,NULL,NULL,07A4074,NULL,NULL,NULL,NULL,20,NULL,NULL,sib 2-3,NULL,8
08FL0022,NULL,08FL,(B73؃ML322)S5 RIL #65,NULL,NULL,07A4079,NULL,NULL,NULL,NULL,20,NULL,NULL,sib 2-3,NULL,8
08FL0023,NULL,08FL,(B73؃ML322)S5 RIL #76,NULL,NULL,07A2742,NULL,NULL,NULL,NULL,20,NULL,NULL,sib 2-3,NULL,8
08FL0024,NULL,08FL,(B73؃ML322)S5 RIL #83,NULL,NULL,07A4816,NULL,NULL,NULL,NULL,20,NULL,NULL,sib 2-3,NULL,8
08FL0025,NULL,08FL,(B73؃ML322)S5 RIL #86,NULL,NULL,07A3533,NULL,NULL,NULL,NULL,20,NULL,NULL,sib 2-3,NULL,8
08FL0026,NULL,08FL,(B73؃ML322)S5 RIL #96,NULL,NULL,07A4948,NULL,NULL,NULL,NULL,20,NULL,NULL,sib 2-3,NULL,8
08FL0027,NULL,08FL,(B73؃ML322)S5 RIL #116,NULL,NULL,07A2746,NULL,NULL,NULL,NULL,20,NULL,NULL,sib 2-3,NULL,8
08FL0028,NULL,08FL,(B73؃ML322)S5 RIL #117,NULL,NULL,07A4486,NULL,NULL,NULL,NULL,20,NULL,NULL,sib 2-3,NULL,8
08FL0029,NULL,08FL,(B73؃ML322)S5 RIL #123,NULL,NULL,07A5431,NULL,NULL,NULL,NULL,20,NULL,NULL,sib 2-3,NULL,8
08FL0030,NULL,08FL,(B73؃ML322)S5 RIL #134,NULL,NULL,07A0821,NULL,NULL,NULL,NULL,20,NULL,NULL,sib 2-3,NULL,8
08FL0031,NULL,08FL,(B73؃ML322)S5 RIL #138,NULL,NULL,07A4749,NULL,NULL,NULL,NULL,20,NULL,NULL,sib 2-3,NULL,8
08FL0032,NULL,08FL,(B73؃ML322)S5 RIL #142,NULL,NULL,07A3958,NULL,NULL,NULL,NULL,20,NULL,NULL,sib 2-3,NULL,8
08FL0033,NULL,08FL,(B73؃ML322)S5 RIL #144,NULL,NULL,07A4400,NULL,NULL,NULL,NULL,20,NULL,NULL,sib 2-3,NULL,8
08FL0034,NULL,08FL,(B73؃ML322)S5 RIL #154,NULL,NULL,07A2011,NULL,NULL,NULL,NULL,20,NULL,NULL,sib 2-3,NULL,8
08FL0035,NULL,08FL,(B73؃ML322)S5 RIL #158,NULL,NULL,07A5315,NULL,NULL,NULL,NULL,20,NULL,NULL,sib 2-3,NULL,8
08FL0036,NULL,08FL,(B73؃ML322)S5 RIL #159,NULL,NULL,07A2143,NULL,NULL,NULL,NULL,20,NULL,NULL,sib 2-3,NULL,8
08FL0037,NULL,08FL,(B73؃ML322)S5 RIL #160,NULL,NULL,07A4211,NULL,NULL,NULL,NULL,20,NULL,NULL,sib 2-3,NULL,8
