08PT0006_001x,08PT0006_001,08PT0006,08PT,B73,NULL,NULL,backcross,08PT0011_001,07PR140101A,NULL,(B73xAmes 21889)BC4S2_BC1,NULL,10,NULL,NULL,NULL,NULL
08PT0006_002x,08PT0006_002,08PT0006,08PT,B73,NULL,NULL,backcross,08PT0011_002,07PR140101A,NULL,(B73xAmes 21889)BC4S2_BC1,NULL,10,NULL,NULL,NULL,NULL
08PT0006_003x,08PT0006_003,08PT0006,08PT,B73,NULL,NULL,backcross,08PT0011_003,07PR140101A,NULL,(B73xAmes 21889)BC4S2_BC1,NULL,10,NULL,NULL,NULL,NULL
08PT0006_004x,08PT0006_004,08PT0006,08PT,B73,NULL,NULL,backcross,08PT0011_004,07PR140101A,NULL,(B73xAmes 21889)BC4S2_BC1,NULL,10,NULL,NULL,NULL,NULL
08PT0011_001s,08PT0011_001,08PT0011,08PT,NULL,NULL,NULL,self,08PT0011_001,07PR140101A,NULL,(B73xAmes 21889)BC4S3,NULL,10,NULL,NULL,NULL,NULL
08PT0011_002s,08PT0011_002,08PT0011,08PT,NULL,NULL,NULL,self,08PT0011_002,07PR140101A,NULL,(B73xAmes 21889)BC4S3,NULL,10,NULL,NULL,NULL,NULL
08PT0011_003s,08PT0011_003,08PT0011,08PT,NULL,NULL,NULL,self,08PT0011_003,07PR140101A,NULL,(B73xAmes 21889)BC4S3,NULL,10,NULL,NULL,NULL,NULL
08PT0011_004s,08PT0011_004,08PT0011,08PT,NULL,NULL,NULL,self,08PT0011_004,07PR140101A,NULL,(B73xAmes 21889)BC4S3,NULL,10,NULL,NULL,NULL,NULL
08PT0052_001x,08PT0052_001,08PT0052,08PT,B73,NULL,NULL,backcross,08PT0060_001,07PR141901A,NULL,(B73xAmes 21889)BC4S2_BC1,NULL,10,NULL,NULL,NULL,NULL
08PT0052_002x,08PT0052_002,08PT0052,08PT,B73,NULL,NULL,backcross,08PT0060_002,07PR141901A,NULL,(B73xAmes 21889)BC4S2_BC1,NULL,10,NULL,NULL,NULL,NULL
08PT0052_003x,08PT0052_003,08PT0052,08PT,B73,NULL,NULL,backcross,08PT0064_003,07PR140101A,NULL,(B73xAmes 21889)BC4S2_BC1,NULL,10,NULL,NULL,NULL,NULL
08PT0058_001x,08PT0058_001,08PT0058,08PT,B73,NULL,NULL,backcross,08PT0060_003,07PR141901A,NULL,(B73xAmes 21889)BC4S2_BC1,NULL,10,NULL,NULL,NULL,NULL
08PT0058_002x,08PT0058_002,08PT0058,08PT,B73,NULL,NULL,backcross,08PT0060_004,07PR141901A,NULL,(B73xAmes 21889)BC4S2_BC1,NULL,10,NULL,NULL,NULL,NULL
08PT0060_001s,08PT0060_001,08PT0060,08PT,NULL,NULL,NULL,self,08PT0060_001,07PR141901A,NULL,(B73xAmes 21889)BC4S3,NULL,10,NULL,NULL,NULL,NULL
08PT0060_002s,08PT0060_002,08PT0060,08PT,NULL,NULL,NULL,self,08PT0060_002,07PR141901A,NULL,(B73xAmes 21889)BC4S3,NULL,10,NULL,NULL,NULL,NULL
08PT0060_003s,08PT0060_003,08PT0060,08PT,NULL,NULL,NULL,self,08PT0060_003,07PR141901A,NULL,(B73xAmes 21889)BC4S3,NULL,10,NULL,NULL,NULL,NULL
08PT0060_004s,08PT0060_004,08PT0060,08PT,NULL,NULL,NULL,self,08PT0060_004,07PR141901A,NULL,(B73xAmes 21889)BC4S3,NULL,10,NULL,NULL,NULL,NULL
08PT0064_001s,08PT0064_001,08PT0064,08PT,NULL,NULL,NULL,self,08PT0064_001,07PR140101A,NULL,(B73xAmes 21889)BC4S3,NULL,10,NULL,NULL,NULL,NULL
08PT0064_002s,08PT0064_002,08PT0064,08PT,NULL,NULL,NULL,self,08PT0064_002,07PR140101A,NULL,(B73xAmes 21889)BC4S3,NULL,10,NULL,NULL,NULL,NULL
08PT0064_003s,08PT0064_003,08PT0064,08PT,NULL,NULL,NULL,self,08PT0064_003,07PR140101A,NULL,(B73xAmes 21889)BC4S3,NULL,10,NULL,NULL,NULL,NULL
08PT0064_004s,08PT0064_004,08PT0064,08PT,NULL,NULL,NULL,self,08PT0064_004,07PR140101A,NULL,(B73xAmes 21889)BC4S3,NULL,10,NULL,NULL,NULL,NULL
08PT0068_001x,08PT0068_001,08PT0068,08PT,B73,NULL,NULL,backcross,08PT0064_001,07PR140101A,NULL,(B73xAmes 21889)BC4S2_BC1,NULL,10,NULL,NULL,NULL,NULL
08PT0068_002x,08PT0068_002,08PT0068,08PT,B73,NULL,NULL,backcross,08PT0064_002,07PR140101A,NULL,(B73xAmes 21889)BC4S2_BC1,NULL,10,NULL,NULL,NULL,NULL
