09BD0004_001b,NULL,09BD0004,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Ki11,NULL,31,NULL,NULL,NULL,NULL
09BD0007_001b,NULL,09BD0007,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mo47,NULL,31,NULL,NULL,NULL,NULL
09BD0010_001b,NULL,09BD0010,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,H95,NULL,31,NULL,NULL,NULL,NULL
09BD0015_001b,NULL,09BD0015,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,R177,NULL,31,NULL,NULL,NULL,NULL
09BD0017_001b,NULL,09BD0017,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NC366,NULL,31,NULL,NULL,NULL,NULL
09BD0020_001b,NULL,09BD0020,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A554,NULL,31,NULL,NULL,NULL,NULL
09BD0022_001b,NULL,09BD0022,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,IDS69,NULL,31,NULL,NULL,NULL,NULL
09BD0025_001b,NULL,09BD0025,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DE_2,NULL,31,NULL,NULL,NULL,NULL
09BD0028_001b,NULL,09BD0028,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Tzi8,NULL,31,NULL,NULL,NULL,NULL
09BD0030_001b,NULL,09BD0030,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mo24W,NULL,31,NULL,NULL,NULL,NULL
09BD0031_001b,NULL,09BD0031,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NC348,NULL,31,NULL,NULL,NULL,NULL
09BD0032_001b,NULL,09BD0032,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,R168,NULL,31,NULL,NULL,NULL,NULL
09BD0034_001b,NULL,09BD0034,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,B37,NULL,31,NULL,NULL,NULL,NULL
09BD0038_001b,NULL,09BD0038,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,B14A,NULL,31,NULL,NULL,NULL,NULL
09BD0039_001b,NULL,09BD0039,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NC358,NULL,31,NULL,NULL,NULL,NULL
09BD0042_001b,NULL,09BD0042,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,B103,NULL,31,NULL,NULL,NULL,NULL
09BD0043_001b,NULL,09BD0043,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,M37W,NULL,31,NULL,NULL,NULL,NULL
09BD0044_001b,NULL,09BD0044,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Oh40B,NULL,31,NULL,NULL,NULL,NULL
09BD0046_001b,NULL,09BD0046,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,B2,NULL,31,NULL,NULL,NULL,NULL
09BD0049_001b,NULL,09BD0049,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,H105W,NULL,31,NULL,NULL,NULL,NULL
09BD0053_001b,NULL,09BD0053,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DE_3,NULL,31,NULL,NULL,NULL,NULL
09BD0055_001b,NULL,09BD0055,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,T8,NULL,31,NULL,NULL,NULL,NULL
09BD0058_001b,NULL,09BD0058,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A6,NULL,31,NULL,NULL,NULL,NULL
09BD0060_001b,NULL,09BD0060,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MS1334,NULL,31,NULL,NULL,NULL,NULL
09BD0061_001b,NULL,09BD0061,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CML5,NULL,31,NULL,NULL,NULL,NULL
09BD0062_001b,NULL,09BD0062,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,I137TN,NULL,31,NULL,NULL,NULL,NULL
09BD0064_001b,NULL,09BD0064,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,B105,NULL,31,NULL,NULL,NULL,NULL
09BD0066_001b,NULL,09BD0066,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,R109B,NULL,31,NULL,NULL,NULL,NULL
09BD0067_001b,NULL,09BD0067,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,K4,NULL,31,NULL,NULL,NULL,NULL
09BD0069_001b,NULL,09BD0069,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NC236,NULL,31,NULL,NULL,NULL,NULL
09BD0070_001b,NULL,09BD0070,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,B46,NULL,31,NULL,NULL,NULL,NULL
09BD0072_001b,NULL,09BD0072,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DE1,NULL,31,NULL,NULL,NULL,NULL
09BD0073_001b,NULL,09BD0073,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,E2558W,NULL,31,NULL,NULL,NULL,NULL
09BD0080_001b,NULL,09BD0080,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,W22,NULL,31,NULL,NULL,NULL,NULL
09BD0081_001b,NULL,09BD0081,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C103,NULL,31,NULL,NULL,NULL,NULL
09BD0083_001b,NULL,09BD0083,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CML218,NULL,31,NULL,NULL,NULL,NULL
09BD0087_001b,NULL,09BD0087,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NC296,NULL,31,NULL,NULL,NULL,NULL
09BD0091_001b,NULL,09BD0091,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NC294,NULL,31,NULL,NULL,NULL,NULL
09BD0095_001b,NULL,09BD0095,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Ki21,NULL,31,NULL,NULL,NULL,NULL
09BD0096_001b,NULL,09BD0096,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CML220,NULL,31,NULL,NULL,NULL,NULL
09BD0097_001b,NULL,09BD0097,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CML10,NULL,31,NULL,NULL,NULL,NULL
09BD0098_001b,NULL,09BD0098,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NC262,NULL,31,NULL,NULL,NULL,NULL
09BD0099_001b,NULL,09BD0099,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CML277,NULL,31,NULL,NULL,NULL,NULL
09BD0106_001b,NULL,09BD0106,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CML11,NULL,31,NULL,NULL,NULL,NULL
09BD0110_001b,NULL,09BD0110,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Tzi16,NULL,31,NULL,NULL,NULL,NULL
09BD0113_001b,NULL,09BD0113,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,B164,NULL,31,NULL,NULL,NULL,NULL
09BD0116_001b,NULL,09BD0116,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sg18,NULL,31,NULL,NULL,NULL,NULL
09BD0117_001b,NULL,09BD0117,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Ky21,NULL,31,NULL,NULL,NULL,NULL
09BD0118_001b,NULL,09BD0118,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,W64A,NULL,31,NULL,NULL,NULL,NULL
09BD0119_001b,NULL,09BD0119,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NC364,NULL,31,NULL,NULL,NULL,NULL
09BD0121_001b,NULL,09BD0121,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N7A,NULL,31,NULL,NULL,NULL,NULL
09BD0122_001b,NULL,09BD0122,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NC358,NULL,31,NULL,NULL,NULL,NULL
