10TI0001,1.02 B73,10TI,NULL,NULL,09TF20113_004s,NULL,8,NULL,NULL,NULL,16,NULL,NULL,seed increase,sib,34
10TI0002,1.02 B73,10TI,NULL,NULL,09TF20113_004s,NULL,8,NULL,NULL,NULL,16,NULL,NULL,seed increase,sib,34
10TI0003,1.02 Tx303,10TI,NULL,NULL,09PR0083_003s,NULL,8,NULL,NULL,NULL,16,NULL,NULL,seed increase,sib,34
10TI0004,1.02 Tx303,10TI,NULL,NULL,09PR0083_003s,NULL,8,NULL,NULL,NULL,16,NULL,NULL,seed increase,sib,34
10TI0005,1.06 B73,10TI,NULL,NULL,09PN0111_004s,NULL,8,NULL,NULL,NULL,16,NULL,NULL,seed increase,sib,34
10TI0006,1.06 B73,10TI,NULL,NULL,09PN0111_004s,NULL,8,NULL,NULL,NULL,16,NULL,NULL,seed increase,sib,34
10TI0007,1.06 Tx303,10TI,NULL,NULL,09PN0112_003s,NULL,8,NULL,NULL,NULL,16,NULL,NULL,seed increase,sib,34
10TI0008,1.06 Tx303,10TI,NULL,NULL,09PN0112_003s,NULL,8,NULL,NULL,NULL,16,NULL,NULL,seed increase,sib,34
10TI0009,A619,10TI,NULL,NULL,94ncai01,NULL,8,NULL,NULL,NULL,16,NULL,NULL,seed increase,sib,34
10TI0010,A619,10TI,NULL,NULL,94ncai01,NULL,8,NULL,NULL,NULL,16,NULL,NULL,seed increase,sib,34
10TI0011,B68,10TI,NULL,NULL,05FL0530_001b,NULL,8,NULL,NULL,NULL,16,NULL,NULL,seed increase,sib,34
10TI0012,B73,10TI,NULL,NULL,PI550473,PI550473,8,NULL,NULL,NULL,16,NULL,NULL,seed increase,sib,34
10TI0013,B73,10TI,NULL,NULL,PI550473,PI550473,8,NULL,NULL,NULL,16,NULL,NULL,seed increase,sib,34
10TI0014,B73,10TI,NULL,NULL,PI550473,PI550473,8,NULL,NULL,NULL,16,NULL,NULL,seed increase,sib,34
10TI0015,Ht2^A619,10TI,NULL,NULL,1998P-31-7s,NULL,8,NULL,NULL,NULL,16,NULL,NULL,seed increase,sib,34
10TI0016,Ht2^A619,10TI,NULL,NULL,1998P-31-7s,NULL,8,NULL,NULL,NULL,16,NULL,NULL,seed increase,sib,34
10TI0017,Ht2^NN14B,10TI,NULL,NULL,1998P-30-7s,NULL,8,NULL,NULL,NULL,16,NULL,NULL,seed increase,sib,34
10TI0018,Ht2^NN14B,10TI,NULL,NULL,1998P-30-7s,NULL,8,NULL,NULL,NULL,16,NULL,NULL,seed increase,sib,34
10TI0019,Ht2^Oh43,10TI,NULL,NULL,1998P-33-2s,NULL,8,NULL,NULL,NULL,16,NULL,NULL,seed increase,sib,34
10TI0020,Ht2^Oh43,10TI,NULL,NULL,1998P-33-2s,NULL,8,NULL,NULL,NULL,16,NULL,NULL,seed increase,sib,34
10TI0021,Ht2^Pa91,10TI,NULL,NULL,1998P-37-1s,NULL,8,NULL,NULL,NULL,16,NULL,NULL,seed increase,sib,34
10TI0022,Ht2^Pa91,10TI,NULL,NULL,1998P-37-1s,NULL,8,NULL,NULL,NULL,16,NULL,NULL,seed increase,sib,34
10TI0023,HtN^B68,10TI,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,16,NULL,NULL,seed increase,sib,34
10TI0024,qEt8.06DK888,10TI,DK888/S11,NULL,08CF2006_050s,NULL,8,NULL,NULL,NULL,16,NULL,NULL,seed increase,sib,34
10TI0025,Oh43,10TI,NULL,NULL,09PN,NULL,8,NULL,NULL,NULL,16,NULL,NULL,seed increase,sib,34
10TI0026,Oh43,10TI,NULL,NULL,09PN,NULL,8,NULL,NULL,NULL,16,NULL,NULL,seed increase,sib,34
10TI0027,Pa91,10TI,NULL,NULL,FL05/06 02:369-370,NULL,8,NULL,NULL,NULL,16,NULL,NULL,seed increase,sib,34
10TI0028,qEt8.06S11,10TI,DK888/S11,NULL,08CF2006_097s,NULL,8,NULL,NULL,NULL,16,NULL,NULL,seed increase,sib,34
