10TF2001_005s,10TF2001_005,10TF2001,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2011_001s,10TF2011_001,10TF2011,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2014_003s,10TF2014_003,10TF2014,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2030_006s,10TF2030_006,10TF2030,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2040_002s,10TF2040_002,10TF2040,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2071_007s,10TF2071_007,10TF2071,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2087_002s,10TF2087_002,10TF2087,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2097_004s,10TF2097_004,10TF2097,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2097_007s,10TF2097_007,10TF2097,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2097_008s,10TF2097_008,10TF2097,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2099_001s,10TF2099_001,10TF2099,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2099_002s,10TF2099_002,10TF2099,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2267_006s,10TF2267_006,10TF2267,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
