09SX0001_001s,09SX0001_001,09SX0001,09SX,Z006E0003,NULL,NULL,self,09SX0001_001,NULL,NULL,Z006E0003__001,NULL,8,A.flavus HIF,NULL,NULL,NULL
09SX0001_002s,09SX0001_002,09SX0001,09SX,Z006E0003,NULL,NULL,self,09SX0001_002,NULL,NULL,Z006E0003__002,NULL,8,A.flavus HIF,NULL,NULL,NULL
09SX0001_003s,09SX0001_003,09SX0001,09SX,Z006E0003,NULL,NULL,self,09SX0001_003,NULL,NULL,Z006E0003__003,NULL,8,A.flavus HIF,NULL,NULL,NULL
09SX0001_004s,09SX0001_004,09SX0001,09SX,Z006E0003,NULL,NULL,self,09SX0001_004,NULL,NULL,Z006E0003__004,NULL,8,A.flavus HIF,NULL,NULL,NULL
09SX0001_005s,09SX0001_005,09SX0001,09SX,Z006E0003,NULL,NULL,self,09SX0001_005,NULL,NULL,Z006E0003__005,NULL,8,A.flavus HIF,NULL,NULL,NULL
09SX0001_006s,09SX0001_006,09SX0001,09SX,Z006E0003,NULL,NULL,self,09SX0001_006,NULL,NULL,Z006E0003__006,NULL,8,A.flavus HIF,NULL,NULL,NULL
09SX0001_007s,09SX0001_007,09SX0001,09SX,Z006E0003,NULL,NULL,self,09SX0001_007,NULL,NULL,Z006E0003__007,NULL,8,A.flavus HIF,NULL,NULL,NULL
09SX0001_008s,09SX0001_008,09SX0001,09SX,Z006E0003,NULL,NULL,self,09SX0001_008,NULL,NULL,Z006E0003__008,NULL,8,A.flavus HIF,NULL,NULL,NULL
09SX0001_009s,09SX0001_009,09SX0001,09SX,Z006E0003,NULL,NULL,self,09SX0001_009,NULL,NULL,Z006E0003__009,NULL,8,A.flavus HIF,NULL,NULL,NULL
09SX0001_010s,09SX0001_010,09SX0001,09SX,Z006E0003,NULL,NULL,self,09SX0001_010,NULL,NULL,Z006E0003__010,NULL,8,A.flavus HIF,NULL,NULL,NULL
09SX0001_011s,09SX0001_011,09SX0001,09SX,Z006E0003,NULL,NULL,self,09SX0001_011,NULL,NULL,Z006E0003__011,NULL,8,A.flavus HIF,NULL,NULL,NULL
09SX0001_012s,09SX0001_012,09SX0001,09SX,Z006E0003,NULL,NULL,self,09SX0001_012,NULL,NULL,Z006E0003__012,NULL,8,A.flavus HIF,NULL,NULL,NULL
09SX0001_013s,09SX0001_013,09SX0001,09SX,Z006E0003,NULL,NULL,self,09SX0001_013,NULL,NULL,Z006E0003__013,NULL,8,A.flavus HIF,NULL,NULL,NULL
09SX0001_014s,09SX0001_014,09SX0001,09SX,Z006E0003,NULL,NULL,self,09SX0001_014,NULL,NULL,Z006E0003__014,NULL,8,A.flavus HIF,NULL,NULL,NULL
09SX0001_015s,09SX0001_015,09SX0001,09SX,Z006E0003,NULL,NULL,self,09SX0001_015,NULL,NULL,Z006E0003__015,NULL,8,A.flavus HIF,NULL,NULL,NULL
09SX0001_016s,09SX0001_016,09SX0001,09SX,Z006E0003,NULL,NULL,self,09SX0001_016,NULL,NULL,Z006E0003__016,NULL,8,A.flavus HIF,NULL,NULL,NULL
09SX0001_017s,09SX0001_017,09SX0001,09SX,Z006E0003,NULL,NULL,self,09SX0001_017,NULL,NULL,Z006E0003__017,NULL,8,A.flavus HIF,NULL,NULL,NULL
09SX0002_001s,09SX0002_001,09SX0002,09SX,Z006E0014,NULL,NULL,self,09SX0002_001,NULL,NULL,Z006E0014__001,NULL,8,A.flavus HIF,NULL,NULL,NULL
09SX0002_002s,09SX0002_002,09SX0002,09SX,Z006E0014,NULL,NULL,self,09SX0002_002,NULL,NULL,Z006E0014__002,NULL,8,A.flavus HIF,NULL,NULL,NULL
09SX0002_003s,09SX0002_003,09SX0002,09SX,Z006E0014,NULL,NULL,self,09SX0002_003,NULL,NULL,Z006E0014__003,NULL,8,A.flavus HIF,NULL,NULL,NULL
09SX0002_004s,09SX0002_004,09SX0002,09SX,Z006E0014,NULL,NULL,self,09SX0002_004,NULL,NULL,Z006E0014__004,NULL,8,A.flavus HIF,NULL,NULL,NULL
09SX0002_005s,09SX0002_005,09SX0002,09SX,Z006E0014,NULL,NULL,self,09SX0002_005,NULL,NULL,Z006E0014__005,NULL,8,A.flavus HIF,NULL,NULL,NULL
09SX0002_006s,09SX0002_006,09SX0002,09SX,Z006E0014,NULL,NULL,self,09SX0002_006,NULL,NULL,Z006E0014__006,NULL,8,A.flavus HIF,NULL,NULL,NULL
09SX0002_007s,09SX0002_007,09SX0002,09SX,Z006E0014,NULL,NULL,self,09SX0002_007,NULL,NULL,Z006E0014__007,NULL,8,A.flavus HIF,NULL,NULL,NULL
09SX0002_008s,09SX0002_008,09SX0002,09SX,Z006E0014,NULL,NULL,self,09SX0002_008,NULL,NULL,Z006E0014__008,NULL,8,A.flavus HIF,NULL,NULL,NULL
09SX0003_001s,09SX0003_001,09SX0003,09SX,Z006E0031,NULL,NULL,self,09SX0003_001,NULL,NULL,Z006E0031__001,NULL,8,A.flavus HIF,NULL,NULL,NULL
09SX0003_002s,09SX0003_002,09SX0003,09SX,Z006E0031,NULL,NULL,self,09SX0003_002,NULL,NULL,Z006E0031__002,NULL,8,A.flavus HIF,NULL,NULL,NULL
09SX0003_003s,09SX0003_003,09SX0003,09SX,Z006E0031,NULL,NULL,self,09SX0003_003,NULL,NULL,Z006E0031__003,NULL,8,A.flavus HIF,NULL,NULL,NULL
09SX0003_004s,09SX0003_004,09SX0003,09SX,Z006E0031,NULL,NULL,self,09SX0003_004,NULL,NULL,Z006E0031__004,NULL,8,A.flavus HIF,NULL,NULL,NULL
