09SC0001,NULL,09SC,Z006E0036,NULL,07FL0331_000b,07FL331,1,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0002,NULL,09SC,Z006E0157,NULL,07FL0404_000b,07FL404,1,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0003,NULL,09SC,154,NULL,08SC1034_000b,NULL,1,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0004,NULL,09SC,198,NULL,08SC1018_000b,NULL,1,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0005,NULL,09SC,Z006E0178,NULL,07FL0417_000b,07FL417,1,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0006,NULL,09SC,Z006E0182,NULL,08FL0042_000b,NULL,1,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0007,NULL,09SC,Z006E0061,NULL,07FL0348_000b,07FL348,1,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0008,NULL,09SC,104,NULL,08SC1002_000b,NULL,1,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0009,NULL,09SC,Z006E0010,NULL,08FL0016_000b,NULL,1,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0010,NULL,09SC,Z006E0050,NULL,07FL0339_000b,07FL339,1,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0011,NULL,09SC,Z006E0117,NULL,08FL0028_000b,NULL,1,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0012,NULL,09SC,175,NULL,08SC1052_000b,NULL,1,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0013,NULL,09SC,Z006E0186,NULL,07FL0421_000b,07FL421,1,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0014,NULL,09SC,Z006E0197,NULL,07FL0426_000b,07FL426,1,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0015,NULL,09SC,82,NULL,08SC1071_000b,NULL,1,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0016,NULL,09SC,Z006E0048,NULL,07FL0337_000b,07FL337,1,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
