08PN0015_000b,08PN0015_000,08PN0015,08PN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Ki11,NULL,3,NULL,Ki11  sib increase,NULL,NULL
08PN0016_000b,08PN0016_000,08PN0016,08PN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Ki3,NULL,3,NULL,Ki3  sib increase,NULL,NULL
08PN0017_000b,08PN0017_000,08PN0017,08PN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Ky21,NULL,3,NULL,Ky21  sib increase,NULL,NULL
08PN0018_000b,08PN0018_000,08PN0018,08PN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,M162W,NULL,3,NULL,M162W  sib increase,NULL,NULL
08PN0019_000b,08PN0019_000,08PN0019,08PN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,M37W,NULL,3,NULL,M37W  sib increase,NULL,NULL
08PN0020_000b,08PN0020_000,08PN0020,08PN,NULL,NULL,NULL,sib,NULL,NULL,NULL,Mo17,NULL,3,NULL,Mo17 (IBM)  sib increase,NULL,NULL
08PN0021_000b,08PN0021_000,08PN0021,08PN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mo18W,NULL,3,NULL,Mo18W  sib increase,NULL,NULL
08PN0022_000b,08PN0022_000,08PN0022,08PN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MS71,NULL,3,NULL,MS71  sib increase,NULL,NULL
08PN0023_000b,08PN0023_000,08PN0023,08PN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NC350,NULL,3,NULL,NC350  sib increase,NULL,NULL
08PN0024_000b,08PN0024_000,08PN0024,08PN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NC358,NULL,3,NULL,NC358  sib increase,NULL,NULL
08PN0025_000b,08PN0025_000,08PN0025,08PN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Oh43,NULL,3,NULL,Oh43  sib increase,NULL,NULL
08PN0026_000b,08PN0026_000,08PN0026,08PN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Oh7B,NULL,3,NULL,Oh7B  sib increase,NULL,NULL
08PN0027_000b,08PN0027_000,08PN0027,08PN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,P39,NULL,3,NULL,P39  sib increase,NULL,NULL
08PN0028_000b,08PN0028_000,08PN0028,08PN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Tx303,NULL,3,NULL,Tx303  sib increase,NULL,NULL
08PN0029_000b,08PN0029_000,08PN0029,08PN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Tzi8,NULL,3,NULL,Tzi8  sib increase,NULL,NULL
