08SC1057_000b,NULL,08SC1057,08SC,80,NULL,80,sib/self,NULL,NULL,NAM,(B73xCML322)S5_80,NULL,8,NULL,07FL360,NULL,NULL
08SC1058_000b,NULL,08SC1058,08SC,142,NULL,142,sib/self,NULL,NULL,NAM,(B73xCML322)S5_142,NULL,8,NULL,07A3958,NULL,NULL
08SC1063_000b,NULL,08SC1063,08SC,34,NULL,34,sib/self,NULL,NULL,NAM,(B73xCML322)S5_34,NULL,8,NULL,07A1150,NULL,NULL
08SC1064_000b,NULL,08SC1064,08SC,89,NULL,89,sib/self,NULL,NULL,NAM,(B73xCML322)S5_89,NULL,8,NULL,07A4008,NULL,NULL
08SC1067_000b,NULL,08SC1067,08SC,192,NULL,192,sib/self,NULL,NULL,NAM,(B73xCML322)S5_192,NULL,8,NULL,07FL424,NULL,NULL
08SC1070_000b,NULL,08SC1070,08SC,14,NULL,14,sib/self,NULL,NULL,NAM,(B73xCML322)S5_14,NULL,8,NULL,07A0805,NULL,NULL
08SC1071_000b,NULL,08SC1071,08SC,82,NULL,82,sib/self,NULL,NULL,NAM,(B73xCML322)S5_82,NULL,8,NULL,07A4752,NULL,NULL
08SC1072_000b,NULL,08SC1072,08SC,81,NULL,81,sib/self,NULL,NULL,NAM,(B73xCML322)S5_81,NULL,8,NULL,07FL361,NULL,NULL
08SC1073_000b,NULL,08SC1073,08SC,100,NULL,100,sib/self,NULL,NULL,NAM,(B73xCML322)S5_100,NULL,8,NULL,07A3691,NULL,NULL
08SC1074_000b,NULL,08SC1074,08SC,15,NULL,15,sib/self,NULL,NULL,NAM,(B73xCML322)S5_15,NULL,8,NULL,07FL318,NULL,NULL
08SC1075_000b,NULL,08SC1075,08SC,124,NULL,124,sib/self,NULL,NULL,NAM,(B73xCML322)S5_124,NULL,8,NULL,07FL382,NULL,NULL
08SC1077_000b,NULL,08SC1077,08SC,159,NULL,159,sib/self,NULL,NULL,NAM,(B73xCML322)S5_159,NULL,8,NULL,07A2143,NULL,NULL
08SC1078_000b,NULL,08SC1078,08SC,166,NULL,166,sib/self,NULL,NULL,NAM,(B73xCML322)S5_166,NULL,8,NULL,07FL409,NULL,NULL
08SC1079_000b,NULL,08SC1079,08SC,65,NULL,65,sib/self,NULL,NULL,NAM,(B73xCML322)S5_65,NULL,8,NULL,07A4079,NULL,NULL
08SC1080_000b,NULL,08SC1080,08SC,200,NULL,200,sib/self,NULL,NULL,NAM,(B73xCML322)S5_200,NULL,8,NULL,07FL428,NULL,NULL
08SC1082_000b,NULL,08SC1082,08SC,120,NULL,120,sib/self,NULL,NULL,NAM,(B73xCML322)S5_120,NULL,8,NULL,07A1411,NULL,NULL
08SC1083_000b,NULL,08SC1083,08SC,10,NULL,10,sib/self,NULL,NULL,NAM,(B73xCML322)S5_10,NULL,8,NULL,07A5727,NULL,NULL
08SC1085_000b,NULL,08SC1085,08SC,125,NULL,125,sib/self,NULL,NULL,NAM,(B73xCML322)S5_125,NULL,8,NULL,07FL383,NULL,NULL
08SC1089_000b,NULL,08SC1089,08SC,57,NULL,57,sib/self,NULL,NULL,NAM,(B73xCML322)S5_57,NULL,8,NULL,07FL344,NULL,NULL
08SC1090_000b,NULL,08SC1090,08SC,171,NULL,171,sib/self,NULL,NULL,NAM,(B73xCML322)S5_171,NULL,8,NULL,07FL413,NULL,NULL
08SC1091_000b,NULL,08SC1091,08SC,68,NULL,68,sib/self,NULL,NULL,NAM,(B73xCML322)S5_68,NULL,8,NULL,07A1329,NULL,NULL
08SC1092_000b,NULL,08SC1092,08SC,178,NULL,178,sib/self,NULL,NULL,NAM,(B73xCML322)S5_178,NULL,8,NULL,07FL417,NULL,NULL
08SC1094_000b,NULL,08SC1094,08SC,147,NULL,147,sib/self,NULL,NULL,NAM,(B73xCML322)S5_147,NULL,8,NULL,07FL396,NULL,NULL
08SC1095_000b,NULL,08SC1095,08SC,90,NULL,90,sib/self,NULL,NULL,NAM,(B73xCML322)S5_90,NULL,8,NULL,07FL366,NULL,NULL
08SC1096_000b,NULL,08SC1096,08SC,91,NULL,91,sib/self,NULL,NULL,NAM,(B73xCML322)S5_91,NULL,8,NULL,07FL367,NULL,NULL
08SC1102_000b,NULL,08SC1102,08SC,185,NULL,185,sib/self,NULL,NULL,NAM,(B73xCML322)S5_185,NULL,8,NULL,07FL420,NULL,NULL
08SC1103_000b,NULL,08SC1103,08SC,46,NULL,46,sib/self,NULL,NULL,NAM,(B73xCML322)S5_46,NULL,8,NULL,07FL336,NULL,NULL
08SC1104_000b,NULL,08SC1104,08SC,162,NULL,162,sib/self,NULL,NULL,NAM,(B73xCML322)S5_162,NULL,8,NULL,07A2447 or 06A0179,NULL,NULL
08SC1105_000b,NULL,08SC1105,08SC,36,NULL,36,sib/self,NULL,NULL,NAM,(B73xCML322)S5_36,NULL,8,NULL,07FL331,NULL,NULL
08SC1109_000b,NULL,08SC1109,08SC,1,NULL,1,sib/self,NULL,NULL,NAM,(B73xCML322)S5_1,NULL,8,NULL,07FL309,NULL,NULL
08SC1112_000b,NULL,08SC1112,08SC,113,NULL,113,sib/self,NULL,NULL,NAM,(B73xCML322)S5_113,NULL,8,NULL,07FL376,NULL,NULL
08SC1113_000b,NULL,08SC1113,08SC,199,NULL,199,sib/self,NULL,NULL,NAM,(B73xCML322)S5_199,NULL,8,NULL,07FL427,NULL,NULL
08SC1114_000b,NULL,08SC1114,08SC,24,NULL,24,sib/self,NULL,NULL,NAM,(B73xCML322)S5_24,NULL,8,NULL,07A5682,NULL,NULL
08SC1116_000b,NULL,08SC1116,08SC,79,NULL,79,sib/self,NULL,NULL,NAM,(B73xCML322)S5_79,NULL,8,NULL,07A2983,NULL,NULL
08SC1117_000b,NULL,08SC1117,08SC,16,NULL,16,sib/self,NULL,NULL,NAM,(B73xCML322)S5_16,NULL,8,NULL,07A1906,NULL,NULL
08SC1118_000b,NULL,08SC1118,08SC,44,NULL,44,sib/self,NULL,NULL,NAM,(B73xCML322)S5_44,NULL,8,NULL,07A3635,NULL,NULL
08SC1119_000b,NULL,08SC1119,08SC,33,NULL,33,sib/self,NULL,NULL,NAM,(B73xCML322)S5_33,NULL,8,NULL,07A2762 or 06A0173,NULL,NULL
08SC1120_000b,NULL,08SC1120,08SC,39,NULL,39,sib/self,NULL,NULL,NAM,(B73xCML322)S5_39,NULL,8,NULL,07FL332,NULL,NULL
08SC1121_000b,NULL,08SC1121,08SC,102,NULL,102,sib/self,NULL,NULL,NAM,(B73xCML322)S5_102,NULL,8,NULL,07A0825,NULL,NULL
08SC1122_000b,NULL,08SC1122,08SC,160,NULL,160,sib/self,NULL,NULL,NAM,(B73xCML322)S5_160,NULL,8,NULL,07A4211,NULL,NULL
08SC1123_000b,NULL,08SC1123,08SC,92,NULL,92,sib/self,NULL,NULL,NAM,(B73xCML322)S5_92,NULL,8,NULL,07FL368,NULL,NULL
08SC1124_000b,NULL,08SC1124,08SC,74,NULL,74,sib/self,NULL,NULL,NAM,(B73xCML322)S5_74,NULL,8,NULL,07A3133,NULL,NULL
08SC1125_000b,NULL,08SC1125,08SC,8,NULL,8,sib/self,NULL,NULL,NAM,(B73xCML322)S5_8,NULL,8,NULL,07A4846,NULL,NULL
08SC1127_000b,NULL,08SC1127,08SC,138,NULL,138,sib/self,NULL,NULL,NAM,(B73xCML322)S5_138,NULL,8,NULL,07A4749,NULL,NULL
