13GS0001,1,13GS,Pa91^Ht1,NULL,12SH0019_001s,NULL,NULL,St1001x,1,NULL,NULL,NULL,NULL,NULL,plot=isolate_id,8
13GS0002,2,13GS,Pa91^Ht1,NULL,12SH0019_001s,NULL,NULL,St1003x,1,NULL,NULL,NULL,NULL,NULL,plot=isolate_id,8
13GS0003,3,13GS,Pa91^Ht1,NULL,12SH0019_001s,NULL,NULL,St1004x,1,NULL,NULL,NULL,NULL,NULL,plot=isolate_id,8
13GS0004,4,13GS,Pa91^Ht1,NULL,12SH0019_001s,NULL,NULL,St1005x,1,NULL,NULL,NULL,NULL,NULL,plot=isolate_id,8
13GS0005,5,13GS,Pa91^Ht1,NULL,12SH0019_001s,NULL,NULL,St1001x,1,NULL,NULL,NULL,NULL,NULL,plot=isolate_id,8
13GS0006,6,13GS,Pa91^Ht1,NULL,12SH0019_001s,NULL,NULL,St1006x,1,NULL,NULL,NULL,NULL,NULL,plot=isolate_id,8
13GS0007,7,13GS,Pa91^Ht1,NULL,12SH0019_001s,NULL,NULL,St1007x,1,NULL,NULL,NULL,NULL,NULL,plot=isolate_id,8
13GS0008,8,13GS,Pa91^Ht1,NULL,12SH0019_001s,NULL,NULL,St1008x,1,NULL,NULL,NULL,NULL,NULL,plot=isolate_id,8
13GS0009,9,13GS,Pa91^Ht1,NULL,12SH0019_001s,NULL,NULL,St1009x,1,NULL,NULL,NULL,NULL,NULL,plot=isolate_id,8
13GS0010,10,13GS,Pa91^Ht1,NULL,12SH0019_001s,NULL,NULL,St1010x,1,NULL,NULL,NULL,NULL,NULL,plot=isolate_id,8
13GS0011,11,13GS,Pa91^Ht1,NULL,12SH0019_001s,NULL,NULL,St1011x,1,NULL,NULL,NULL,NULL,NULL,plot=isolate_id,8
13GS0012,12,13GS,Pa91^Ht1,NULL,12SH0019_001s,NULL,NULL,St1012x,1,NULL,NULL,NULL,NULL,NULL,plot=isolate_id,8
13GS0013,13,13GS,Pa91^Ht1,NULL,12SH0019_001s,NULL,NULL,St1013x,1,NULL,NULL,NULL,NULL,NULL,plot=isolate_id,8
13GS0014,14,13GS,Pa91^Ht1,NULL,12SH0019_001s,NULL,NULL,St1014x,1,NULL,NULL,NULL,NULL,NULL,plot=isolate_id,8
13GS0015,15,13GS,Pa91^Ht1,NULL,12SH0019_001s,NULL,NULL,St1015x,1,NULL,NULL,NULL,NULL,NULL,plot=isolate_id,8
13GS0016,16,13GS,Pa91^Ht1,NULL,12SH0019_001s,NULL,NULL,St1016x,1,NULL,NULL,NULL,NULL,NULL,plot=isolate_id,8
13GS0017,17,13GS,Pa91^Ht1,NULL,12SH0019_001s,NULL,NULL,St1017x,1,NULL,NULL,NULL,NULL,NULL,plot=isolate_id,8
13GS0018,18,13GS,Pa91^Ht1,NULL,12SH0019_001s,NULL,NULL,St1018x,1,NULL,NULL,NULL,NULL,NULL,plot=isolate_id,8
13GS0019,19,13GS,Pa91^Ht1,NULL,12SH0019_001s,NULL,NULL,St1019x,1,NULL,NULL,NULL,NULL,NULL,plot=isolate_id,8
13GS0020,20,13GS,Pa91^Ht1,NULL,12SH0019_001s,NULL,NULL,St1020x,1,NULL,NULL,NULL,NULL,NULL,plot=isolate_id,8
13GS0021,21,13GS,Pa91^Ht1,NULL,12SH0019_001s,NULL,NULL,St1021x,1,NULL,NULL,NULL,NULL,NULL,plot=isolate_id,8
13GS0022,22,13GS,Pa91^Ht1,NULL,12SH0019_001s,NULL,NULL,St1022x,1,NULL,NULL,NULL,NULL,NULL,plot=isolate_id,8
13GS0023,23,13GS,Pa91^Ht1,NULL,12SH0019_001s,NULL,NULL,St1023x,1,NULL,NULL,NULL,NULL,NULL,plot=isolate_id,8
13GS0024,24,13GS,Pa91^Ht1,NULL,12SH0019_001s,NULL,NULL,St1024x,1,NULL,NULL,NULL,NULL,NULL,plot=isolate_id,8
13GS0025,25,13GS,Pa91^Ht1,NULL,12SH0019_001s,NULL,NULL,St1025x,1,NULL,NULL,NULL,NULL,NULL,plot=isolate_id,8
13GS0026,26,13GS,Pa91^Ht1,NULL,12SH0019_001s,NULL,NULL,St1026x,1,NULL,NULL,NULL,NULL,NULL,plot=isolate_id,8
13GS0027,27,13GS,Pa91^Ht1,NULL,12SH0019_001s,NULL,NULL,St1027x,1,NULL,NULL,NULL,NULL,NULL,plot=isolate_id,8
13GS0028,28,13GS,Pa91^Ht1,NULL,12SH0019_001s,NULL,NULL,St1028x,1,NULL,NULL,NULL,NULL,NULL,plot=isolate_id,8
13GS0029,29,13GS,Pa91^Ht1,NULL,12SH0019_001s,NULL,NULL,St1029x,1,NULL,NULL,NULL,NULL,NULL,plot=isolate_id,8
13GS0030,30,13GS,Pa91^Ht1,NULL,12SH0019_001s,NULL,NULL,St1030x,1,NULL,NULL,NULL,NULL,NULL,plot=isolate_id,8
13GS0031,31,13GS,Pa91^Ht1,NULL,12SH0019_001s,NULL,NULL,St1031x,1,NULL,NULL,NULL,NULL,NULL,plot=isolate_id,8
13GS0032,32,13GS,Pa91^Ht1,NULL,12SH0019_001s,NULL,NULL,St1032x,1,NULL,NULL,NULL,NULL,NULL,plot=isolate_id,8
13GS0033,33,13GS,Pa91^Ht1,NULL,12SH0019_001s,NULL,NULL,St1033x,1,NULL,NULL,NULL,NULL,NULL,plot=isolate_id,8
13GS0034,34,13GS,Pa91^Ht1,NULL,12SH0019_001s,NULL,NULL,St1034x,1,NULL,NULL,NULL,NULL,NULL,plot=isolate_id,8
