09GC0106_004s,09GC0106_004,09GC0106,09GC01,1851_1_2_2_04F_03-03E / B68HtN,NULL,1851_1_2_2_04F_03-03E / B68HtN (F2),self,NULL,NULL,NULL,qEt8.06DK888/B68HtN (F2),NULL,2,NULL,"qEt8.06DK888/B68HtN (F2) , plant source: 08GC0804_004x",NULL,NULL
09GC0106_005s,09GC0106_005,09GC0106,09GC01,1851_1_2_2_04F_03-03E / B68HtN,NULL,1851_1_2_2_04F_03-03E / B68HtN (F2),self,NULL,NULL,NULL,qEt8.06DK888/B68HtN (F2),NULL,2,NULL,"qEt8.06DK888/B68HtN (F2) , plant source: 08GC0804_004x",NULL,NULL
09GC0107_004s,09GC0107_004,09GC0107,09GC01,1851_1_2_2_04F_03-03E / Pa91Ht2,NULL,1851_1_2_2_04F_03-03E / Pa91Ht2 (F2),self,NULL,NULL,NULL,qEt8.06DK888/Pa91H2 (F2),NULL,2,NULL,"qEt8.06DK888/Pa91H2 (F2) , plant source: 08GC0804_005x",NULL,NULL
09GC0107_005s,09GC0107_005,09GC0107,09GC01,1851_1_2_2_04F_03-03E / Pa91Ht2,NULL,1851_1_2_2_04F_03-03E / Pa91Ht2 (F2),self,NULL,NULL,NULL,qEt8.06DK888/Pa91H2 (F2),NULL,2,NULL,"qEt8.06DK888/Pa91H2 (F2) , plant source: 08GC0804_005x",NULL,NULL
09GC0107_006s,09GC0107_006,09GC0107,09GC01,1851_1_2_2_04F_03-03E / Pa91Ht2,NULL,1851_1_2_2_04F_03-03E / Pa91Ht2 (F2),self,NULL,NULL,NULL,qEt8.06DK888/Pa91H2 (F2),NULL,2,NULL,"qEt8.06DK888/Pa91H2 (F2) , plant source: 08GC0804_005x",NULL,NULL
09GC0107_007s,09GC0107_007,09GC0107,09GC01,1851_1_2_2_04F_03-03E / Pa91Ht2,NULL,1851_1_2_2_04F_03-03E / Pa91Ht2 (F2),self,NULL,NULL,NULL,qEt8.06DK888/Pa91H2 (F2),NULL,2,NULL,"qEt8.06DK888/Pa91H2 (F2) , plant source: 08GC0804_005x",NULL,NULL
09GC0108_004s,09GC0108_004,09GC0108,09GC01,1851_1_2_2_06A_06-04A / B68HtN,NULL,1851_1_2_2_06A_06-04A / B68HtN (F2),self,NULL,NULL,NULL,qEt8.06DK888/B68HtN (F2),NULL,2,NULL,"qEt8.06DK888/B68HtN (F2) , plant source: 08GC0805_001x",NULL,NULL
09GC0108_005s,09GC0108_005,09GC0108,09GC01,1851_1_2_2_06A_06-04A / B68HtN,NULL,1851_1_2_2_06A_06-04A / B68HtN (F2),self,NULL,NULL,NULL,qEt8.06DK888/B68HtN (F2),NULL,2,NULL,"qEt8.06DK888/B68HtN (F2) , plant source: 08GC0805_001x",NULL,NULL
09GC0109_004s,09GC0109_004,09GC0109,09GC01,1851_1_2_2_06A_06-04A / Pa91Ht2,NULL,1851_1_2_2_06A_06-04A / Pa91Ht2 (F2),self,NULL,NULL,NULL,qEt8.06DK888/Pa91H2 (F2),NULL,2,NULL,"qEt8.06DK888/Pa91H2 (F2) , plant source: 08GC0805_004x",NULL,NULL
09GC0109_005s,09GC0109_005,09GC0109,09GC01,1851_1_2_2_06A_06-04A / Pa91Ht2,NULL,1851_1_2_2_06A_06-04A / Pa91Ht2 (F2),self,NULL,NULL,NULL,qEt8.06DK888/Pa91H2 (F2),NULL,2,NULL,"qEt8.06DK888/Pa91H2 (F2) , plant source: 08GC0805_004x",NULL,NULL
09GC0109_006s,09GC0109_006,09GC0109,09GC01,1851_1_2_2_06A_06-04A / Pa91Ht2,NULL,1851_1_2_2_06A_06-04A / Pa91Ht2 (F2),self,NULL,NULL,NULL,qEt8.06DK888/Pa91H2 (F2),NULL,2,NULL,"qEt8.06DK888/Pa91H2 (F2) , plant source: 08GC0805_004x",NULL,NULL
09GC0110_004s,09GC0110_004,09GC0110,09GC01,Pa91 / 1851_1_2_2_04F_03-03E,NULL,Pa91 / 1851_1_2_2_04F_03-03E (F2),self,NULL,NULL,NULL,Pa91/qEt8.06DK888 (F2),NULL,2,NULL,"Pa91/qEt8.06DK888 (F2), plant source: 08GC0807_001x",NULL,NULL
09GC0110_005s,09GC0110_005,09GC0110,09GC01,Pa91 / 1851_1_2_2_04F_03-03E,NULL,Pa91 / 1851_1_2_2_04F_03-03E (F2),self,NULL,NULL,NULL,Pa91/qEt8.06DK888 (F2),NULL,2,NULL,"Pa91/qEt8.06DK888 (F2), plant source: 08GC0807_001x",NULL,NULL
09GC0110_006s,09GC0110_006,09GC0110,09GC01,Pa91 / 1851_1_2_2_04F_03-03E,NULL,Pa91 / 1851_1_2_2_04F_03-03E (F2),self,NULL,NULL,NULL,Pa91/qEt8.06DK888 (F2),NULL,2,NULL,"Pa91/qEt8.06DK888 (F2), plant source: 08GC0807_001x",NULL,NULL
09GC0110_007s,09GC0110_007,09GC0110,09GC01,Pa91 / 1851_1_2_2_04F_03-03E,NULL,Pa91 / 1851_1_2_2_04F_03-03E (F2),self,NULL,NULL,NULL,Pa91/qEt8.06DK888 (F2),NULL,2,NULL,"Pa91/qEt8.06DK888 (F2), plant source: 08GC0807_001x",NULL,NULL
09GC0111_004s,09GC0111_004,09GC0111,09GC01,Pa91 / Pa91Ht2,NULL,Pa91 / Pa91Ht2 (F2),self,NULL,NULL,NULL,Pa91/Pa91Ht2 (F2),NULL,2,NULL,"Pa91/Pa91Ht2 (F2), plant source: 08GC0807_002x",NULL,NULL
09GC0111_005s,09GC0111_005,09GC0111,09GC01,Pa91 / Pa91Ht2,NULL,Pa91 / Pa91Ht2 (F2),self,NULL,NULL,NULL,Pa91/Pa91Ht2 (F2),NULL,2,NULL,"Pa91/Pa91Ht2 (F2), plant source: 08GC0807_002x",NULL,NULL
09GC0112_004s,09GC0112_004,09GC0112,09GC01,Pa91 / 1851_1_2_2_02F_01-07F,NULL,Pa91 / 1851_1_2_2_02F_01-07F (F2),self,NULL,NULL,NULL,Pa91/qEt8.06S11 (F2),NULL,2,NULL,"Pa91/qEt8.06S11 (F2), plant source: 08GC0807_005x",NULL,NULL
09GC0112_005s,09GC0112_005,09GC0112,09GC01,Pa91 / 1851_1_2_2_02F_01-07F,NULL,Pa91 / 1851_1_2_2_02F_01-07F (F2),self,NULL,NULL,NULL,Pa91/qEt8.06S11 (F2),NULL,2,NULL,"Pa91/qEt8.06S11 (F2), plant source: 08GC0807_005x",NULL,NULL
09GC0112_006s,09GC0112_006,09GC0112,09GC01,Pa91 / 1851_1_2_2_02F_01-07F,NULL,Pa91 / 1851_1_2_2_02F_01-07F (F2),self,NULL,NULL,NULL,Pa91/qEt8.06S11 (F2),NULL,2,NULL,"Pa91/qEt8.06S11 (F2), plant source: 08GC0807_005x",NULL,NULL
09GC0113_004s,09GC0113_004,09GC0113,09GC01,Pa91Ht2 / 1851_1_2_2_04F_03-03E,NULL,Pa91Ht2 / 1851_1_2_2_04F_03-03E (F2),self,NULL,NULL,NULL,Pa91Ht2/qEt8.06DK888 (F2),NULL,2,NULL,"Pa91Ht2/qEt8.06DK888 (F2), plant source: 08GC0809_001x",NULL,NULL
09GC0113_005s,09GC0113_005,09GC0113,09GC01,Pa91Ht2 / 1851_1_2_2_04F_03-03E,NULL,Pa91Ht2 / 1851_1_2_2_04F_03-03E (F2),self,NULL,NULL,NULL,Pa91Ht2/qEt8.06DK888 (F2),NULL,2,NULL,"Pa91Ht2/qEt8.06DK888 (F2), plant source: 08GC0809_001x",NULL,NULL
09GC0113_006s,09GC0113_006,09GC0113,09GC01,Pa91Ht2 / 1851_1_2_2_04F_03-03E,NULL,Pa91Ht2 / 1851_1_2_2_04F_03-03E (F2),self,NULL,NULL,NULL,Pa91Ht2/qEt8.06DK888 (F2),NULL,2,NULL,"Pa91Ht2/qEt8.06DK888 (F2), plant source: 08GC0809_001x",NULL,NULL
09GC0113_007s,09GC0113_007,09GC0113,09GC01,Pa91Ht2 / 1851_1_2_2_04F_03-03E,NULL,Pa91Ht2 / 1851_1_2_2_04F_03-03E (F2),self,NULL,NULL,NULL,Pa91Ht2/qEt8.06DK888 (F2),NULL,2,NULL,"Pa91Ht2/qEt8.06DK888 (F2), plant source: 08GC0809_001x",NULL,NULL
09GC0114_005s,09GC0114_005,09GC0114,09GC01,Pa91Ht2 / 1851_1_2_2_02F_01-07F,NULL,Pa91Ht2 / 1851_1_2_2_02F_01-07F (F2),self,NULL,NULL,NULL,Pa91Ht2/qEt8.06S11 (F2),NULL,2,NULL,"Pa91Ht2/qEt8.06S11 (F2), plant source: 08GC0809_002x",NULL,NULL
09GC0114_006s,09GC0114_006,09GC0114,09GC01,Pa91Ht2 / 1851_1_2_2_02F_01-07F,NULL,Pa91Ht2 / 1851_1_2_2_02F_01-07F (F2),self,NULL,NULL,NULL,Pa91Ht2/qEt8.06S11 (F2),NULL,2,NULL,"Pa91Ht2/qEt8.06S11 (F2), plant source: 08GC0809_002x",NULL,NULL
09GC0115_004s,09GC0115_004,09GC0115,09GC01,Pa91Ht2 / Pa91,NULL,Pa91Ht2 / Pa91 (F2),self,NULL,NULL,NULL,Pa91Ht2/Pa91 (F2),NULL,2,NULL,"Pa91Ht2/Pa91 (F2), plant source: 08GC0809_003x",NULL,NULL
09GC0115_005s,09GC0115_005,09GC0115,09GC01,Pa91Ht2 / Pa91,NULL,Pa91Ht2 / Pa91 (F2),self,NULL,NULL,NULL,Pa91Ht2/Pa91 (F2),NULL,2,NULL,"Pa91Ht2/Pa91 (F2), plant source: 08GC0809_003x",NULL,NULL
09GC0116_004s,09GC0116_004,09GC0116,09GC01,B68HtN / 1851_1_2_2_02F_01-07F or 1851_1_2_2_02F_01-09D,NULL,B68HtN / 1851_1_2_2_02F_01-07F or 1851_1_2_2_02F_01-09D (F2),self,NULL,NULL,NULL,B68HtN/qEt8.06S11 (F2),NULL,2,NULL,"B68HtN/qEt8.06S11 (F2), plant source: 08GC0812_001x",NULL,NULL
09GC0116_005s,09GC0116_005,09GC0116,09GC01,B68HtN / 1851_1_2_2_02F_01-07F or 1851_1_2_2_02F_01-09D,NULL,B68HtN / 1851_1_2_2_02F_01-07F or 1851_1_2_2_02F_01-09D (F2),self,NULL,NULL,NULL,B68HtN/qEt8.06S11 (F2),NULL,2,NULL,"B68HtN/qEt8.06S11 (F2), plant source: 08GC0812_001x",NULL,NULL
09GC0116_006s,09GC0116_006,09GC0116,09GC01,B68HtN / 1851_1_2_2_02F_01-07F or 1851_1_2_2_02F_01-09D,NULL,B68HtN / 1851_1_2_2_02F_01-07F or 1851_1_2_2_02F_01-09D (F2),self,NULL,NULL,NULL,B68HtN/qEt8.06S11 (F2),NULL,2,NULL,"B68HtN/qEt8.06S11 (F2), plant source: 08GC0812_001x",NULL,NULL
09GC0116_007s,09GC0116_007,09GC0116,09GC01,B68HtN / 1851_1_2_2_02F_01-07F or 1851_1_2_2_02F_01-09D,NULL,B68HtN / 1851_1_2_2_02F_01-07F or 1851_1_2_2_02F_01-09D (F2),self,NULL,NULL,NULL,B68HtN/qEt8.06S11 (F2),NULL,2,NULL,"B68HtN/qEt8.06S11 (F2), plant source: 08GC0812_001x",NULL,NULL
09GC0117_004s,09GC0117_004,09GC0117,09GC01,B68HtN / 1851_1_2_2_06A_06-04A,NULL,B68HtN / 1851_1_2_2_06A_06-04A (F2),self,NULL,NULL,NULL,B68HtN/qEt8.06DK888 (F2),NULL,2,NULL,"B68HtN/qEt8.06DK888 (F2), plant source: 08GC0812_002x",NULL,NULL
09GC0117_005s,09GC0117_005,09GC0117,09GC01,B68HtN / 1851_1_2_2_06A_06-04A,NULL,B68HtN / 1851_1_2_2_06A_06-04A (F2),self,NULL,NULL,NULL,B68HtN/qEt8.06DK888 (F2),NULL,2,NULL,"B68HtN/qEt8.06DK888 (F2), plant source: 08GC0812_002x",NULL,NULL
09GC0117_006s,09GC0117_006,09GC0117,09GC01,B68HtN / 1851_1_2_2_06A_06-04A,NULL,B68HtN / 1851_1_2_2_06A_06-04A (F2),self,NULL,NULL,NULL,B68HtN/qEt8.06DK888 (F2),NULL,2,NULL,"B68HtN/qEt8.06DK888 (F2), plant source: 08GC0812_002x",NULL,NULL
09GC0118_004s,09GC0118_004,09GC0118,09GC01,B68HtN / 1851_1_2_2_04F_03-03E,NULL,B68HtN / 1851_1_2_2_04F_03-03E (F2),self,NULL,NULL,NULL,B68HtN/qEt8.06DK888 (F2),NULL,2,NULL,"B68HtN/qEt8.06DK888 (F2), plant source: 08GC0812_003x",NULL,NULL
09GC0118_005s,09GC0118_005,09GC0118,09GC01,B68HtN / 1851_1_2_2_04F_03-03E,NULL,B68HtN / 1851_1_2_2_04F_03-03E (F2),self,NULL,NULL,NULL,B68HtN/qEt8.06DK888 (F2),NULL,2,NULL,"B68HtN/qEt8.06DK888 (F2), plant source: 08GC0812_003x",NULL,NULL
09GC0118_006s,09GC0118_006,09GC0118,09GC01,B68HtN / 1851_1_2_2_04F_03-03E,NULL,B68HtN / 1851_1_2_2_04F_03-03E (F2),self,NULL,NULL,NULL,B68HtN/qEt8.06DK888 (F2),NULL,2,NULL,"B68HtN/qEt8.06DK888 (F2), plant source: 08GC0812_003x",NULL,NULL
09GC0118_007s,09GC0118_007,09GC0118,09GC01,B68HtN / 1851_1_2_2_04F_03-03E,NULL,B68HtN / 1851_1_2_2_04F_03-03E (F2),self,NULL,NULL,NULL,B68HtN/qEt8.06DK888 (F2),NULL,2,NULL,"B68HtN/qEt8.06DK888 (F2), plant source: 08GC0812_003x",NULL,NULL
