12MN0001_001s,12MN0001_001,12MN0001,12MN,NULL,6621,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
12MN0001_002s,12MN0001_002,12MN0001,12MN,NULL,6621,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
12MN0002_001s,12MN0002_001,12MN0002,12MN,NULL,6622,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
12MN0002_002s,12MN0002_002,12MN0002,12MN,NULL,6622,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
12MN0003_001s,12MN0003_001,12MN0003,12MN,NULL,6623,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
12MN0003_002s,12MN0003_002,12MN0003,12MN,NULL,6623,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
12MN0004_001s,12MN0004_001,12MN0004,12MN,NULL,6624,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
12MN0004_002s,12MN0004_002,12MN0004,12MN,NULL,6624,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
12MN0007_001s,12MN0007_001,12MN0007,12MN,NULL,6627,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
12MN0007_002s,12MN0007_002,12MN0007,12MN,NULL,6627,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
12MN0007_003s,12MN0007_003,12MN0007,12MN,NULL,6627,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
12MN0007_004s,12MN0007_004,12MN0007,12MN,NULL,6627,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
12MN0007_005s,12MN0007_005,12MN0007,12MN,NULL,6627,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
12MN0007_006s,12MN0007_006,12MN0007,12MN,NULL,6627,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
12MN0008_001s,12MN0008_001,12MN0008,12MN,NULL,6628,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
12MN0008_002s,12MN0008_002,12MN0008,12MN,NULL,6628,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
12MN0008_003s,12MN0008_003,12MN0008,12MN,NULL,6628,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
12MN0008_004s,12MN0008_004,12MN0008,12MN,NULL,6628,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
12MN0008_005s,12MN0008_005,12MN0008,12MN,NULL,6628,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
12MN0008_006s,12MN0008_006,12MN0008,12MN,NULL,6628,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
12MN0009_001s,12MN0009_001,12MN0009,12MN,NULL,6629,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
12MN0010_001s,12MN0010_001,12MN0010,12MN,NULL,6630,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
12MN0010_002s,12MN0010_002,12MN0010,12MN,NULL,6630,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
12MN0010_003s,12MN0010_003,12MN0010,12MN,NULL,6630,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
12MN0010_004s,12MN0010_004,12MN0010,12MN,NULL,6630,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
12MN0010_005s,12MN0010_005,12MN0010,12MN,NULL,6630,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
12MN0011_001s,12MN0011_001,12MN0011,12MN,NULL,6631,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
12MN0011_002s,12MN0011_002,12MN0011,12MN,NULL,6631,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
12MN0011_003s,12MN0011_003,12MN0011,12MN,NULL,6631,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
12MN0012_001s,12MN0012_001,12MN0012,12MN,NULL,6632,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
12MN0013_001s,12MN0013_001,12MN0013,12MN,NULL,6633,NULL,self,NULL,NULL,NULL,NULL,NULL,8,NULL,packets labeled by row_name,NULL,NULL
