11PR0033,NULL,11PR,(11TF2068_001s)S1,NULL,11TF2068_001s,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,fix recombinants,self all plants per row,34
11PR0034,NULL,11PR,(11TF2070_004s)S1,NULL,11TF2070_004s,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,fix recombinants,self all plants per row,34
11PR0035,NULL,11PR,(11TF2071_003s)S1,NULL,11TF2071_003s,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,fix recombinants,self all plants per row,34
11PR0036,NULL,11PR,(11TF2071_005s)S1,NULL,11TF2071_005s,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,fix recombinants,self all plants per row,34
11PR0037,NULL,11PR,(11TF2075_001s)S1,NULL,11TF2075_001s,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,fix recombinants,self all plants per row,34
11PR0038,NULL,11PR,(11TF2076_006s)S1,NULL,11TF2076_006s,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,fix recombinants,self all plants per row,34
11PR0039,NULL,11PR,(11TF2077_001s)S1,NULL,11TF2077_001s,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,fix recombinants,self all plants per row,34
11PR0040,NULL,11PR,(11TF2080_004s)S1,NULL,11TF2080_004s,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,fix recombinants,self all plants per row,34
11PR0041,NULL,11PR,(11TF2081_007s)S1,NULL,11TF2081_007s,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,fix recombinants,self all plants per row,34
11PR0042,NULL,11PR,(11TF2081_009s)S1,NULL,11TF2081_009s,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,fix recombinants,self all plants per row,34
11PR0043,NULL,11PR,(11TF2082_003s)S1,NULL,11TF2082_003s,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,fix recombinants,self all plants per row,34
11PR0044,NULL,11PR,(11TF2083_005s)S1,NULL,11TF2083_005s,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,fix recombinants,self all plants per row,34
11PR0045,NULL,11PR,(11TF2083_007s)S1,NULL,11TF2083_007s,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,fix recombinants,self all plants per row,34
