1,Aspergillus Ear Rot
2,Crown gall
3,Northern corn leaf spot
4,Southern corn leaf blight
5,gray leaf spot
6,NULL
7,Anthracnose leaf blight anthracnose stalk rot
8,Ear rot
9,Stewart's wilt
10,Northern corn leaf blight
11,Common smut
