1,1,1,No Plant,No Plant,No Plant
134,68193,1,1,NULL,NULL,NULL
135,68194,1,1,NULL,NULL,NULL
136,68195,1,1,NULL,NULL,NULL
137,68196,1,1,NULL,NULL,NULL
138,68197,1,1,NULL,NULL,NULL
139,68198,1,1,NULL,NULL,NULL
140,68199,1,1,NULL,NULL,NULL
141,68200,1,1,NULL,NULL,NULL
142,68201,1,1,NULL,NULL,NULL
143,68202,1,1,NULL,NULL,NULL
144,68203,1,1,NULL,NULL,NULL
145,68204,1,1,NULL,NULL,NULL
146,68205,1,1,NULL,NULL,NULL
147,68206,1,1,NULL,NULL,NULL
148,68207,1,1,NULL,NULL,NULL
149,68208,1,1,NULL,NULL,NULL
150,68209,1,1,NULL,NULL,NULL
151,68210,1,1,NULL,NULL,NULL
152,68211,1,1,NULL,NULL,NULL
153,68212,1,1,NULL,NULL,NULL
154,68213,1,1,NULL,NULL,NULL
155,68214,1,1,NULL,NULL,NULL
156,68215,1,1,NULL,NULL,NULL
157,68216,1,1,NULL,NULL,NULL
158,68217,1,1,NULL,NULL,NULL
159,68218,1,1,NULL,NULL,NULL
160,68219,1,1,NULL,NULL,NULL
161,68220,1,1,NULL,NULL,NULL
162,68221,1,1,NULL,NULL,NULL
163,68222,1,1,NULL,NULL,NULL
164,68223,1,1,NULL,NULL,NULL
165,68224,1,1,NULL,NULL,NULL
166,68225,1,1,NULL,NULL,NULL
167,68226,1,1,NULL,NULL,NULL
168,68227,1,1,NULL,NULL,NULL
169,68228,1,1,NULL,NULL,NULL
170,68229,1,1,NULL,NULL,NULL
171,68230,1,1,NULL,NULL,NULL
172,68231,1,1,NULL,NULL,NULL
173,68232,1,1,NULL,NULL,NULL
174,68233,1,1,NULL,NULL,NULL
175,68234,1,1,NULL,NULL,NULL
176,68235,1,1,NULL,NULL,NULL
177,68236,1,1,NULL,NULL,NULL
178,68237,1,1,NULL,NULL,NULL
179,68238,1,1,NULL,NULL,NULL
180,68239,1,1,NULL,NULL,NULL
181,68240,1,1,NULL,NULL,NULL
182,68241,1,1,NULL,NULL,NULL
183,68242,1,1,NULL,NULL,NULL
184,68243,1,1,NULL,NULL,NULL
185,68244,1,1,NULL,NULL,NULL
186,68245,1,1,NULL,NULL,NULL
187,68246,1,1,NULL,NULL,NULL
188,68247,1,1,NULL,NULL,NULL
189,68248,1,1,NULL,NULL,NULL
190,68249,1,1,NULL,NULL,NULL
191,68250,1,1,NULL,NULL,NULL
192,68251,1,1,NULL,NULL,NULL
193,68252,1,1,NULL,NULL,NULL
194,68253,1,1,NULL,NULL,NULL
195,68254,1,1,NULL,NULL,NULL
