13MN0046,12047,13MN,CML322,NULL,12MY0057_002s,NULL,3,46,2,1,12,NY,NULL,NULL,NULL,8
13MN0047,12048,13MN,CML322,NULL,12MY0057_002s,NULL,3,47,2,2,12,NY,NULL,NULL,NULL,8
13MN0048,12049,13MN,CML322,NULL,12MY0057_002s,NULL,3,48,2,3,12,NY,NULL,NULL,NULL,8
13MN0049,12087,13MN,Mo17,NULL,12MN0069_001s,6690-1,4,85,3,1,12,NC,NULL,NULL,NULL,8
13MN0050,12088,13MN,Mo17,NULL,12MN0069_001s,6690-1,5,86,3,2,12,NC,NULL,NULL,NULL,8
13MN0051,12089,13MN,Mo17,NULL,12MN0069_001s,6690-1,5,87,3,3,12,NC,NULL,NULL,NULL,8
13MN0052,12063,13MN,CML322,NULL,12MN0018_001s,6638-1,4,61,3,1,12,NC,NULL,NULL,NULL,8
13MN0053,12064,13MN,CML322,NULL,12MN0018_001s,6638-1,4,62,3,2,12,NC,NULL,NULL,NULL,8
13MN0054,12065,13MN,CML322,NULL,12MN0018_001s,6638-1,4,63,3,3,12,NC,NULL,NULL,NULL,8
13MN0055,12075,13MN,CML322,NULL,12MY0057_002s,NULL,4,73,3,1,12,NY,NULL,NULL,NULL,8
13MN0056,12076,13MN,CML322,NULL,12MY0057_002s,NULL,4,74,3,2,12,NY,NULL,NULL,NULL,8
13MN0057,12077,13MN,CML322,NULL,12MY0057_002s,NULL,4,75,3,3,12,NY,NULL,NULL,NULL,8
13MN0058,12072,13MN,CML103,NULL,12MY0007_001s,NULL,4,70,3,1,12,NY,NULL,NULL,NULL,8
13MN0059,12073,13MN,CML103,NULL,12MY0007_001s,NULL,4,71,3,2,12,NY,NULL,NULL,NULL,8
13MN0060,12074,13MN,CML103,NULL,12MY0007_001s,NULL,4,72,3,3,12,NY,NULL,NULL,NULL,8
13MN0061,12090,13MN,CML103,NULL,12MN0045_001s,6665-1,5,88,3,1,12,NC,NULL,NULL,NULL,8
13MN0062,12091,13MN,CML103,NULL,12MN0045_001s,6665-1,5,89,3,2,12,NC,NULL,NULL,NULL,8
13MN0063,12092,13MN,CML103,NULL,12MN0045_001s,6665-1,5,90,3,3,12,NC,NULL,NULL,NULL,8
13MN0064,12081,13MN,Mo17,NULL,12MY0066_001s,NULL,4,79,3,1,12,NY,NULL,NULL,NULL,8
13MN0065,12082,13MN,Mo17,NULL,12MY0066_001s,NULL,4,80,3,2,12,NY,NULL,NULL,NULL,8
13MN0066,12083,13MN,Mo17,NULL,12MY0066_001s,NULL,4,81,3,3,12,NY,NULL,NULL,NULL,8
13MN0067,12069,13MN,B73,NULL,12MN0010_001s,6630-1,4,67,3,1,12,NC,NULL,NULL,NULL,8
13MN0068,12070,13MN,B73,NULL,12MN0010_001s,6630-1,4,68,3,2,12,NC,NULL,NULL,NULL,8
13MN0069,12071,13MN,B73,NULL,12MN0010_001s,6630-1,4,69,3,3,12,NC,NULL,NULL,NULL,8
13MN0070,12066,13MN,B73,NULL,12MY0091_001s,NULL,4,64,3,1,12,NY,NULL,NULL,NULL,8
13MN0071,12067,13MN,B73,NULL,12MY0091_001s,NULL,4,65,3,2,12,NY,NULL,NULL,NULL,8
13MN0072,12068,13MN,B73,NULL,12MY0091_001s,NULL,4,66,3,3,12,NY,NULL,NULL,NULL,8
13MN0073,12013,13MN,B97,NULL,12MN0086_001s,6707-1,2,13,1,1,12,NC,NULL,NULL,NULL,8
13MN0074,12014,13MN,B97,NULL,12MN0086_001s,6707-1,2,14,1,2,12,NC,NULL,NULL,NULL,8
13MN0075,12015,13MN,B97,NULL,12MN0086_001s,6707-1,2,15,1,3,12,NC,NULL,NULL,NULL,8
