08GC0805_001x,08GC0805_001,08GC0805,08GC08,[DK888] 1851_1_2_2_06A_06-04A,NULL,1851_1_2_2_06A_06-04A / B68HtN,cross,08GC0812,B68HtN,NULL,qEt8.06DK888/B68HtN F1,NULL,2,NULL,NULL,NULL,NULL
08GC0805_002x,08GC0805_002,08GC0805,08GC08,[DK888] 1851_1_2_2_06A_06-04A,NULL,1851_1_2_2_06A_06-04A / Pa91Ht3,cross,08GC0810,Pa91Ht3,NULL,qEt8.06DK888/Pa91H3 F1,NULL,2,NULL,NULL,NULL,NULL
08GC0805_003x,08GC0805_003,08GC0805,08GC08,[DK888] 1851_1_2_2_06A_06-04A,NULL,1851_1_2_2_06A_06-04A / B68HtN,cross,08GC0812,B68HtN,NULL,qEt8.06DK888/B68HtN F1,NULL,2,NULL,NULL,NULL,NULL
08GC0805_004x,08GC0805_004,08GC0805,08GC08,[DK888] 1851_1_2_2_06A_06-04A,NULL,1851_1_2_2_06A_06-04A / Pa91Ht2,cross,08GC0809,Pa91Ht2,NULL,qEt8.06DK888/Pa91H2 F1,NULL,2,NULL,NULL,NULL,NULL
08GC0805_005x,08GC0805_005,08GC0805,08GC08,[DK888] 1851_1_2_2_06A_06-04A,NULL,1851_1_2_2_06A_06-04A / Pa91Ht1,cross,08GC0808,Pa91Ht1,NULL,qEt8.06DK888/Pa91Ht1 F1,NULL,2,NULL,NULL,NULL,NULL
08GC0805_006x,08GC0805_006,08GC0805,08GC08,[DK888] 1851_1_2_2_06A_06-04A,NULL,1851_1_2_2_06A_06-04A / Pa91Ht1,cross,08GC0808,Pa91Ht1,NULL,qEt8.06DK888/Pa91Ht1 F1,NULL,2,NULL,NULL,NULL,NULL
08GC0805_007x,08GC0805_007,08GC0805,08GC08,[DK888] 1851_1_2_2_06A_06-04A,NULL,1851_1_2_2_06A_06-04A / Pa91Ht2,cross,08GC0809,Pa91Ht2,NULL,qEt8.06DK888/Pa91H2 F1,NULL,2,NULL,NULL,NULL,NULL
08GC0805_008x,08GC0805_008,08GC0805,08GC08,[DK888] 1851_1_2_2_06A_06-04A,NULL,1851_1_2_2_06A_06-04A / Pa91Ht2,cross,08GC0809,Pa91Ht2,NULL,qEt8.06DK888/Pa91H2 F1,NULL,2,NULL,NULL,NULL,NULL
08GC0807_001x,08GC0807_001,08GC0807,08GC08,Pa91,NULL,Pa91 / 1851_1_2_2_04F_03-03E,cross,08GC0804,1851_1_2_2_04F_03-03E,NULL,Pa91/qEt8.06DK888 F1,NULL,2,NULL,NULL,NULL,NULL
08GC0807_002x,08GC0807_002,08GC0807,08GC08,Pa91,NULL,Pa91 / Pa91Ht2,cross,08GC0809,Pa91Ht2,NULL,Pa91/Pa91Ht2 F1,NULL,2,NULL,NULL,NULL,NULL
08GC0807_003x,08GC0807_003,08GC0807,08GC08,Pa91,NULL,Pa91 / Pa91Ht3,cross,08GC0810,Pa91Ht3,NULL,Pa91/Pa91Ht3 F1,NULL,2,NULL,NULL,NULL,NULL
