06PN0016_001s,06PN0016_001,06PN0016,06PN,NULL,Aur06_JP16-JP30,NULL,self,NULL,NULL,NULL,B73/[32-27]_6_002,NULL,3,NULL,B73/32-27-6 F2:3,NULL,NULL
06PN0016_002s,06PN0016_002,06PN0016,06PN,NULL,Aur06_JP16-JP30,NULL,self,NULL,NULL,NULL,B73/[32-27]_6_003.1,NULL,3,NULL,B73/32-27-6 F2:3,NULL,NULL
06PN0016_003s,06PN0016_003,06PN0016,06PN,NULL,Aur06_JP16-JP30,NULL,self,NULL,NULL,NULL,B73/[32-27]_6_003.2,NULL,3,NULL,B73/32-27-6 F2:3,NULL,NULL
06PN0016_004s,06PN0016_004,06PN0016,06PN,NULL,Aur06_JP16-JP30,NULL,self,NULL,NULL,NULL,B73/[32-27]_6_004,NULL,3,NULL,B73/32-27-6 F2:3,NULL,NULL
06PN0016_005s,06PN0016_005,06PN0016,06PN,NULL,Aur06_JP16-JP30,NULL,self,NULL,NULL,NULL,B73/[32-27]_6_005,NULL,3,NULL,B73/32-27-6 F2:3,NULL,NULL
06PN0017_001s,06PN0017_001,06PN0017,06PN,NULL,Aur06_JP16-JP30,NULL,self,NULL,NULL,NULL,B73/[32-27]_6_007,NULL,3,NULL,B73/32-27-6 F2:3,NULL,NULL
06PN0017_002s,06PN0017_002,06PN0017,06PN,NULL,Aur06_JP16-JP30,NULL,self,NULL,NULL,NULL,B73/[32-27]_6_008,NULL,3,NULL,B73/32-27-6 F2:3,NULL,NULL
06PN0017_003s,06PN0017_003,06PN0017,06PN,NULL,Aur06_JP16-JP30,NULL,self,NULL,NULL,NULL,B73/[32-27]_6_009,NULL,3,NULL,B73/32-27-6 F2:3,NULL,NULL
06PN0017_004s,06PN0017_004,06PN0017,06PN,NULL,Aur06_JP16-JP30,NULL,self,NULL,NULL,NULL,B73/[32-27]_6_011,NULL,3,NULL,B73/32-27-6 F2:3,NULL,NULL
06PN0017_005s,06PN0017_005,06PN0017,06PN,NULL,Aur06_JP16-JP30,NULL,self,NULL,NULL,NULL,B73/[32-27]_6_012,NULL,3,NULL,B73/32-27-6 F2:3,NULL,NULL
06PN0018_001s,06PN0018_001,06PN0018,06PN,NULL,Aur06_JP16-JP30,NULL,self,NULL,NULL,NULL,B73/[32-27]_6_013,NULL,3,NULL,B73/32-27-6 F2:3,NULL,NULL
06PN0018_002s,06PN0018_002,06PN0018,06PN,NULL,Aur06_JP16-JP30,NULL,self,NULL,NULL,NULL,B73/[32-27]_6_015,NULL,3,NULL,B73/32-27-6 F2:3,NULL,NULL
06PN0018_003s,06PN0018_003,06PN0018,06PN,NULL,Aur06_JP16-JP30,NULL,self,NULL,NULL,NULL,B73/[32-27]_6_016,NULL,3,NULL,B73/32-27-6 F2:3,NULL,NULL
06PN0018_004s,06PN0018_004,06PN0018,06PN,NULL,Aur06_JP16-JP30,NULL,self,NULL,NULL,NULL,B73/[32-27]_6_017,NULL,3,NULL,B73/32-27-6 F2:3,NULL,NULL
06PN0018_005s,06PN0018_005,06PN0018,06PN,NULL,Aur06_JP16-JP30,NULL,self,NULL,NULL,NULL,B73/[32-27]_6_019,NULL,3,NULL,B73/32-27-6 F2:3,NULL,NULL
06PN0019_001s,06PN0019_001,06PN0019,06PN,NULL,Aur06_JP16-JP30,NULL,self,NULL,NULL,NULL,B73/[32-27]_6_021,NULL,3,NULL,B73/32-27-6 F2:3,NULL,NULL
06PN0019_002s,06PN0019_002,06PN0019,06PN,NULL,Aur06_JP16-JP30,NULL,self,NULL,NULL,NULL,B73/[32-27]_6_022,NULL,3,NULL,B73/32-27-6 F2:3,NULL,NULL
06PN0019_003s,06PN0019_003,06PN0019,06PN,NULL,Aur06_JP16-JP30,NULL,self,NULL,NULL,NULL,B73/[32-27]_6_024,NULL,3,NULL,B73/32-27-6 F2:3,NULL,NULL
06PN0019_004s,06PN0019_004,06PN0019,06PN,NULL,Aur06_JP16-JP30,NULL,self,NULL,NULL,NULL,B73/[32-27]_6_025,NULL,3,NULL,B73/32-27-6 F2:3,NULL,NULL
06PN0019_005s,06PN0019_005,06PN0019,06PN,NULL,Aur06_JP16-JP30,NULL,self,NULL,NULL,NULL,B73/[32-27]_6_026,NULL,3,NULL,B73/32-27-6 F2:3,NULL,NULL
