10CH0175_009s,10CH0175_009,10CH0175,10CH,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2102_010s)S2,NULL,34,NULL,NULL,NULL,NULL
10CH0175_010s,10CH0175_010,10CH0175,10CH,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2102_010s)S2,NULL,34,NULL,NULL,NULL,NULL
10CH0175_011s,10CH0175_011,10CH0175,10CH,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2102_010s)S2,NULL,34,NULL,NULL,NULL,NULL
10CH0175_012s,10CH0175_012,10CH0175,10CH,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2102_010s)S2,NULL,34,NULL,NULL,NULL,NULL
10CH0175_013s,10CH0175_013,10CH0175,10CH,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2102_010s)S2,NULL,34,NULL,NULL,NULL,NULL
10CH0176_001s,10CH0176_001,10CH0176,10CH,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2103_006s)S2,NULL,34,NULL,NULL,NULL,NULL
10CH0176_002s,10CH0176_002,10CH0176,10CH,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2103_006s)S2,NULL,34,NULL,NULL,NULL,NULL
10CH0176_003s,10CH0176_003,10CH0176,10CH,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2103_006s)S2,NULL,34,NULL,NULL,NULL,NULL
10CH0176_004s,10CH0176_004,10CH0176,10CH,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2103_006s)S2,NULL,34,NULL,NULL,NULL,NULL
10CH0176_005s,10CH0176_005,10CH0176,10CH,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2103_006s)S2,NULL,34,NULL,NULL,NULL,NULL
10CH0176_007s,10CH0176_007,10CH0176,10CH,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2103_006s)S2,NULL,34,NULL,NULL,NULL,NULL
10CH0176_008s,10CH0176_008,10CH0176,10CH,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2103_006s)S2,NULL,34,NULL,NULL,NULL,NULL
10CH0176_009s,10CH0176_009,10CH0176,10CH,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2103_006s)S2,NULL,34,NULL,NULL,NULL,NULL
10CH0176_010s,10CH0176_010,10CH0176,10CH,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2103_006s)S2,NULL,34,NULL,NULL,NULL,NULL
10CH0176_011s,10CH0176_011,10CH0176,10CH,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2103_006s)S2,NULL,34,NULL,NULL,NULL,NULL
10CH0176_012s,10CH0176_012,10CH0176,10CH,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2103_006s)S2,NULL,34,NULL,NULL,NULL,NULL
10CH0177_002s,10CH0177_002,10CH0177,10CH,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2103_009s)S2,NULL,34,NULL,NULL,NULL,NULL
10CH0177_003s,10CH0177_003,10CH0177,10CH,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2103_009s)S2,NULL,34,NULL,NULL,NULL,NULL
10CH0177_004s,10CH0177_004,10CH0177,10CH,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2103_009s)S2,NULL,34,NULL,NULL,NULL,NULL
10CH0177_005s,10CH0177_005,10CH0177,10CH,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2103_009s)S2,NULL,34,NULL,NULL,NULL,NULL
10CH0177_006s,10CH0177_006,10CH0177,10CH,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2103_009s)S2,NULL,34,NULL,NULL,NULL,NULL
10CH0177_007s,10CH0177_007,10CH0177,10CH,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2103_009s)S2,NULL,34,NULL,NULL,NULL,NULL
10CH0177_008s,10CH0177_008,10CH0177,10CH,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2103_009s)S2,NULL,34,NULL,NULL,NULL,NULL
10CH0177_009s,10CH0177_009,10CH0177,10CH,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2103_009s)S2,NULL,34,NULL,NULL,NULL,NULL
10CH0177_010s,10CH0177_010,10CH0177,10CH,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2103_009s)S2,NULL,34,NULL,NULL,NULL,NULL
10CH0177_011s,10CH0177_011,10CH0177,10CH,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2103_009s)S2,NULL,34,NULL,NULL,NULL,NULL
10CH0177_012s,10CH0177_012,10CH0177,10CH,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2103_009s)S2,NULL,34,NULL,NULL,NULL,NULL
10CH0178_001s,10CH0178_001,10CH0178,10CH,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2104_008s)S2,NULL,34,NULL,NULL,NULL,NULL
10CH0178_002s,10CH0178_002,10CH0178,10CH,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2104_008s)S2,NULL,34,NULL,NULL,NULL,NULL
10CH0178_003s,10CH0178_003,10CH0178,10CH,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2104_008s)S2,NULL,34,NULL,NULL,NULL,NULL
10CH0178_004s,10CH0178_004,10CH0178,10CH,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2104_008s)S2,NULL,34,NULL,NULL,NULL,NULL
10CH0178_005s,10CH0178_005,10CH0178,10CH,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2104_008s)S2,NULL,34,NULL,NULL,NULL,NULL
