07PN0027_002b,07PN0027_002,07PN0027,07PN,NULL,07N27,07N27,sib,NULL,NULL,NULL,B73,NULL,3,NULL,NULL,NULL,NULL
07PN0027_003b,07PN0027_003,07PN0027,07PN,NULL,07N27,07N27,sib,NULL,NULL,NULL,B73,NULL,3,NULL,NULL,NULL,NULL
07PN0028_001b,07PN0028_001,07PN0028,07PN,07N28.01,07N28,07N28,sib,NULL,NULL,NULL,B73,NULL,3,NULL,NULL,NULL,NULL
07PN0029_001x,07PN0029_001,07PN0029,07PN,07N29.01,07N29,NULL,cross,07PN0027_999,B73,NULL,B73/[21-14]-5-201,NULL,3,NULL,P29_Et3 [21-14] S2,NULL,NULL
07PN0029_002x,07PN0029_002,07PN0029,07PN,07N29.02,07N29,NULL,cross,07PN0027_999,B73,NULL,B73/[21-14]-5-202,NULL,3,NULL,P29_Et3 [21-14] S2,NULL,NULL
07PN0029_003x,07PN0029_003,07PN0029,07PN,07N29.03,07N29,NULL,cross,07PN0027_999,B73,NULL,B73/[21-14]-5-203,NULL,3,NULL,P29_Et3 [21-14] S2,NULL,NULL
07PN0029_004x,07PN0029_004,07PN0029,07PN,07N29.04,07N29,NULL,cross,07PN0027_999,B73,NULL,B73/[21-14]-5-204,NULL,3,NULL,P29_Et3 [21-14] S2,NULL,NULL
07PN0029_005x,07PN0029_005,07PN0029,07PN,07N29.05,07N29,NULL,cross,07PN0027_999,B73,NULL,B73/[21-14]-5-205,NULL,3,NULL,P29_Et3 [21-14] S2,NULL,NULL
07PN0029_007x,07PN0029_007,07PN0029,07PN,07N29.07,07N29,NULL,cross,07PN0027_999,B73,NULL,B73/[21-14]-5-207,NULL,3,NULL,P29_Et3 [21-14] S2,NULL,NULL
07PN0029_009x,07PN0029_009,07PN0029,07PN,07N29.09,07N29,NULL,cross,07PN0027_999,B73,NULL,B73/[21-14]-5-209,NULL,3,NULL,P29_Et3 [21-14] S2,NULL,NULL
07PN0029_010x,07PN0029_010,07PN0029,07PN,07N29.10,07N29,NULL,cross,07PN0027_999,B73,NULL,B73/[21-14]-5-210,NULL,3,NULL,P29_Et3 [21-14] S2,NULL,NULL
07PN0029_011x,07PN0029_011,07PN0029,07PN,07N29.11,07N29,NULL,cross,07PN0027_999,B73,NULL,B73/[21-14]-5-211,NULL,3,NULL,P29_Et3 [21-14] S2,NULL,NULL
07PN0029_016x,07PN0029_016,07PN0029,07PN,07N29.16,NULL,NULL,cross,NULL,B73,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL
07PN0030_001x,07PN0030_001,07PN0030,07PN,07N30.01,07N30,NULL,cross,07PN0027_999,B73,NULL,B73/[21-14]-5-216,NULL,3,NULL,P29_Et3 [21-14] S2,NULL,NULL
07PN0030_003x,07PN0030_003,07PN0030,07PN,07N30.03,07N30,NULL,cross,07PN0027_999,B73,NULL,B73/[21-14]-5-218,NULL,3,NULL,P29_Et3 [21-14] S2,NULL,NULL
07PN0030_004x,07PN0030_004,07PN0030,07PN,07N30.04,07N30,NULL,cross,07PN0027_999,B73,NULL,B73/[21-14]-5-219,NULL,3,NULL,P29_Et3 [21-14] S2,NULL,NULL
07PN0030_005x,07PN0030_005,07PN0030,07PN,07N30.05,07N30,NULL,cross,07PN0027_999,B73,NULL,B73/[21-14]-5-220,NULL,3,NULL,P29_Et3 [21-14] S2,NULL,NULL
07PN0030_009x,07PN0030_009,07PN0030,07PN,07N30.09,07N30,NULL,cross,07PN0027_999,B73,NULL,B73/[21-14]-5-224,NULL,3,NULL,P29_Et3 [21-14] S2,NULL,NULL
