12TN2043,NULL,12TN,NULL,NULL,10CH0086_001s,NULL,15,19,2,1,12,NULL,NULL,NULL,nlb fixed row,34
12TN2044,NULL,12TN,NULL,NULL,10CH0116_001s,NULL,15,20,2,1,12,NULL,NULL,NULL,nlb fixed row,34
12TN2045,NULL,12TN,NULL,NULL,10CH0233_001s,NULL,15,21,2,1,12,NULL,NULL,NULL,nlb fixed row,34
12TN2046,NULL,12TN,NULL,NULL,10CH0255_006s,NULL,15,22,2,1,12,NULL,NULL,NULL,nlb fixed row,34
12TN2047,NULL,12TN,NULL,NULL,102b73,NULL,15,23,2,1,12,NULL,NULL,NULL,nlb fixed row,34
12TN2048,NULL,12TN,NULL,NULL,102tx303,NULL,15,24,2,1,12,NULL,NULL,NULL,nlb fixed row,34
12TN2049,NULL,12TN,NULL,NULL,10CH0166_001s,NULL,16,1,3,1,12,NULL,NULL,NULL,nlb fixed row,34
12TN2050,NULL,12TN,NULL,NULL,10TN2274_001s,NULL,16,2,3,1,12,NULL,NULL,NULL,nlb fixed row,34
12TN2051,NULL,12TN,NULL,NULL,10TN2245_001s,NULL,16,3,3,1,12,NULL,NULL,NULL,nlb fixed row,34
12TN2052,NULL,12TN,NULL,NULL,10TN2209_001s,NULL,16,4,3,1,12,NULL,NULL,NULL,nlb fixed row,34
12TN2053,NULL,12TN,NULL,NULL,09PR0048_001s,NULL,16,5,3,1,12,NULL,NULL,NULL,nlb fixed row,34
12TN2054,NULL,12TN,NULL,NULL,10CH0105_001s,NULL,16,6,3,1,12,NULL,NULL,NULL,nlb fixed row,34
12TN2055,purple,12TN,NULL,NULL,purple,NULL,16,7,3,1,12,NULL,NULL,NULL,nlb fixed row,34
12TN2056,NULL,12TN,NULL,NULL,10CH0082_001s,NULL,16,8,3,1,12,NULL,NULL,NULL,nlb fixed row,34
12TN2057,purple,12TN,NULL,NULL,purple,NULL,16,9,3,1,12,NULL,NULL,NULL,nlb fixed row,34
12TN2058,NULL,12TN,NULL,NULL,purple,NULL,16,10,3,1,12,NULL,NULL,NULL,nlb fixed row,34
12TN2059,NULL,12TN,NULL,NULL,purple,NULL,16,11,3,1,12,NULL,NULL,NULL,nlb fixed row,34
12TN2060,NULL,12TN,NULL,NULL,10CH0077_003s,NULL,16,12,3,1,12,NULL,NULL,NULL,nlb fixed row,34
12TN2061,NULL,12TN,NULL,NULL,10TN2139_001s,NULL,16,13,3,1,12,NULL,NULL,NULL,nlb fixed row,34
12TN2062,B73,12TN,NULL,NULL,10TI00144_001b,NULL,16,14,3,1,12,NULL,NULL,NULL,nlb fixed row,34
12TN2063,NULL,12TN,NULL,NULL,10CH0178_003s,NULL,16,15,3,1,12,NULL,NULL,NULL,nlb fixed row,34
