09PR0001_001s,09PR0001_001,09PR0001,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2001_005)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0001_002s,09PR0001_002,09PR0001,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2001_005)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0001_003s,09PR0001_003,09PR0001,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2001_005)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0001_004s,09PR0001_004,09PR0001,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2001_005)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0001_005s,09PR0001_005,09PR0001,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2001_005)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0001_006s,09PR0001_006,09PR0001,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2001_005)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0002_001s,09PR0002_001,09PR0002,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2245_004)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0002_002s,09PR0002_002,09PR0002,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2245_004)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0002_003s,09PR0002_003,09PR0002,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2245_004)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0002_004s,09PR0002_004,09PR0002,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2245_004)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0002_005s,09PR0002_005,09PR0002,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2245_004)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0002_006s,09PR0002_006,09PR0002,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2245_004)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0002_007s,09PR0002_007,09PR0002,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2245_004)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0002_008s,09PR0002_008,09PR0002,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2245_004)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0003_001s,09PR0003_001,09PR0003,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2005_008)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0003_002s,09PR0003_002,09PR0003,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2005_008)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0003_003s,09PR0003_003,09PR0003,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2005_008)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0003_004s,09PR0003_004,09PR0003,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2005_008)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0003_005s,09PR0003_005,09PR0003,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2005_008)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0003_006s,09PR0003_006,09PR0003,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2005_008)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0004_001s,09PR0004_001,09PR0004,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2005_010)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0004_002s,09PR0004_002,09PR0004,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2005_010)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0004_003s,09PR0004_003,09PR0004,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2005_010)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0005_001s,09PR0005_001,09PR0005,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2006_001)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0005_002s,09PR0005_002,09PR0005,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2006_001)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0005_003s,09PR0005_003,09PR0005,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2006_001)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0005_004s,09PR0005_004,09PR0005,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2006_001)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0005_005s,09PR0005_005,09PR0005,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2006_001)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0006_001s,09PR0006_001,09PR0006,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2007_010)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0006_002s,09PR0006_002,09PR0006,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2007_010)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0006_003s,09PR0006_003,09PR0006,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2007_010)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0006_004s,09PR0006_004,09PR0006,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2007_010)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0007_001s,09PR0007_001,09PR0007,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2009_001)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0007_002s,09PR0007_002,09PR0007,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2009_001)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0008_001s,09PR0008_001,09PR0008,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2009_005)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0008_002s,09PR0008_002,09PR0008,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2009_005)S2,NULL,34,NULL,NULL,NULL,NULL
