12MH0001,1851_1_2_2_01F_0106F_20609B,12MH,1851_1_2_2_01F_,NULL,08GC1201_014s,NULL,NULL,NULL,1-Jan,1,12,NULL,NULL,NLB,NULL,65
12MH0002,1851_1_2_2_01F_0106F_20609B,12MH,1851_1_2_2_01F_,NULL,08GC1201_017s,NULL,NULL,NULL,1-Jan,1,12,NULL,NULL,NLB,NULL,65
12MH0003,1851_1_2_2_04F_30108E,12MH,1851_1_2_2_04F_,NULL,08GC1220_010s,NULL,NULL,NULL,2-Jan,1,12,NULL,NULL,NLB,NULL,65
12MH0004,1851_1_2_2_04F,12MH,1851_1_2_2_04F,NULL,08CF2003_009s,NULL,NULL,NULL,1-check,1,12,NULL,NULL,NLB,NULL,65
12MH0005,1851_1_2_2_04F,12MH,1851_1_2_2_04F,NULL,08CF2003_008s,NULL,NULL,NULL,1-check,1,12,NULL,NULL,NLB,NULL,65
12MH0006,1851_1_2_2_06G_30411A,12MH,1851_1_2_2_06G_,NULL,08GC1214_013s,NULL,NULL,NULL,2,1,12,NULL,NULL,NLB,NULL,65
12MH0007,1851_1_2_2_06G_30411A,12MH,1851_1_2_2_06G_,NULL,08GC1214_005s,NULL,NULL,NULL,2,1,12,NULL,NULL,NLB,NULL,65
12MH0008,1851_1_2_2_06G_30411A,12MH,1851_1_2_2_06G_,NULL,08GC1214_010s,NULL,NULL,NULL,2,1,12,NULL,NULL,NLB,NULL,65
12MH0009,1851_1_2_2_06G_30411A,12MH,1851_1_2_2_06G_,NULL,08GC1214_004s,NULL,NULL,NULL,2,1,12,NULL,NULL,NLB,NULL,65
12MH0010,1851_1_2_2_06G,12MH,1851_1_2_2_06G,NULL,08CF2006_031s,NULL,NULL,NULL,2-check,1,12,NULL,NULL,NLB,NULL,65
12MH0011,1851_1_2_2_06G,12MH,1851_1_2_2_06G,NULL,08CF2006_050s,NULL,NULL,NULL,2-check,1,12,NULL,NULL,NLB,NULL,65
12MH0012,1851_1_2_2_10G_30506F,12MH,1851_1_2_2_10G_,NULL,08GC1204_014s,NULL,NULL,NULL,3,1,12,NULL,NULL,NLB,NULL,65
12MH0013,1851_1_2_2_10G_30602F,12MH,1851_1_2_2_10G_,NULL,08GC1222_012s,NULL,NULL,NULL,3,1,12,NULL,NULL,NLB,NULL,65
12MH0014,1851_1_2_2_10G_30506F,12MH,1851_1_2_2_10G_,NULL,08GC1204_018s,NULL,NULL,NULL,3,1,12,NULL,NULL,NLB,NULL,65
12MH0015,1851_1_2_2_10G_30602F,12MH,1851_1_2_2_10G_,NULL,08GC1222_015s,NULL,NULL,NULL,3,1,12,NULL,NULL,NLB,NULL,65
12MH0016,1851_1_2_2_10G_30511G,12MH,1851_1_2_2_10G_,NULL,08GC1221_012s,NULL,NULL,NULL,3,1,12,NULL,NULL,NLB,NULL,65
12MH0017,1851_1_2_2_10G_30506C,12MH,1851_1_2_2_10G_,NULL,08GC1216_005s,NULL,NULL,NULL,3,1,12,NULL,NULL,NLB,NULL,65
12MH0018,1851_1_2_2_10G_30511G,12MH,1851_1_2_2_10G_,NULL,08GC1221_016s,NULL,NULL,NULL,3,1,12,NULL,NULL,NLB,NULL,65
