08PN0001,NULL,08PN,B73,NULL,07PN0031_001s,07N31,20,9,NULL,NULL,20,NULL,NULL,sib,increase,3
08PN0002,NULL,08PN,B73,NULL,07PN0031_001s,07N31,20,10,NULL,NULL,20,NULL,NULL,sib,increase,3
08PN0003,NULL,08PN,B73,NULL,NULL,JK06-D1 B73 bulk,20,11,NULL,NULL,20,NULL,NULL,sib,increase,3
08PN0004,NULL,08PN,B97,NULL,NULL,JK06-D1-305.3,20,12,NULL,NULL,20,NULL,NULL,sib,increase,3
08PN0005,NULL,08PN,CML103,NULL,NULL,07K0852,20,13,NULL,NULL,20,NULL,NULL,sib,increase,3
08PN0006,NULL,08PN,CML228,NULL,NULL,JK08-147.1,20,14,NULL,NULL,20,NULL,NULL,sib,increase,3
08PN0007,NULL,08PN,CML247,NULL,NULL,06FL0428,20,15,NULL,NULL,20,NULL,NULL,sib,increase,3
08PN0008,NULL,08PN,CML277,NULL,NULL,JK08-155.1,20,16,NULL,NULL,20,NULL,NULL,sib,increase,3
08PN0009,NULL,08PN,CML322,NULL,NULL,07A1661,20,17,NULL,NULL,20,NULL,NULL,sib,increase,3
08PN0010,NULL,08PN,CML333,NULL,NULL,JK08-140.1,20,18,NULL,NULL,20,NULL,NULL,sib,increase,3
08PN0011,NULL,08PN,CML52,NULL,NULL,07FL0502,20,19,NULL,NULL,20,NULL,NULL,sib,increase,3
08PN0012,NULL,08PN,CML69,NULL,NULL,JK08-136.1,20,20,NULL,NULL,20,NULL,NULL,sib,increase,3
08PN0013,NULL,08PN,Hp301,NULL,NULL,07K2665,20,21,NULL,NULL,20,NULL,NULL,sib,increase,3
08PN0014,NULL,08PN,Il14H,NULL,NULL,07K0953,20,22,NULL,NULL,20,NULL,NULL,sib,increase,3
08PN0015,NULL,08PN,Ki11,NULL,NULL,JK08-149.1,20,23,NULL,NULL,20,NULL,NULL,sib,increase,3
08PN0016,NULL,08PN,Ki3,NULL,NULL,07FL0458,20,24,NULL,NULL,20,NULL,NULL,sib,increase,3
08PN0017,NULL,08PN,Ky21,NULL,NULL,07K1076,20,25,NULL,NULL,20,NULL,NULL,sib,increase,3
