08PF0001_001s,08PF0001_001,08PF0001,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_056_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0002_001s,08PF0002_001,08PF0002,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_201_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0003_001s,08PF0003_001,08PF0003,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_093_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0004_001s,08PF0004_001,08PF0004,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_157_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0005_001s,08PF0005_001,08PF0005,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_204_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0006_001s,08PF0006_001,08PF0006,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_062_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0007_001s,08PF0007_001,08PF0007,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_119_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0008_001s,08PF0008_001,08PF0008,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_142_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0009_001s,08PF0009_001,08PF0009,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_129_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0010_001s,08PF0010_001,08PF0010,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_153_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0011_001s,08PF0011_001,08PF0011,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,Mo17,NULL,3,NULL,check increase,NULL,NULL
08PF0012_001s,08PF0012_001,08PF0012,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_069_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0013_001s,08PF0013_001,08PF0013,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_075_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0014_001s,08PF0014_001,08PF0014,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_225_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0015_001s,08PF0015_001,08PF0015,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_040_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0016_001s,08PF0016_001,08PF0016,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_235_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0017_001s,08PF0017_001,08PF0017,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73,NULL,3,NULL,check increase,NULL,NULL
08PF0018_001s,08PF0018_001,08PF0018,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,Oh43,NULL,3,NULL,check increase,NULL,NULL
08PF0019_001s,08PF0019_001,08PF0019,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_166_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0020_001s,08PF0020_001,08PF0020,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_195_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0021_001s,08PF0021_001,08PF0021,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_005_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0022_001s,08PF0022_001,08PF0022,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_222_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0023_001s,08PF0023_001,08PF0023,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_168_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0024_001s,08PF0024_001,08PF0024,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_079_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0025_001s,08PF0025_001,08PF0025,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_004_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0026_001s,08PF0026_001,08PF0026,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_041_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0027_001s,08PF0027_001,08PF0027,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_115_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0028_001s,08PF0028_001,08PF0028,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_006_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0029_001s,08PF0029_001,08PF0029,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_054_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0030_001s,08PF0030_001,08PF0030,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_117_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0031_001s,08PF0031_001,08PF0031,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73,NULL,3,NULL,check increase,NULL,NULL
08PF0032_001s,08PF0032_001,08PF0032,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_140_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0033_001s,08PF0033_001,08PF0033,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_229_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0034_001s,08PF0034_001,08PF0034,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,Oh43,NULL,3,NULL,check increase,NULL,NULL
08PF0035_001s,08PF0035_001,08PF0035,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_175_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0036_001s,08PF0036_001,08PF0036,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_208_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0037_001s,08PF0037_001,08PF0037,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_241_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0038_001s,08PF0038_001,08PF0038,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_220_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0039_001s,08PF0039_001,08PF0039,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_245_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0040_001s,08PF0040_001,08PF0040,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_026_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0041_001s,08PF0041_001,08PF0041,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_148_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0042_001s,08PF0042_001,08PF0042,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_057_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0043_001s,08PF0043_001,08PF0043,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,Mo17,NULL,3,NULL,check increase,NULL,NULL
08PF0044_001s,08PF0044_001,08PF0044,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_015_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0045_001s,08PF0045_001,08PF0045,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_145_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0046_001s,08PF0046_001,08PF0046,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_065_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0047_001s,08PF0047_001,08PF0047,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_098_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0048_001s,08PF0048_001,08PF0048,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_163_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0049_001s,08PF0049_001,08PF0049,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_008_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0050_001s,08PF0050_001,08PF0050,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_112_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0051_001s,08PF0051_001,08PF0051,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_124_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0052_001s,08PF0052_001,08PF0052,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,Mo17,NULL,3,NULL,check increase,NULL,NULL
08PF0053_001s,08PF0053_001,08PF0053,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_174_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0054_001s,08PF0054_001,08PF0054,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_018_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0055_001s,08PF0055_001,08PF0055,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_133_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0056_001s,08PF0056_001,08PF0056,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,Purple,NULL,3,NULL,check increase,NULL,NULL
08PF0057_001s,08PF0057_001,08PF0057,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_206_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0058_001s,08PF0058_001,08PF0058,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_034_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0059_001s,08PF0059_001,08PF0059,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_217_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0060_001s,08PF0060_001,08PF0060,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,Oh43,NULL,3,NULL,check increase,NULL,NULL
08PF0061_001s,08PF0061_001,08PF0061,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_165_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0062_001s,08PF0062_001,08PF0062,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_183_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0063_001s,08PF0063_001,08PF0063,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_012_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0064_001s,08PF0064_001,08PF0064,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_009_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0065_001s,08PF0065_001,08PF0065,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_207_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0066_001s,08PF0066_001,08PF0066,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_212_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0067_001s,08PF0067_001,08PF0067,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_002_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0068_001s,08PF0068_001,08PF0068,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_053_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0069_001s,08PF0069_001,08PF0069,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73,NULL,3,NULL,check increase,NULL,NULL
08PF0070_001s,08PF0070_001,08PF0070,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_132_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0071_001s,08PF0071_001,08PF0071,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_010_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0072_001s,08PF0072_001,08PF0072,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_106_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0073_001s,08PF0073_001,08PF0073,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_071_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0074_001s,08PF0074_001,08PF0074,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_088_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0075_001s,08PF0075_001,08PF0075,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_080_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0076_001s,08PF0076_001,08PF0076,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_125_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0077_001s,08PF0077_001,08PF0077,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_049_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0078_001s,08PF0078_001,08PF0078,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_091_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0079_001s,08PF0079_001,08PF0079,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_095_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0080_001s,08PF0080_001,08PF0080,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_068_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0081_001s,08PF0081_001,08PF0081,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_231_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0082_001s,08PF0082_001,08PF0082,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,Mo17,NULL,3,NULL,check increase,NULL,NULL
08PF0083_001s,08PF0083_001,08PF0083,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_193_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0084_001s,08PF0084_001,08PF0084,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_143_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0085_001s,08PF0085_001,08PF0085,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_028_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0086_001s,08PF0086_001,08PF0086,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_042_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0087_001s,08PF0087_001,08PF0087,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_200_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0088_001s,08PF0088_001,08PF0088,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_097_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0089_001s,08PF0089_001,08PF0089,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_202_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0090_001s,08PF0090_001,08PF0090,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_211_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0091_001s,08PF0091_001,08PF0091,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_116_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0092_001s,08PF0092_001,08PF0092,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73,NULL,3,NULL,check increase,NULL,NULL
08PF0093_001s,08PF0093_001,08PF0093,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,Oh43,NULL,3,NULL,check increase,NULL,NULL
08PF0094_001s,08PF0094_001,08PF0094,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_237_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0095_001s,08PF0095_001,08PF0095,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_181_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0096_001s,08PF0096_001,08PF0096,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_024_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0097_001s,08PF0097_001,08PF0097,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_001_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0098_001s,08PF0098_001,08PF0098,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_130_01,NULL,3,NULL,B73/32-24 (S3),NULL,NULL
08PF0099_001s,08PF0099_001,08PF0099,08PF,NULL,NULL,NULL,self,NULL,NULL,NULL,Purple,NULL,3,NULL,check increase,NULL,NULL
