05RW0091,91,05RW,Pa9102:369-370,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,na,sib,Htdifferentials,0
05RW0092,92,05RW,Pa91Ht102:371-372,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,na,sib,Htdifferentials,0
05RW0093,93,05RW,Pa91Ht202:373-374,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,na,sib,Htdifferentials,0
05RW0094,94,05RW,Pa91Ht302:375-376,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,na,sib,Htdifferentials,0
05RW0095,95,05RW,B688175-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,na,sib,Htdifferentials,0
05RW0096,96,05RW,B68HtN02:377-378,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,na,sib,Htdifferentials,0
05RW0285,285,05RW,B73/29-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,na,self_10,P30_Et1(F1s),0
05RW0286,286,05RW,B73/29-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,na,self_10,P30_Et1(F1s),0
05RW0287,287,05RW,B73/29-3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,na,self_10,P30_Et1(F1s),0
05RW0288,288,05RW,B73/29-4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,na,self_10,P30_Et1(F1s),0
05RW0289,289,05RW,B73/29-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,na,self_10,P30_Et1(F1s),0
05RW0290,290,05RW,B73/29-6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,na,self_10,P30_Et1(F1s),0
05RW0291,291,05RW,B73/29-9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,na,self_10,P30_Et1(F1s),0
05RW0292,292,05RW,B73/29-11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,na,self_10,P30_Et1(F1s),0
05RW0293,293,05RW,B73/29-12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,na,self_10,P30_Et1(F1s),0
05RW0294,294,05RW,B73/29-13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,na,self_10,P30_Et1(F1s),0
05RW0295,295,05RW,B73/29-14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,na,self_10,P30_Et1(F1s),0
05RW0296,296,05RW,B73/29-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,na,self_10,P30_Et1(F1s),0
05RW0297,297,05RW,B73/29-16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,na,self_10,P30_Et1(F1s),0
05RW0298,298,05RW,B73/29-17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,na,self_10,P30_Et1(F1s),0
05RW0299,299,05RW,B73/29-18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,na,self_10,P30_Et1(F1s),0
05RW0300,300,05RW,B73/29-20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,na,self_10,P30_Et1(F1s),0
05RW0301,301,05RW,B73/29-23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,na,self_10,P30_Et1(F1s),0
05RW0302,302,05RW,B73/29-24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,na,self_10,P30_Et1(F1s),0
05RW0303,303,05RW,B73/29-25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,na,self_10,P30_Et1(F1s),0
05RW0304,304,05RW,B73/29-27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,na,self_10,P30_Et1(F1s),0
05RW0305,305,05RW,B73/29-28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,na,self_10,P30_Et1(F1s),0
05RW0306,306,05RW,B73/29-30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,na,self_10,P30_Et1(F1s),0
05RW0307,307,05RW,B73/29-31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,na,self_10,P30_Et1(F1s),0
05RW0308,308,05RW,B73/29-34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,na,self_10,P30_Et1(F1s),0
05RW0309,309,05RW,B73/29-35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,na,self_10,P30_Et1(F1s),0
05RW0310,310,05RW,B73/29-36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,na,self_10,P30_Et1(F1s),0
05RW0311,311,05RW,B73/29-37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,na,self_10,P30_Et1(F1s),0
05RW0312,312,05RW,B73/29-39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,na,self_10,P30_Et1(F1s),0
05RW0313,313,05RW,B73/29-41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,na,self_10,P30_Et1(F1s),0
05RW0314,314,05RW,B73/29-42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,na,self_10,P30_Et1(F1s),0
05RW0315,315,05RW,B73/29-44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,na,self_10,P30_Et1(F1s),0
05RW0316,316,05RW,B73/31-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,na,self_10,P30_Et3(F1s),0
