13TM0001,UFMu-06564_2,13TM,(UFMu-06564)S1,NULL,12CH0081_002s,UFMu-06564,5,NULL,1,1,10,NULL,NULL,NLB,NULL,34
13TM0002,UFMu-06564_1,13TM,(UFMu-06564)S1,NULL,12CH0081_001s,UFMu-06564,5,NULL,1,1,10,NULL,NULL,NLB,NULL,34
13TM0003,UFMu-06564_8,13TM,(UFMu-06564)S1,NULL,12CH0081_008s,UFMu-06564,5,NULL,1,1,10,NULL,NULL,NLB,NULL,34
13TM0004,UFMu-06564_4,13TM,(UFMu-06564)S1,NULL,12CH0081_004s,UFMu-06564,5,NULL,1,1,10,NULL,NULL,NLB,NULL,34
13TM0005,UFMu-06564_9,13TM,(UFMu-06564)S1,NULL,12CH0081_009s,UFMu-06564,5,NULL,1,1,10,NULL,NULL,NLB,NULL,34
13TM0006,UFMu-06564_5,13TM,(UFMu-06564)S1,NULL,12CH0081_005s,UFMu-06564,5,NULL,1,1,10,NULL,NULL,NLB,NULL,34
13TM0007,W22,13TM,W22,NULL,12CH0114_001b,W22,5,NULL,1,1,10,NULL,NULL,NLB,NULL,34
13TM0008,UFMu-07888_5,13TM,(UFMu-07888)S1,NULL,12CH0102_005s,UFMu-07888,5,NULL,2,1,10,NULL,NULL,NLB,NULL,34
13TM0009,UFMu-07888_8,13TM,(UFMu-07888)S1,NULL,12CH0102_008s,UFMu-07888,5,NULL,2,1,10,NULL,NULL,NLB,NULL,34
13TM0010,UFMu-07888_11,13TM,(UFMu-07888)S1,NULL,12CH0102_011s,UFMu-07888,5,NULL,2,1,10,NULL,NULL,NLB,NULL,34
13TM0011,UFMu-07888_10,13TM,(UFMu-07888)S1,NULL,12CH0102_010s,UFMu-07888,5,NULL,2,1,10,NULL,NULL,NLB,NULL,34
13TM0012,W22,13TM,W22,NULL,12CH0114_001b,W22,5,NULL,2,1,10,NULL,NULL,NLB,NULL,34
13TM0013,UFMu-07888_4,13TM,(UFMu-07888)S1,NULL,12CH0102_004s,UFMu-07888,5,NULL,2,1,10,NULL,NULL,NLB,NULL,34
13TM0014,UFMu-07888_2,13TM,(UFMu-07888)S1,NULL,12CH0102_002s,UFMu-07888,5,NULL,2,1,10,NULL,NULL,NLB,NULL,34
13TM0015,UFMu-07888_3,13TM,(UFMu-07888)S1,NULL,12CH0102_003s,UFMu-07888,5,NULL,2,1,10,NULL,NULL,NLB,NULL,34
13TM0016,UFMu-07888_1,13TM,(UFMu-07888)S1,NULL,12CH0102_001s,UFMu-07888,5,NULL,2,1,10,NULL,NULL,NLB,NULL,34
13TM0017,UFMu-07888_6,13TM,(UFMu-07888)S1,NULL,12CH0102_006s,UFMu-07888,5,NULL,2,1,10,NULL,NULL,NLB,NULL,34
13TM0018,UFMu-07888_7,13TM,(UFMu-07888)S1,NULL,12CH0102_007s,UFMu-07888,5,NULL,2,1,10,NULL,NULL,NLB,NULL,34
13TM0019,UFMu-07985_3,13TM,(UFMu-07985)S1,NULL,12CH0105_003s,UFMu-07985,5,NULL,3,1,10,NULL,NULL,NLB,NULL,34
13TM0020,UFMu-07985_5,13TM,(UFMu-07985)S1,NULL,12CH0105_005s,UFMu-07985,5,NULL,3,1,10,NULL,NULL,NLB,NULL,34
13TM0021,W22,13TM,W22,NULL,12CH0114_001b,W22,5,NULL,3,1,10,NULL,NULL,NLB,NULL,34
