13TE0001,NULL,13TE,Tx303,NULL,97ncab01,Tx303,21,NULL,NULL,1,12,NULL,NULL,NLB; self,self,34
13TE0002,NULL,13TE,NIL B,NULL,09PN0262_011s,NIL B,21,NULL,NULL,1,12,NULL,NULL,NLB; self,self,34
13TE0003,NULL,13TE,B73,NULL,11TM0032_001s,B73,21,NULL,NULL,1,12,NULL,NULL,NLB; self,self,34
13TE0004,NULL,13TE,NIL T,NULL,09PN0264_005s,NIL T,21,NULL,NULL,1,12,NULL,NULL,NLB; self,self,34
13TE0005,NULL,13TE,NIL T,NULL,09PN0264_005s,NIL T,21,NULL,NULL,2,12,NULL,NULL,NLB; self,self,34
13TE0006,NULL,13TE,B73,NULL,11TM0032_001s,B73,21,NULL,NULL,2,12,NULL,NULL,NLB; self,self,34
13TE0007,NULL,13TE,NIL B,NULL,09PN0262_011s,NIL B,21,NULL,NULL,2,12,NULL,NULL,NLB; self,self,34
13TE0008,NULL,13TE,Tx303,NULL,97ncab01,Tx303,21,NULL,NULL,2,12,NULL,NULL,NLB; self,self,34
13TE0009,NULL,13TE,NIL B,NULL,09PN0262_011s,NIL B,21,NULL,NULL,3,12,NULL,NULL,NLB,NULL,34
13TE0010,NULL,13TE,NIL T,NULL,09PN0264_005s,NIL T,21,NULL,NULL,3,12,NULL,NULL,NLB,NULL,34
13TE0011,NULL,13TE,B73,NULL,11TM0032_001s,B73,21,NULL,NULL,3,12,NULL,NULL,NLB,NULL,34
13TE0012,NULL,13TE,Tx303,NULL,97ncab01,Tx303,21,NULL,NULL,3,12,NULL,NULL,NLB,NULL,34
13TE0013,NULL,13TE,NIL T,NULL,09PN0264_005s,NIL T,21,NULL,NULL,4,12,NULL,NULL,NLB,NULL,34
13TE0014,NULL,13TE,NIL B,NULL,09PN0262_011s,NIL B,21,NULL,NULL,4,12,NULL,NULL,NLB,NULL,34
13TE0015,NULL,13TE,Tx303,NULL,97ncab01,Tx303,21,NULL,NULL,4,12,NULL,NULL,NLB,NULL,34
13TE0016,NULL,13TE,B73,NULL,11TM0032_001s,B73,21,NULL,NULL,4,12,NULL,NULL,NLB,NULL,34
13TE0017,NULL,13TE,NILR,NULL,10GT_506_002s,NILR,21,NULL,NULL,NULL,10,NULL,NULL,NLB; self,self,34
13TE0018,NULL,13TE,NILR,NULL,10GT_506_002s,NILR,21,NULL,NULL,NULL,10,NULL,NULL,NLB; self,self,34
