07FL0204_001s,07FL0204_001,07FL0204,07FL,07FL0204.1,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_121,NULL,3,NULL,32-24-10 F2:3,NULL,NULL
07FL0204_002s,07FL0204_002,07FL0204,07FL,07FL0204.2,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_122,NULL,3,NULL,32-24-10 F2:3,NULL,NULL
07FL0204_003s,07FL0204_003,07FL0204,07FL,07FL0204.3,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_123,NULL,3,NULL,32-24-10 F2:3,NULL,NULL
07FL0204_004s,07FL0204_004,07FL0204,07FL,07FL0204.4,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_124,NULL,3,NULL,32-24-10 F2:3,NULL,NULL
07FL0204_005s,07FL0204_005,07FL0204,07FL,07FL0204.5,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_125,NULL,3,NULL,32-24-10 F2:3,NULL,NULL
07FL0205_001s,07FL0205_001,07FL0205,07FL,07FL0205.1,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_085,NULL,3,NULL,32-24-10 F2:3,NULL,NULL
07FL0205_002s,07FL0205_002,07FL0205,07FL,07FL0205.2,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_086,NULL,3,NULL,32-24-10 F2:3,NULL,NULL
07FL0205_003s,07FL0205_003,07FL0205,07FL,07FL0205.3,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_087,NULL,3,NULL,32-24-10 F2:3,NULL,NULL
07FL0205_004s,07FL0205_004,07FL0205,07FL,07FL0205.4,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_088,NULL,3,NULL,32-24-10 F2:3,NULL,NULL
07FL0206_001s,07FL0206_001,07FL0206,07FL,07FL0206.1,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_113,NULL,3,NULL,32-24-10 F2:3,NULL,NULL
07FL0206_002s,07FL0206_002,07FL0206,07FL,07FL0206.2,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_114,NULL,3,NULL,32-24-10 F2:3,NULL,NULL
07FL0206_003s,07FL0206_003,07FL0206,07FL,07FL0206.3,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_115,NULL,3,NULL,32-24-10 F2:3,NULL,NULL
07FL0206_004s,07FL0206_004,07FL0206,07FL,07FL0206.4,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_116,NULL,3,NULL,32-24-10 F2:3,NULL,NULL
07FL0206_005s,07FL0206_005,07FL0206,07FL,07FL0206.5,NULL,NULL,self,NULL,NULL,NULL,B73/[32-24]-10_117,NULL,3,NULL,32-24-10 F2:3,NULL,NULL
