11TM0002_005s,11TM0002_005,11TM0002,11TM,NULL,NULL,UFMu-01990,self,NULL,NULL,NULL,(11TM0002_005)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0002_006s,11TM0002_006,11TM0002,11TM,NULL,NULL,UFMu-01990,self,NULL,NULL,NULL,(11TM0002_006)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0004_002s,11TM0004_002,11TM0004,11TM,NULL,NULL,UFMu-02632,self,NULL,NULL,NULL,(11TM0004_002)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0004_003s,11TM0004_003,11TM0004,11TM,NULL,NULL,UFMu-02632,self,NULL,NULL,NULL,(11TM0004_003)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0005_001s,11TM0005_001,11TM0005,11TM,NULL,NULL,UFMu-05243,self,NULL,NULL,NULL,(11TM0005_001)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0006_001s,11TM0006_001,11TM0006,11TM,NULL,NULL,UFMu-05317,self,NULL,NULL,NULL,(11TM0006_001)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0007_001s,11TM0007_001,11TM0007,11TM,NULL,NULL,UFMu-01180,self,NULL,NULL,NULL,(11TM0007_001)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0007_002s,11TM0007_002,11TM0007,11TM,NULL,NULL,UFMu-01180,self,NULL,NULL,NULL,(11TM0007_002)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0007_003s,11TM0007_003,11TM0007,11TM,NULL,NULL,UFMu-01180,self,NULL,NULL,NULL,(11TM0007_003)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0007_004s,11TM0007_004,11TM0007,11TM,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TM0007_004)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0007_005s,11TM0007_005,11TM0007,11TM,NULL,NULL,UFMu-01180,self,NULL,NULL,NULL,(11TM0007_005)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0007_006s,11TM0007_006,11TM0007,11TM,NULL,NULL,UFMu-01180,self,NULL,NULL,NULL,(11TM0007_006)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0008_001s,11TM0008_001,11TM0008,11TM,NULL,NULL,UFMu-01180,self,NULL,NULL,NULL,(11TM0008_001)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0008_003s,11TM0008_003,11TM0008,11TM,NULL,NULL,UFMu-01180,self,NULL,NULL,NULL,(11TM0008_003)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0008_004s,11TM0008_004,11TM0008,11TM,NULL,NULL,UFMu-01180,self,NULL,NULL,NULL,(11TM0008_004)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0008_005s,11TM0008_005,11TM0008,11TM,NULL,NULL,UFMu-01180,self,NULL,NULL,NULL,(11TM0008_005)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0008_006s,11TM0008_006,11TM0008,11TM,NULL,NULL,UFMu-01180,self,NULL,NULL,NULL,(11TM0008_006)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0009_001s,11TM0009_001,11TM0009,11TM,NULL,NULL,UFMu-01990,self,NULL,NULL,NULL,(11TM0009_001)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0009_002s,11TM0009_002,11TM0009,11TM,NULL,NULL,UFMu-01990,self,NULL,NULL,NULL,(11TM0009_002)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0009_003s,11TM0009_003,11TM0009,11TM,NULL,NULL,UFMu-01990,self,NULL,NULL,NULL,(11TM0009_003)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0009_004s,11TM0009_004,11TM0009,11TM,NULL,NULL,UFMu-01990,self,NULL,NULL,NULL,(11TM0009_004)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0009_005s,11TM0009_005,11TM0009,11TM,NULL,NULL,UFMu-01990,self,NULL,NULL,NULL,(11TM0009_005)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0010_001s,11TM0010_001,11TM0010,11TM,NULL,NULL,W22,self,NULL,NULL,NULL,(11TM0010_001)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0010_003s,11TM0010_003,11TM0010,11TM,NULL,NULL,W22,self,NULL,NULL,NULL,(11TM0010_003)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0010_004s,11TM0010_004,11TM0010,11TM,NULL,NULL,W22,self,NULL,NULL,NULL,(11TM0010_004)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0010_005s,11TM0010_005,11TM0010,11TM,NULL,NULL,W22,self,NULL,NULL,NULL,(11TM0010_005)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0010_008s,11TM0010_008,11TM0010,11TM,NULL,NULL,W22,self,NULL,NULL,NULL,(11TM0010_008)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0010_009s,11TM0010_009,11TM0010,11TM,NULL,NULL,W22,self,NULL,NULL,NULL,(11TM0010_009)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0012_001s,11TM0012_001,11TM0012,11TM,NULL,NULL,UFMu-05317,self,NULL,NULL,NULL,(11TM0012_001)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0013_001s,11TM0013_001,11TM0013,11TM,NULL,NULL,UFMu-05243,self,NULL,NULL,NULL,(11TM0013_001)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0014_001s,11TM0014_001,11TM0014,11TM,NULL,NULL,UFMu-02632,self,NULL,NULL,NULL,(11TM0014_001)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0014_002s,11TM0014_002,11TM0014,11TM,NULL,NULL,UFMu-02632,self,NULL,NULL,NULL,(11TM0014_002)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0015_001s,11TM0015_001,11TM0015,11TM,NULL,NULL,UFMu-03986,self,NULL,NULL,NULL,(11TM0015_001)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0015_002s,11TM0015_002,11TM0015,11TM,NULL,NULL,UFMu-03986,self,NULL,NULL,NULL,(11TM0015_002)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0015_004s,11TM0015_004,11TM0015,11TM,NULL,NULL,UFMu-03986,self,NULL,NULL,NULL,(11TM0015_004)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0016_001s,11TM0016_001,11TM0016,11TM,NULL,NULL,UFMu-03986,self,NULL,NULL,NULL,(11TM0016_001)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0017_004s,11TM0017_004,11TM0017,11TM,NULL,NULL,111G,self,NULL,NULL,NULL,(11TM0017_004)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0019_005s,11TM0019_005,11TM0019,11TM,NULL,NULL,117E,self,NULL,NULL,NULL,(11TM0019_005)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0019_006s,11TM0019_006,11TM0019,11TM,NULL,NULL,117E,self,NULL,NULL,NULL,(11TM0019_006)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0020_001s,11TM0020_001,11TM0020,11TM,NULL,NULL,727G,self,NULL,NULL,NULL,(11TM0020_001)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0020_002s,11TM0020_002,11TM0020,11TM,NULL,NULL,727G,self,NULL,NULL,NULL,(11TM0020_002)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0020_003s,11TM0020_003,11TM0020,11TM,NULL,NULL,727G,self,NULL,NULL,NULL,(11TM0020_003)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0020_009s,11TM0020_009,11TM0020,11TM,NULL,NULL,727G,self,NULL,NULL,NULL,(11TM0020_009)S1,NULL,34,NULL,NULL,NULL,NULL
