08PT0040,.,08PT,(B73+Ames 21889)BC4S2,Z036E0085,NULL,07PR148301A,16,20,4,1,12,A,NULL,Trial,packet # 50,10
08PT0041,.,08PT,(B73+Ames 21889)BC4S2,Z036E0086,NULL,07PR144901A,16,21,4,1,12,A,NULL,Trial,packet # 33,10
08PT0042,.,08PT,B73,NULL,NULL,07FG116101,16,21,4,1,12,A,NULL,Check,NULL,10
08PT0043,.,08PT,(B73+Ames 21889)BC4S2,Z036E0075,NULL,07PR147301A,16,22,4,1,12,A,NULL,Trial,packet # 45,10
08PT0044,.,08PT,(B73+Ames 21889)BC4S2,Z036E0056,NULL,07PR145101A,16,22,4,1,12,A,NULL,Trial,packet # 34,10
08PT0045,.,08PT,(B73+Ames 21889)BC4S2,Z036E0055,NULL,07PR145001A,16,23,4,1,12,A,NULL,Trial,packet # 31,10
08PT0046,.,08PT,(B73+Ames 21889)BC4S2,Z036E0072,NULL,07PR146901A,16,23,4,1,12,A,NULL,Trial,packet # 43,10
08PT0047,.,08PT,(B73+Ames 21889)BC4S2,Z036E0051,NULL,07PR144201A,16,24,4,1,12,A,NULL,Trial,packet # 30,10
08PT0048,.,08PT,(B73+Ames 21889)BC4S2,Z036E0027,NULL,07PR141701A,16,24,4,1,12,A,NULL,Trial,packet # 14,10
08PT0049,.,08PT,(B73+Ames 21889)BC4S2,Z036E0065,NULL,07PR146101A,16,25,5,1,12,A,NULL,Trial,packet # 40,10
08PT0050,.,08PT,(B73+Ames 21889)BC4S2,Z036E0063,NULL,07PR145901A,16,25,5,1,12,A,NULL,Trial,packet # 39,10
08PT0051,.,08PT,(B73+Ames 21889)BC4S2,Z036E0010,NULL,07PR139701A,16,26,5,1,12,A,NULL,Trial,packet # 6,10
08PT0052,.,08PT,B73,NULL,NULL,07FG116101,16,26,5,1,12,A,NULL,Check,NULL,10
08PT0053,.,08PT,(B73+Ames 21889)BC4S2,Z036E0069,NULL,07PR146501A,16,27,5,1,12,A,NULL,Trial,packet # 41,10
08PT0054,.,08PT,(B73+Ames 21889)BC4S2,Z036E0002,NULL,07PR138801A,16,27,5,1,12,A,NULL,Trial,packet # 2,10
08PT0055,.,08PT,(B73+Ames 21889)BC4S2,Z036E0077,NULL,07PR147501A,16,28,5,1,12,A,NULL,Trial,packet # 46,10
08PT0056,.,08PT,(B73+Ames 21889)BC4S2,Z036E0004,NULL,07PR139001A,16,28,5,1,12,A,NULL,Trial,packet # 3,10
08PT0057,.,08PT,(B73+Ames 21889)BC4S2,Z036E0030,NULL,07PR142101A,16,29,5,1,12,A,NULL,Trial,packet # 19,10
08PT0058,.,08PT,B73,NULL,NULL,07FG116101,16,29,5,1,12,A,NULL,Check,NULL,10
08PT0059,.,08PT,(B73+Ames 21889)BC4S2,Z036E0008,NULL,07PR139401A,16,30,5,1,12,A,NULL,Trial,packet # 5,10
08PT0060,.,08PT,(B73+Ames 21889)BC4S2,Z036E0029,NULL,07PR141901A,16,30,5,1,12,A,NULL,Trial,packet # 18,10
08PT0061,.,08PT,(B73+Ames 21889)BC4S2,Z036E0038,NULL,07PR142901A,16,31,1,2,12,A,NULL,Trial,packet # 23,10
08PT0062,.,08PT,(B73+Ames 21889)BC4S2,Z036E0044,NULL,07PR143501A,16,31,1,2,12,A,NULL,Trial,packet # 26,10
08PT0063,.,08PT,(B73+Ames 21889)BC4S2,Z036E0059,NULL,07PR145501A,16,32,1,2,12,A,NULL,Trial,packet # 37,10
08PT0064,.,08PT,(B73+Ames 21889)BC4S2,Z036E0014,NULL,07PR140101A,16,32,1,2,12,A,NULL,Trial,packet # 9,10
08PT0065,.,08PT,(B73+Ames 21889)BC4S2,Z036E0050,NULL,07PR144101A,16,33,1,2,12,A,NULL,Trial,packet # 29,10
08PT0066,.,08PT,(B73+Ames 21889)BC4S2,Z036E0021,NULL,07PR140901A,16,33,1,2,12,A,NULL,Trial,packet # 13,10
08PT0067,.,08PT,(B73+Ames 21889)BC4S2,Z036E0024,NULL,07PR141301A,16,34,1,2,12,A,NULL,Trial,packet # 15,10
08PT0068,.,08PT,B73,NULL,NULL,07FG116101,16,34,1,2,12,A,NULL,Check,NULL,10
08PT0069,.,08PT,(B73+Ames 21889)BC4S2,Z036E0081,NULL,07PR147901A,16,35,1,2,12,A,NULL,Trial,packet # 48,10
08PT0070,.,08PT,(B73+Ames 21889)BC4S2,Z036E0015,NULL,07PR140301A,16,35,1,2,12,A,NULL,Trial,packet # 10,10
08PT0071,.,08PT,(B73+Ames 21889)BC4S2,Z036E0055,NULL,07PR145001A,16,36,1,2,12,A,NULL,Trial,packet # 31,10
08PT0072,.,08PT,B73,NULL,NULL,07FG116101,16,36,1,2,12,A,NULL,Check,NULL,10
08PT0073,.,08PT,(B73+Ames 21889)BC4S2,Z036E0032,NULL,07PR142301A,16,37,2,2,12,A,NULL,Trial,packet # 20,10
08PT0074,.,08PT,(B73+Ames 21889)BC4S2,Z036E0048,NULL,07PR143901A,16,37,2,2,12,A,NULL,Trial,packet # 28,10
08PT0075,.,08PT,(B73+Ames 21889)BC4S2,Z036E0027,NULL,07PR141701A,16,38,2,2,12,A,NULL,Trial,packet # 14,10
08PT0076,.,08PT,(B73+Ames 21889)BC4S2,Z036E0075,NULL,07PR147301A,16,38,2,2,12,A,NULL,Trial,packet # 45,10
08PT0077,.,08PT,(B73+Ames 21889)BC4S2,Z036E0013,NULL,07PR140001A,16,39,2,2,12,A,NULL,Trial,packet # 8,10
08PT0078,.,08PT,(B73+Ames 21889)BC4S2,Z036E0077,NULL,07PR147501A,16,39,2,2,12,A,NULL,Trial,packet # 46,10
08PT0079,.,08PT,(B73+Ames 21889)BC4S2,Z036E0056,NULL,07PR145101A,16,40,2,2,12,A,NULL,Trial,packet # 34,10
08PT0080,.,08PT,(B73+Ames 21889)BC4S2,Z036E0036,NULL,07PR142701A,16,40,2,2,12,A,NULL,Trial,packet # 22,10
08PT0081,.,08PT,(B73+Ames 21889)BC4S2,Z036E0030,NULL,07PR142101A,16,41,2,2,12,A,NULL,Trial,packet # 19,10
08PT0082,.,08PT,B73,NULL,NULL,07FG116101,16,41,2,2,12,A,NULL,Check,NULL,10
08PT0083,.,08PT,(B73+Ames 21889)BC4S2,Z036E0061,NULL,07PR145701A,16,42,2,2,12,A,NULL,Trial,packet # 38,10
08PT0084,.,08PT,B73,NULL,NULL,07FG116101,16,42,2,2,12,A,NULL,Check,NULL,10
08PT0085,.,08PT,(B73+Ames 21889)BC4S2,Z036E0046,NULL,07PR143701A,16,43,3,2,12,A,NULL,Trial,packet # 27,10
08PT0086,.,08PT,(B73+Ames 21889)BC4S2,Z036E0019,NULL,07PR140701A,16,43,3,2,12,A,NULL,Trial,packet # 12,10
08PT0087,.,08PT,(B73+Ames 21889)BC4S2,Z036E0011,NULL,07PR139801A,16,44,3,2,12,A,NULL,Trial,packet # 7,10
08PT0088,.,08PT,(B73+Ames 21889)BC4S2,Z036E0051,NULL,07PR144201A,16,44,3,2,12,A,NULL,Trial,packet # 30,10
08PT0089,.,08PT,(B73+Ames 21889)BC4S2,Z036E0079,NULL,07PR147701A,16,45,3,2,12,A,NULL,Trial,packet # 47,10
08PT0090,.,08PT,(B73+Ames 21889)BC4S2,Z036E0085,NULL,07PR148301A,16,45,3,2,12,A,NULL,Trial,packet # 50,10
08PT0091,.,08PT,B73,NULL,NULL,07FG116101,16,46,3,2,12,A,NULL,Check,NULL,10
08PT0092,.,08PT,(B73+Ames 21889)BC4S2,Z036E0040,NULL,07PR143101A,16,46,3,2,12,A,NULL,Trial,packet # 24,10
08PT0093,.,08PT,(B73+Ames 21889)BC4S2,Z036E0058,NULL,07PR145401A,16,47,3,2,12,A,NULL,Trial,packet # 36,10
08PT0094,.,08PT,(B73+Ames 21889)BC4S2,Z036E0082,NULL,07PR148001A,16,47,3,2,12,A,NULL,Trial,packet # 49,10
08PT0095,.,08PT,B73,NULL,NULL,07FG116101,16,48,3,2,12,A,NULL,Check,NULL,10
08PT0096,.,08PT,(B73+Ames 21889)BC4S2,Z036E0089,NULL,07PR147101A,16,48,3,2,12,A,NULL,Trial,packet # 44,10
