07PN0034,07N34,07PN,32-24-3-10,NULL,NULL,GH07,NULL,NULL,NULL,NULL,20,NULL,D14,BC (B73),Replanted 18Jun07,3
07PN0035,07N35,07PN,32-24-4-03,NULL,NULL,GH07,NULL,NULL,NULL,NULL,20,NULL,D14,BC (B73),Replanted 18Jun07,3
07PN0036,07N36,07PN,32-24-4-06,NULL,NULL,GH07,NULL,NULL,NULL,NULL,20,NULL,D14,BC (B73),Replanted 18Jun07,3
07PN0037,07N37,07PN,32-24-4-09,NULL,NULL,GH07,NULL,NULL,NULL,NULL,20,NULL,D14,BC (B73),Replanted 18Jun07,3
07PN0038,07N38,07PN,32-24-5-12,NULL,NULL,GH07,NULL,NULL,NULL,NULL,20,NULL,D14,BC (B73),Replanted 18Jun07,3
07PN0039,07N39,07PN,B73,NULL,06JD1280_001b,JK06_D1_280.1,NULL,NULL,NULL,NULL,20,NULL,D14,male (B73/32-24),NULL,3
07PN0040,07N40,07PN,B73/32-19,NULL,NULL,GH04 (Randy),NULL,NULL,NULL,NULL,20,NULL,D10,Self,NULL,3
07PN0041,07N41,07PN,B73/32-2,NULL,NULL,GH04 (Randy),NULL,NULL,NULL,NULL,20,NULL,D10,Self,NULL,3
07PN0042,07N42,07PN,B73/32-7,NULL,NULL,GH04 (Randy),NULL,NULL,NULL,NULL,20,NULL,D10,Self,NULL,3
07PN0043,07N43,07PN,B73/32-9,NULL,NULL,GH04 (Randy),NULL,NULL,NULL,NULL,20,NULL,D10,Self,NULL,3
