10MA0038,582,10MA,MS71,NULL,08SB0106_000b,NULL,37,large,3,2,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0039,583,10MA,CML247,NULL,NULL,NCRPIS PI595541 08ncai01,37,large,3,2,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0040,584,10MA,Mp313E,NULL,NULL,NCRPIS PI53859 04ncei01,37,large,3,2,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0041,585,10MA,Oh7B,NULL,08SB0113_000b,NULL,37,large,3,2,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0042,586,10MA,Tx303,NULL,08SN0111_000b,NULL,37,large,3,2,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0043,587,10MA,NC300,NULL,08FL0013_000b,NULL,37,large,3,2,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0044,588,10MA,CML69,NULL,NULL,NCRPIS Ames28184 09ncai01,37,large,3,2,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0045,589,10MA,Oh43,NULL,NULL,NCRPIS Ames19288 01ncab01,37,large,3,2,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0046,590,10MA,Mp715,NULL,NULL,NCRPIS PI614819 04ncei01,37,large,3,2,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0047,591,10MA,CML52,NULL,08FL0014_000b,NULL,37,large,3,2,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0048,592,10MA,NC350,NULL,NULL,NCRPIS Ames27171 09ncai01,37,large,3,2,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0049,593,10MA,Sc212m,NULL,08FL0012_000b,NULL,38,large,3,2,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0050,594,10MA,NIL_99,NULL,09SX0017_001s,NULL,38,large,3,2,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0051,595,10MA,Mp717,NULL,NULL,WPW,38,large,3,2,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0052,596,10MA,B73,NULL,08SB0107_000b,NULL,38,large,3,2,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0053,597,10MA,Mo17,NULL,08SB0104_000b,NULL,38,large,3,2,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0054,598,10MA,Ky21,NULL,08SB0115_000b,NULL,38,large,3,2,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0055,599,10MA,MS71,NULL,08SB0106_000b,NULL,38,large,3,3,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0056,600,10MA,CML247,NULL,NULL,NCRPIS PI595541 08ncai01,38,large,3,3,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0057,601,10MA,Mp339,NULL,08SB0119_000b,NULL,38,large,3,3,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0058,602,10MA,CML103,NULL,08SB0116_000b,NULL,38,large,3,3,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0059,603,10MA,Oh43,NULL,NULL,NCRPIS Ames19288 01ncab01,38,large,3,3,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0060,604,10MA,M37W,NULL,08SB0110_000b,NULL,38,large,3,3,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0061,605,10MA,Mo17,NULL,08SB0104_000b,NULL,38,large,3,3,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0062,606,10MA,NC300,NULL,08FL0013_000b,NULL,38,large,3,3,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0063,607,10MA,Ky21,NULL,08SB0115_000b,NULL,38,large,3,3,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0064,608,10MA,NC358,NULL,08SB0112_000b,NULL,38,large,3,3,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0065,609,10MA,NC350,NULL,NULL,NCRPIS Ames27171 09ncai01,39,large,3,3,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0066,610,10MA,CML322,NULL,08SB0117_000b,NULL,39,large,3,3,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0067,611,10MA,TBBC3_19,NULL,08SN0103_000B,NULL,39,large,3,3,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0068,612,10MA,P445-58-6-4-BBB,NULL,08SB0109_000b,NULL,39,large,3,3,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0069,613,10MA,B97,NULL,08SB0208_000b,NULL,39,large,3,3,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0070,614,10MA,B73,NULL,08SB0107_000b,NULL,39,large,3,3,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0071,615,10MA,Sc212m,NULL,08FL0012_000b,NULL,39,large,3,3,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0072,616,10MA,Oh7B,NULL,08SB0113_000b,NULL,39,large,3,3,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0073,617,10MA,Mp717,NULL,NULL,WPW,39,large,3,3,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0074,618,10MA,Mp715,NULL,NULL,NCRPIS PI614819 04ncei01,39,large,3,3,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0075,619,10MA,CML52,NULL,08FL0014_000b,NULL,39,large,3,3,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0076,620,10MA,NIL_99,NULL,09SX0017_001s,NULL,39,large,3,3,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0077,621,10MA,CML69,NULL,NULL,NCRPIS Ames28184 09ncai01,39,large,3,3,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0078,622,10MA,Tx303,NULL,08SN0111_000b,NULL,39,large,3,3,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0079,623,10MA,Mp313E,NULL,NULL,NCRPIS PI53859 04ncei01,39,large,3,3,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0080,624,10MA,IBM262,NULL,08SB0102_000b,NULL,39,large,3,3,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
10MA0081,625,10MA,Ki3,NULL,NULL,NCRPIS Ames27123 07ncei01,40,large,3,3,20,NULL,NULL,NULL,"Exp1, Locally Exp38",8
