09PT0004_001s,09PT0004_001,09PT0004,09PT,Z029E0029,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
09PT0005_001s,09PT0005_001,09PT0005,09PT,Z029E0037,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
09PT0006_001s,09PT0006_001,09PT0006,09PT,Z029E0044,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
09PT0008_001s,09PT0008_001,09PT0008,09PT,Z029E0044,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
09PT0010_001s,09PT0010_001,09PT0010,09PT,Z029E0004,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
09PT0010_002s,09PT0010_002,09PT0010,09PT,Z029E0004,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
09PT0010_003s,09PT0010_003,09PT0010,09PT,Z029E0004,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
09PT0011_001s,09PT0011_001,09PT0011,09PT,Z029E0037,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
09PT0012_001s,09PT0012_001,09PT0012,09PT,Z029E0029,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
09PT0013_001s,09PT0013_001,09PT0013,09PT,Z030E0051,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
09PT0013_002s,09PT0013_002,09PT0013,09PT,Z030E0051,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
09PT0014_001s,09PT0014_001,09PT0014,09PT,Z030E0035,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
09PT0014_002s,09PT0014_002,09PT0014,09PT,Z030E0035,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
