04NC3611_006x,04NC3611_006,04NC3611,04NC,NULL,3611,NULL,cross,NULL,B73,NULL,B73/[69-16],NULL,15,NULL,P34_Et1 #69,NULL,NULL
04NC3611_007x,04NC3611_007,04NC3611,04NC,NULL,3611,NULL,cross,NULL,B73,NULL,B73/[69-18],NULL,15,NULL,P34_Et1 #69,NULL,NULL
04NC3612_001x,04NC3612_001,04NC3612,04NC,NULL,3612,NULL,cross,NULL,B73,NULL,B73/[69-21],NULL,15,NULL,P34_Et1 #69,NULL,NULL
04NC3612_002x,04NC3612_002,04NC3612,04NC,NULL,3612,NULL,cross,NULL,B73,NULL,B73/[69-23],NULL,15,NULL,P34_Et1 #69,NULL,NULL
04NC3612_003x,04NC3612_003,04NC3612,04NC,NULL,3612,NULL,cross,NULL,B73,NULL,B73/[69-25],NULL,15,NULL,P34_Et1 #69,NULL,NULL
04NC3612_004x,04NC3612_004,04NC3612,04NC,NULL,3612,NULL,cross,NULL,B73,NULL,B73/[69-26],NULL,15,NULL,P34_Et1 #69,NULL,NULL
04NC3612_005x,04NC3612_005,04NC3612,04NC,NULL,3612,NULL,cross,NULL,B73,NULL,B73/[69-27],NULL,15,NULL,P34_Et1 #69,NULL,NULL
04NC3612_006x,04NC3612_006,04NC3612,04NC,NULL,3612,NULL,cross,NULL,B73,NULL,B73/[69-28],NULL,15,NULL,P34_Et1 #69,NULL,NULL
04NC3612_007x,04NC3612_007,04NC3612,04NC,NULL,3612,NULL,cross,NULL,B73,NULL,B73/[69-29],NULL,15,NULL,P34_Et1 #69,NULL,NULL
04NC3612_008x,04NC3612_008,04NC3612,04NC,NULL,3612,NULL,cross,NULL,B73,NULL,B73/[69-30],NULL,15,NULL,P34_Et1 #69,NULL,NULL
04NC3613_001x,04NC3613_001,04NC3613,04NC,NULL,3613,NULL,cross,NULL,B73,NULL,B73/[69-31],NULL,15,NULL,P34_Et1 #69,NULL,NULL
04NC3613_002x,04NC3613_002,04NC3613,04NC,NULL,3613,NULL,cross,NULL,B73,NULL,B73/[69-32],NULL,15,NULL,P34_Et1 #69,NULL,NULL
04NC3613_003x,04NC3613_003,04NC3613,04NC,NULL,3613,NULL,cross,NULL,B73,NULL,B73/[69-33],NULL,15,NULL,P34_Et1 #69,NULL,NULL
04NC3613_004x,04NC3613_004,04NC3613,04NC,NULL,3613,NULL,cross,NULL,B73,NULL,B73/[69-36],NULL,15,NULL,P34_Et1 #69,NULL,NULL
04NC3613_005x,04NC3613_005,04NC3613,04NC,NULL,3613,NULL,cross,NULL,B73,NULL,B73/[69-38],NULL,15,NULL,P34_Et1 #69,NULL,NULL
04NC3613_006x,04NC3613_006,04NC3613,04NC,NULL,3613,NULL,cross,NULL,B73,NULL,B73/[69-39],NULL,15,NULL,P34_Et1 #69,NULL,NULL
04NC3613_007x,04NC3613_007,04NC3613,04NC,NULL,3613,NULL,cross,NULL,B73,NULL,B73/[69-40],NULL,15,NULL,P34_Et1 #69,NULL,NULL
04NC3615_001x,04NC3615_001,04NC3615,04NC,NULL,3615,NULL,cross,NULL,B73,NULL,B73/[60-1],NULL,15,NULL,P33_Et3 #60,NULL,NULL
04NC3615_002x,04NC3615_002,04NC3615,04NC,NULL,3615,NULL,cross,NULL,B73,NULL,B73/[60-3],NULL,15,NULL,P33_Et3 #60,NULL,NULL
04NC3615_003x,04NC3615_003,04NC3615,04NC,NULL,3615,NULL,cross,NULL,B73,NULL,B73/[60-4],NULL,15,NULL,P33_Et3 #60,NULL,NULL
04NC3615_004x,04NC3615_004,04NC3615,04NC,NULL,3615,NULL,cross,NULL,B73,NULL,B73/[60-5],NULL,15,NULL,P33_Et3 #60,NULL,NULL
