08PS1040,NULL,08PS,B73/32-24-10-056,NULL,07FL0213_004s,07FL0213.4,2,146,2,1,12,NULL,NULL,Trial,NULL,0
08PS1041,NULL,08PS,B73/32-24-10-054,NULL,07FL0213_002s,07FL0213.2,2,145,2,1,12,NULL,NULL,Trial,NULL,0
08PS1042,NULL,08PS,B73/32-24-10-237,NULL,07FL0235_005s,07FL0235.5,2,145,2,1,12,NULL,NULL,Trial,NULL,0
08PS1043,NULL,08PS,B73/32-24-10-196,NULL,07FL0231_003s,07FL0231.3,2,144,2,1,12,NULL,NULL,Trial,NULL,0
08PS1044,NULL,08PS,B73/32-24-10-177,NULL,07FL0233_001s,07FL0233.1,2,144,2,1,12,NULL,NULL,Trial,NULL,0
08PS1045,NULL,08PS,B73/32-24-10-126,NULL,07FL0243_001s,07FL0243.1,2,143,2,1,12,NULL,NULL,Trial,NULL,0
08PS1046,NULL,08PS,B73/32-24-10-036,NULL,07FL0220_001s,07FL0220.1,2,143,2,1,12,NULL,NULL,Trial,NULL,0
08PS1047,NULL,08PS,B73/32-24-10-019,NULL,07FL0221_002s,07FL0221.2,2,142,2,1,12,NULL,NULL,Trial,NULL,0
08PS1048,NULL,08PS,B73/32-24-10-193,NULL,07FL0232_006s,07FL0232.6,2,142,2,1,12,NULL,NULL,Trial,NULL,0
08PS1049,NULL,08PS,B73/32-24-10-207,NULL,07FL0229_005s,07FL0229.5,2,141,3,1,12,NULL,NULL,Trial,NULL,0
08PS1050,NULL,08PS,B73/32-24-10-078,NULL,07FL0210_001s,07FL0210.1,2,141,3,1,12,NULL,NULL,Trial,NULL,0
08PS1051,NULL,08PS,B73/32-24-10-123,NULL,07FL0204_003s,07FL0204.3,2,140,3,1,12,NULL,NULL,Trial,NULL,0
08PS1052,NULL,08PS,B73/32-24-10-206,NULL,07FL0229_004s,07FL0229.4,2,140,3,1,12,NULL,NULL,Trial,NULL,0
08PS1053,NULL,08PS,B73/32-24-10-059,NULL,07FL0213_007s,07FL0213.7,2,139,3,1,12,NULL,NULL,Trial,NULL,0
08PS1054,NULL,08PS,B73/32-24-10-060,NULL,07FL0213_008s,07FL0213.8,2,139,3,1,12,NULL,NULL,Trial,NULL,0
