09BB4319,NULL,09BB,B73,B73,08PN0303_000b,NULL,NULL,NULL,1,1,16,5,NULL,check2,changed from P05L0349 (08FL0670_001s),3
09BB4320,NULL,09BB,B73/[32-24]-5_262_02_01,P05L0262,08FL0681_001s,NULL,NULL,NULL,1,1,16,5,NULL,trial,NULL,3
09BB4321,NULL,09BB,B73,B73,08PN0303_000b,NULL,NULL,NULL,1,1,16,5,NULL,check2,changed from P05L0297 (08FL0605_001s),3
09BB4322,NULL,09BB,B73/[32-24]-5_042_02_01,P05L0042,08FL0741_001s,NULL,NULL,NULL,1,1,16,5,NULL,trial,NULL,3
09BB4323,NULL,09BB,B73/[32-24]-5_035_02_01,P05L0035,08FL0710_001s,NULL,NULL,NULL,1,1,16,5,NULL,trial,NULL,3
09BB4324,NULL,09BB,B73/[32-24]-5_153_02_01,P05L0153,08FL0638_001s,NULL,NULL,NULL,1,1,16,5,NULL,trial,NULL,3
09BB4325,NULL,09BB,B73,B73,08PN0303_000b,NULL,NULL,NULL,1,1,16,5,NULL,check2,changed from P05L0077 (08FL0598_001s),3
09BB4326,NULL,09BB,B73/[32-24]-5_278_02_01,P05L0278,08FL0641_001s,NULL,NULL,NULL,1,1,16,5,NULL,trial,NULL,3
09BB4327,NULL,09BB,B73/[32-24]-5_315_02_01,P05L0315,08FL0657_001s,NULL,NULL,NULL,1,1,16,5,NULL,trial,NULL,3
09BB4328,NULL,09BB,B73,B73,08PN0303_000b,NULL,NULL,NULL,1,1,16,5,NULL,check,NULL,3
09BB4329,NULL,09BB,B73/[32-24]-5_232_02_01,P05L0232,08FL0611_001s,NULL,NULL,NULL,1,1,16,5,NULL,trial,NULL,3
09BB4330,NULL,09BB,B73/[32-24]-5_128_02_01,P05L0128,08FL0716_001s,NULL,NULL,NULL,1,1,16,5,NULL,trial,NULL,3
09BB4331,NULL,09BB,B73/[32-24]-5_092_02_01,P05L0092,08FL0679_001s,NULL,NULL,NULL,1,1,16,5,NULL,trial,NULL,3
09BB4332,NULL,09BB,B73/[32-24]-5_049_02_01,P05L0049,08FL0620_001s,NULL,NULL,NULL,1,1,16,5,NULL,trial,NULL,3
09BB4333,NULL,09BB,B73/[32-24]-5_254_02_01,P05L0254,08FL0680_001s,NULL,NULL,NULL,1,1,16,5,NULL,trial,NULL,3
09BB4334,NULL,09BB,B73/[32-24]-5_225_02_01,P05L0225,08FL0694_001s,NULL,NULL,NULL,1,1,16,5,NULL,trial,NULL,3
09BB4335,NULL,09BB,B73/[32-24]-5_231_02_01,P05L0231,08FL0590_001s,NULL,NULL,NULL,2,1,16,5,NULL,trial,NULL,3
09BB4336,NULL,09BB,B73/[32-24]-5_019_02_01,P05L0019,08FL0711_001s,NULL,NULL,NULL,2,1,16,5,NULL,trial,NULL,3
09BB4337,NULL,09BB,B73/[32-24]-5_121_02_01,P05L0121,08FL0748_001s,NULL,NULL,NULL,2,1,16,5,NULL,trial,NULL,3
09BB4338,NULL,09BB,B73,B73,08PN0303_000b,NULL,NULL,NULL,2,1,16,5,NULL,check,NULL,3
09BB4339,NULL,09BB,B73,B73,08PN0303_000b,NULL,NULL,NULL,2,1,16,5,NULL,check2,changed from P05L0071 (08FL0704_001s),3
09BB4340,NULL,09BB,B73/[32-24]-5_288_02_01,P05L0288,08FL0699_001s,NULL,NULL,NULL,2,1,16,5,NULL,trial,NULL,3
09BB4341,NULL,09BB,B73/[32-24]-5_137_02_01,P05L0137,08FL0672_001s,NULL,NULL,NULL,2,1,16,5,NULL,trial,NULL,3
09BB4342,NULL,09BB,B73/[32-24]-5_201_02_01,P05L0201,08FL0649_001s,NULL,NULL,NULL,2,1,16,5,NULL,trial,NULL,3
09BB4343,NULL,09BB,B73/[32-24]-5_020_02_01,P05L0020,08FL0756_001s,NULL,NULL,NULL,2,1,16,5,NULL,trial,NULL,3
09BB4344,NULL,09BB,B73/[32-24]-5_142_02_01,P05L0142,08FL0653_001s,NULL,NULL,NULL,2,1,16,5,NULL,trial,NULL,3
09BB4345,NULL,09BB,B73/[32-24]-5_325_02_01,P05L0325,08FL0654_001s,NULL,NULL,NULL,2,1,16,5,NULL,trial,NULL,3
09BB4346,NULL,09BB,B73/[32-24]-5_230_02_01,P05L0230,08FL0758_001s,NULL,NULL,NULL,2,1,16,5,NULL,trial,NULL,3
09BB4347,NULL,09BB,B73,B73,08PN0303_000b,NULL,NULL,NULL,2,1,16,5,NULL,check2,changed from P05L0275 (08FL0589_001s),3
09BB4348,NULL,09BB,B73,B73,08PN0303_000b,NULL,NULL,NULL,2,1,16,5,NULL,check2,changed from P05L0332 (08FL0739_001s),3
09BB4349,NULL,09BB,B73/[32-24]-5_264_02_01,P05L0264,08FL0591_001s,NULL,NULL,NULL,2,1,16,5,NULL,trial,NULL,3
09BB4350,NULL,09BB,B73/[32-24]-5_033_02_01,P05L0033,08FL0647_001s,NULL,NULL,NULL,2,1,16,5,NULL,trial,NULL,3
09BB4351,NULL,09BB,B73/[32-24]-5_228_02_01,P05L0228,08FL0703_001s,NULL,NULL,NULL,3,1,16,5,NULL,trial,NULL,3
09BB4352,NULL,09BB,B73/[32-24]-5_340_02_01,P05L0340,08FL0693_001s,NULL,NULL,NULL,3,1,16,5,NULL,trial,NULL,3
09BB4353,NULL,09BB,B73/[32-24]-5_274_02_01,P05L0274,08FL0719_001s,NULL,NULL,NULL,3,1,16,5,NULL,trial,NULL,3
09BB4354,NULL,09BB,B73/[32-24]-5_267_02_01,P05L0267,08FL0731_001s,NULL,NULL,NULL,3,1,16,5,NULL,trial,NULL,3
