07JD1037,JK07-D1-037,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1038,JK07-D1-038,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1039,JK07-D1-039,07JD,B109,NULL,NULL,04ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1040,JK07-D1-040,07JD,Va17,NULL,NULL,03ncai02,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1041,JK07-D1-041,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1042,JK07-D1-042,07JD,M162W,NULL,NULL,06ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1043,JK07-D1-043,07JD,NC296,NULL,NULL,04ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1044,JK07-D1-044,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1045,JK07-D1-045,07JD,Va85,NULL,NULL,04ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1046,JK07-D1-046,07JD,CML 157Q,NULL,NULL,04ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1047,JK07-D1-047,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1048,JK07-D1-048,07JD,T8,NULL,NULL,06ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1049,JK07-D1-049,07JD,CI90C,NULL,NULL,04ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1050,JK07-D1-050,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1051,JK07-D1-051,07JD,H84,NULL,NULL,95ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1052,JK07-D1-052,07JD,CML 158Q,NULL,NULL,05ncei01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1053,JK07-D1-053,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1054,JK07-D1-054,07JD,NC230,NULL,NULL,04ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1055,JK07-D1-055,07JD,CML 154Q,NULL,NULL,04ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1056,JK07-D1-056,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1057,JK07-D1-057,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1058,JK07-D1-058,07JD,D940Y,NULL,NULL,DC04-012,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1059,JK07-D1-059,07JD,Ki43,NULL,NULL,05ncei01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1060,JK07-D1-060,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1061,JK07-D1-061,07JD,CML 91,NULL,NULL,04ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1062,JK07-D1-062,07JD,A679,NULL,NULL,94ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1063,JK07-D1-063,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1064,JK07-D1-064,07JD,NC346,NULL,NULL,06ncei01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1065,JK07-D1-065,07JD,CML 69,NULL,NULL,06ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1066,JK07-D1-066,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1067,JK07-D1-067,07JD,NC366,NULL,NULL,04ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1068,JK07-D1-068,07JD,Ki21,NULL,NULL,04ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1069,JK07-D1-069,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1070,JK07-D1-070,07JD,W182B,NULL,NULL,00ncab01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1071,JK07-D1-071,07JD,NC316,NULL,NULL,04ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1072,JK07-D1-072,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1073,JK07-D1-073,07JD,H91,NULL,NULL,03ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1074,JK07-D1-074,07JD,DE3,NULL,NULL,DC04-59,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1075,JK07-D1-075,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1076,JK07-D1-076,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1077,JK07-D1-077,07JD,Mp339,NULL,NULL,06ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1078,JK07-D1-078,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1079,JK07-D1-079,07JD,B52,NULL,NULL,02ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1080,JK07-D1-080,07JD,N192,NULL,NULL,94ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1081,JK07-D1-081,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1082,JK07-D1-082,07JD,B2,NULL,NULL,06ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1083,JK07-D1-083,07JD,B57,NULL,NULL,04ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1084,JK07-D1-084,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1085,JK07-D1-085,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1086,JK07-D1-086,07JD,C123,NULL,NULL,04ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1087,JK07-D1-087,07JD,CML 258,NULL,NULL,06ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1088,JK07-D1-088,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1089,JK07-D1-089,07JD,Ky228,NULL,NULL,94ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1090,JK07-D1-090,07JD,R109B,NULL,NULL,JK06-D1-346,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1091,JK07-D1-091,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1092,JK07-D1-092,07JD,A556,NULL,NULL,06ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1093,JK07-D1-093,07JD,Tzi 16,NULL,NULL,05ncei01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1094,JK07-D1-094,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1095,JK07-D1-095,07JD,H105W,NULL,NULL,95ncab01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1096,JK07-D1-096,07JD,CH701-30,NULL,NULL,03ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1097,JK07-D1-097,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1098,JK07-D1-098,07JD,R168,NULL,NULL,04ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1099,JK07-D1-099,07JD,B75,NULL,NULL,92ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1100,JK07-D1-100,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1101,JK07-D1-101,07JD,CI64,NULL,NULL,01ncab01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1102,JK07-D1-102,07JD,NC358,NULL,NULL,04ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1103,JK07-D1-103,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1104,JK07-D1-104,07JD,NC326,NULL,NULL,04ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1105,JK07-D1-105,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1106,JK07-D1-106,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1107,JK07-D1-107,07JD,Mo17,NULL,NULL,04ncai02,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1108,JK07-D1-108,07JD,A619,NULL,NULL,94ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1109,JK07-D1-109,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1110,JK07-D1-110,07JD,NC312,NULL,NULL,04ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1111,JK07-D1-111,07JD,CML 218,NULL,NULL,04ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1112,JK07-D1-112,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1113,JK07-D1-113,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1114,JK07-D1-114,07JD,C49A,NULL,NULL,04ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1115,JK07-D1-115,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1116,JK07-D1-116,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1117,JK07-D1-117,07JD,NC314,NULL,NULL,04ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1118,JK07-D1-118,07JD,Pa875,NULL,NULL,03ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1119,JK07-D1-119,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1120,JK07-D1-120,07JD,NC338,NULL,NULL,04ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1121,JK07-D1-121,07JD,NC332,NULL,NULL,04ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1122,JK07-D1-122,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1123,JK07-D1-123,07JD,Mo44,NULL,NULL,06ncao01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1124,JK07-D1-124,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1125,JK07-D1-125,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1126,JK07-D1-126,07JD,A214N,NULL,NULL,04ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1127,JK07-D1-127,07JD,CML 314,NULL,NULL,05ncei01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1128,JK07-D1-128,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1129,JK07-D1-129,07JD,CML 322,NULL,NULL,04ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1130,JK07-D1-130,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1131,JK07-D1-131,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1132,JK07-D1-132,07JD,B84,NULL,NULL,92ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1133,JK07-D1-133,07JD,R229,NULL,NULL,96ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1134,JK07-D1-134,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1135,JK07-D1-135,07JD,MS1334,NULL,NULL,04ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1136,JK07-D1-136,07JD,R177,NULL,NULL,04ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1137,JK07-D1-137,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1138,JK07-D1-138,07JD,NC356,NULL,NULL,04ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1139,JK07-D1-139,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1140,JK07-D1-140,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1141,JK07-D1-141,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1142,JK07-D1-142,07JD,A659,NULL,NULL,04ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1143,JK07-D1-143,07JD,K4,NULL,NULL,04ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1144,JK07-D1-144,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1145,JK07-D1-145,07JD,Va99,NULL,NULL,04ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1146,JK07-D1-146,07JD,CO106,NULL,NULL,03ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1147,JK07-D1-147,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1148,JK07-D1-148,07JD,Ki3,NULL,NULL,04ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1149,JK07-D1-149,07JD,CML 11,NULL,NULL,05ncei01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1150,JK07-D1-150,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1151,JK07-D1-151,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1152,JK07-D1-152,07JD,Oh603,NULL,NULL,02ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1153,JK07-D1-153,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1154,JK07-D1-154,07JD,Ky226,NULL,NULL,04ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1155,JK07-D1-155,07JD,B97,NULL,NULL,95ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1156,JK07-D1-156,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1157,JK07-D1-157,07JD,NC302,NULL,NULL,04ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1158,JK07-D1-158,07JD,CML 332,NULL,NULL,05ncei01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1159,JK07-D1-159,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1160,JK07-D1-160,07JD,Tzi 8,NULL,NULL,91ncab01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1161,JK07-D1-161,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1162,JK07-D1-162,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1163,JK07-D1-163,07JD,SD44,NULL,NULL,03ncai02,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1164,JK07-D1-164,07JD,4226,NULL,NULL,04ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1165,JK07-D1-165,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1166,JK07-D1-166,07JD,Tx303,NULL,NULL,97ncab01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1167,JK07-D1-167,07JD,Ki11,NULL,NULL,05ncei01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1168,JK07-D1-168,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1169,JK07-D1-169,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1170,JK07-D1-170,07JD,IA5125,NULL,NULL,94ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1171,JK07-D1-171,07JD,W64A,NULL,NULL,94ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1172,JK07-D1-172,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1173,JK07-D1-173,07JD,Mo46,NULL,NULL,04ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1174,JK07-D1-174,07JD,E2558W,NULL,NULL,04ncai01,NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
07JD1175,JK07-D1-175,07JD,B73,NULL,NULL,A'06 JK-DI bulk (mes'05),NULL,NULL,NULL,1,10,NULL,NULL,self ~3,NULL,0
