12SH0017_001s,12SH0017_001,12SH0017,12SH,NULL,NULL,NULL,self,NULL,NULL,NULL,Pa91^Ht3,NULL,8,NULL,Pa91,Pa91^Ht3,NULL
12SH0017_002s,12SH0017_002,12SH0017,12SH,NULL,NULL,NULL,self,NULL,NULL,NULL,Pa91^Ht3,NULL,8,NULL,Pa91,Pa91^Ht3,NULL
12SH0017_003s,12SH0017_003,12SH0017,12SH,NULL,NULL,NULL,self,NULL,NULL,NULL,Pa91^Ht3,NULL,8,NULL,Pa91,Pa91^Ht3,NULL
12SH0017_004s,12SH0017_004,12SH0017,12SH,NULL,NULL,NULL,self,NULL,NULL,NULL,Pa91^Ht3,NULL,8,NULL,Pa91,Pa91^Ht3,NULL
12SH0017_005s,12SH0017_005,12SH0017,12SH,NULL,NULL,NULL,self,NULL,NULL,NULL,Pa91^Ht3,NULL,8,NULL,Pa91,Pa91^Ht3,NULL
12SH0018_001s,12SH0018_001,12SH0018,12SH,NULL,NULL,NULL,self,NULL,NULL,NULL,Pa91,NULL,8,NULL,Pa91,Pa91,NULL
12SH0018_002s,12SH0018_002,12SH0018,12SH,NULL,NULL,NULL,self,NULL,NULL,NULL,Pa91,NULL,8,NULL,Pa91,Pa91,NULL
12SH0018_003s,12SH0018_003,12SH0018,12SH,NULL,NULL,NULL,self,NULL,NULL,NULL,Pa91,NULL,8,NULL,Pa91,Pa91,NULL
12SH0019_001s,12SH0019_001,12SH0019,12SH,NULL,NULL,NULL,self,NULL,NULL,NULL,Pa91^Ht1,NULL,8,NULL,Pa91,Pa91^Ht1,NULL
12SH0019_002s,12SH0019_002,12SH0019,12SH,NULL,NULL,NULL,self,NULL,NULL,NULL,Pa91^Ht1,NULL,8,NULL,Pa91,Pa91^Ht1,NULL
12SH0019_003s,12SH0019_003,12SH0019,12SH,NULL,NULL,NULL,self,NULL,NULL,NULL,Pa91^Ht1,NULL,8,NULL,Pa91,Pa91^Ht1,NULL
12SH0019_004s,12SH0019_004,12SH0019,12SH,NULL,NULL,NULL,self,NULL,NULL,NULL,Pa91^Ht1,NULL,8,NULL,Pa91,Pa91^Ht1,NULL
12SH0019_005s,12SH0019_005,12SH0019,12SH,NULL,NULL,NULL,self,NULL,NULL,NULL,Pa91^Ht1,NULL,8,NULL,Pa91,Pa91^Ht1,NULL
12SH0020_001s,12SH0020_001,12SH0020,12SH,NULL,NULL,NULL,self,NULL,NULL,NULL,Pa91^Ht2,NULL,8,NULL,Pa91,Pa91^Ht2,NULL
12SH0020_002s,12SH0020_002,12SH0020,12SH,NULL,NULL,NULL,self,NULL,NULL,NULL,Pa91^Ht2,NULL,8,NULL,Pa91,Pa91^Ht2,NULL
12SH0020_003s,12SH0020_003,12SH0020,12SH,NULL,NULL,NULL,self,NULL,NULL,NULL,Pa91^Ht2,NULL,8,NULL,Pa91,Pa91^Ht2,NULL
12SH0020_004s,12SH0020_004,12SH0020,12SH,NULL,NULL,NULL,self,NULL,NULL,NULL,Pa91^Ht2,NULL,8,NULL,Pa91,Pa91^Ht2,NULL
12SH0020_005s,12SH0020_005,12SH0020,12SH,NULL,NULL,NULL,self,NULL,NULL,NULL,Pa91^Ht2,NULL,8,NULL,Pa91,Pa91^Ht2,NULL
12SH0020_006s,12SH0020_006,12SH0020,12SH,NULL,NULL,NULL,self,NULL,NULL,NULL,Pa91^Ht2,NULL,8,NULL,Pa91,Pa91^Ht2,NULL
12SH0021_001s,12SH0021_001,12SH0021,12SH,NULL,NULL,NULL,self,NULL,NULL,NULL,A619,NULL,8,NULL,A619,A619,NULL
12SH0021_002s,12SH0021_002,12SH0021,12SH,NULL,NULL,NULL,self,NULL,NULL,NULL,A619,NULL,8,NULL,A619,A619,NULL
12SH0022_001s,12SH0022_001,12SH0022,12SH,NULL,NULL,NULL,self,NULL,NULL,NULL,A619^Ht2,NULL,8,NULL,A619,A619^Ht2,NULL
12SH0022_002s,12SH0022_002,12SH0022,12SH,NULL,NULL,NULL,self,NULL,NULL,NULL,A619^Ht2,NULL,8,NULL,A619,A619^Ht2,NULL
12SH0022_003s,12SH0022_003,12SH0022,12SH,NULL,NULL,NULL,self,NULL,NULL,NULL,A619^Ht2,NULL,8,NULL,A619,A619^Ht2,NULL
12SH0022_004s,12SH0022_004,12SH0022,12SH,NULL,NULL,NULL,self,NULL,NULL,NULL,A619^Ht2,NULL,8,NULL,A619,A619^Ht2,NULL
12SH0023_001s,12SH0023_001,12SH0023,12SH,NULL,NULL,NULL,self,NULL,NULL,NULL,Oh43,NULL,8,NULL,Oh43,Oh43,NULL
12SH0023_002s,12SH0023_002,12SH0023,12SH,NULL,NULL,NULL,self,NULL,NULL,NULL,Oh43,NULL,8,NULL,Oh43,Oh43,NULL
12SH0024_001s,12SH0024_001,12SH0024,12SH,NULL,NULL,NULL,self,NULL,NULL,NULL,Oh43^Ht2,NULL,8,NULL,Oh43,Oh43^Ht2,NULL
12SH0024_002s,12SH0024_002,12SH0024,12SH,NULL,NULL,NULL,self,NULL,NULL,NULL,Oh43^Ht2,NULL,8,NULL,Oh43,Oh43^Ht2,NULL
