09PN0111_001s,09PN0111_001,09PN0111,09PN,NULL,NULL,NULL,self,NULL,NULL,NULL,TBBC3_38_19E_0101B_001,NULL,3,NULL,Tx303 1.06 fine-mapping,NULL,NULL
09PN0111_004s,09PN0111_004,09PN0111,09PN,NULL,NULL,NULL,self,NULL,NULL,NULL,TBBC3_38_19E_0101B_004,NULL,3,NULL,Tx303 1.06 fine-mapping,NULL,NULL
09PN0111_006s,09PN0111_006,09PN0111,09PN,NULL,NULL,NULL,self,NULL,NULL,NULL,TBBC3_38_19E_0101B_006,NULL,3,NULL,Tx303 1.06 fine-mapping,NULL,NULL
09PN0111_017s,09PN0111_017,09PN0111,09PN,NULL,NULL,NULL,self,NULL,NULL,NULL,TBBC3_38_19E_0101B_017,NULL,3,NULL,Tx303 1.06 fine-mapping,NULL,NULL
09PN0112_003s,09PN0112_003,09PN0112,09PN,NULL,NULL,NULL,self,NULL,NULL,NULL,TBBC3_38_19E_0101B_020,NULL,3,NULL,Tx303 1.06 fine-mapping,NULL,NULL
09PN0112_005s,09PN0112_005,09PN0112,09PN,NULL,NULL,NULL,self,NULL,NULL,NULL,TBBC3_38_19E_0101B_022,NULL,3,NULL,Tx303 1.06 fine-mapping,NULL,NULL
09PN0113_002s,09PN0113_002,09PN0113,09PN,NULL,NULL,NULL,self,NULL,NULL,NULL,TBBC3_38_19E_0101B_037,NULL,3,NULL,Tx303 1.06 fine-mapping,NULL,NULL
09PN0113_009s,09PN0113_009,09PN0113,09PN,NULL,NULL,NULL,self,NULL,NULL,NULL,TBBC3_38_19E_0101B_044,NULL,3,NULL,Tx303 1.06 fine-mapping,NULL,NULL
09PN0113_013s,09PN0113_013,09PN0113,09PN,NULL,NULL,NULL,self,NULL,NULL,NULL,TBBC3_38_19E_0101B_048,NULL,3,NULL,Tx303 1.06 fine-mapping,NULL,NULL
09PN0113_014s,09PN0113_014,09PN0113,09PN,NULL,NULL,NULL,self,NULL,NULL,NULL,TBBC3_38_19E_0101B_049,NULL,3,NULL,Tx303 1.06 fine-mapping,NULL,NULL
09PN0113_015s,09PN0113_015,09PN0113,09PN,NULL,NULL,NULL,self,NULL,NULL,NULL,TBBC3_38_19E_0101B_050,NULL,3,NULL,Tx303 1.06 fine-mapping,NULL,NULL
09PN0114_015s,09PN0114_015,09PN0114,09PN,NULL,NULL,NULL,self,NULL,NULL,NULL,TBBC3_38_19E_0101B_068,NULL,3,NULL,Tx303 1.06 fine-mapping,NULL,NULL
09PN0115_001s,09PN0115_001,09PN0115,09PN,NULL,NULL,NULL,self,NULL,NULL,NULL,TBBC3_38_19E_0101B_072,NULL,3,NULL,Tx303 1.06 fine-mapping,NULL,NULL
09PN0115_003s,09PN0115_003,09PN0115,09PN,NULL,NULL,NULL,self,NULL,NULL,NULL,TBBC3_38_19E_0101B_074,NULL,3,NULL,Tx303 1.06 fine-mapping,NULL,NULL
09PN0115_011s,09PN0115_011,09PN0115,09PN,NULL,NULL,NULL,self,NULL,NULL,NULL,TBBC3_38_19E_0101B_082,NULL,3,NULL,Tx303 1.06 fine-mapping,NULL,NULL
09PN0115_016s,09PN0115_016,09PN0115,09PN,NULL,NULL,NULL,self,NULL,NULL,NULL,TBBC3_38_19E_0101B_087,NULL,3,NULL,Tx303 1.06 fine-mapping,NULL,NULL
09PN0115_018s,09PN0115_018,09PN0115,09PN,NULL,NULL,NULL,self,NULL,NULL,NULL,TBBC3_38_19E_0101B_089,NULL,3,NULL,Tx303 1.06 fine-mapping,NULL,NULL
09PN0116_002s,09PN0116_002,09PN0116,09PN,NULL,NULL,NULL,self,NULL,NULL,NULL,TBBC3_38_19E_0101B_091,NULL,3,NULL,Tx303 1.06 fine-mapping,NULL,NULL
