11TR2031,B73,11TR,NULL,NULL,10TI0013_001s,NULL,M6,NULL,3,1,10,NULL,NULL,Evaluate fixed recombinants for rust 1.02,NULL,34
11TR2032,NULL,11TR,(09TF2115_009s)S2,NULL,10CH0188_002s,NULL,M6,NULL,3,1,10,NULL,NULL,Evaluate fixed recombinants for rust 1.02,NULL,34
11TR2033,NULL,11TR,(09TF2074_003s)S2,NULL,10CH0119_007s,NULL,M6,NULL,3,1,10,NULL,NULL,Evaluate fixed recombinants for rust 1.02,NULL,34
11TR2034,NULL,11TR,(09TF2115_014s)S2,NULL,10CH0189_002s,NULL,M6,NULL,3,1,10,NULL,NULL,Evaluate fixed recombinants for rust 1.02,NULL,34
11TR2035,NULL,11TR,(09TF2065_001s)S2,NULL,10CH0099_005s,NULL,M6,NULL,3,1,10,NULL,NULL,Evaluate fixed recombinants for rust 1.02,NULL,34
11TR2036,1.02b73,11TR,(09TF2016_010s)S2,NULL,10CH0064_001s,NULL,M6,NULL,3,1,10,NULL,NULL,Evaluate fixed recombinants for rust 1.02,NULL,34
11TR2037,NULL,11TR,(09TF2187_011s)S2,NULL,10CH0253_002s,NULL,M6,NULL,3,1,10,NULL,NULL,Evaluate fixed recombinants for rust 1.02,NULL,34
11TR2038,NULL,11TR,(09TF2152_003s)S2,NULL,10CH0222_002s,NULL,M6,NULL,3,1,10,NULL,NULL,Evaluate fixed recombinants for rust 1.02,NULL,34
11TR2039,NULL,11TR,(09TF2189_010s)S2,NULL,10CH0256_008s,NULL,M6,NULL,3,1,10,NULL,NULL,Evaluate fixed recombinants for rust 1.02,NULL,34
11TR2040,1.02tx303,11TR,(09TF2002_006s)S2,NULL,10CH0061_004s,NULL,M6,NULL,3,1,10,NULL,NULL,Evaluate fixed recombinants for rust 1.02,NULL,34
11TR2041,NULL,11TR,(09TF2231_001s)S2,NULL,10CH0301_004s,NULL,M6,NULL,3,1,10,NULL,NULL,Evaluate fixed recombinants for rust 1.02,NULL,34
11TR2042,NULL,11TR,(09TF2212_001s)S2,NULL,10CH0280_004s,NULL,M6,NULL,3,1,10,NULL,NULL,Evaluate fixed recombinants for rust 1.02,NULL,34
11TR2043,NULL,11TR,(09TF2012_010s)S2,NULL,10CH0063_001s,NULL,M6,NULL,3,1,10,NULL,NULL,Evaluate fixed recombinants for rust 1.02,NULL,34
11TR2044,NULL,11TR,(09TF2090_008s)S2,NULL,10CH0147_001s,NULL,M6,NULL,3,1,10,NULL,NULL,Evaluate fixed recombinants for rust 1.02,NULL,34
11TR2045,NULL,11TR,(09TF2095_006s)S2,NULL,10CH0154_002s,NULL,M6,NULL,3,1,10,NULL,NULL,Evaluate fixed recombinants for rust 1.02,NULL,34
11TR2046,NULL,11TR,(09TF2214_001s)S2,NULL,10CH0283_002s,NULL,M6,NULL,4,1,10,NULL,NULL,Evaluate fixed recombinants for rust 1.02,NULL,34
11TR2047,NULL,11TR,(09TF2148_006s)S2,NULL,10CH0220_001s,NULL,M6,NULL,4,1,10,NULL,NULL,Evaluate fixed recombinants for rust 1.02,NULL,34
11TR2048,NULL,11TR,(09TF2195_002s)S2,NULL,10CH0263_002s,NULL,M6,NULL,4,1,10,NULL,NULL,Evaluate fixed recombinants for rust 1.02,NULL,34
11TR2049,NULL,11TR,(09TF2112_011s)S2,NULL,10CH0187_006s,NULL,M6,NULL,4,1,10,NULL,NULL,Evaluate fixed recombinants for rust 1.02,NULL,34
11TR2050,1.02tx303,11TR,(09TF2002_006s)S2,NULL,10CH0061_004s,NULL,M6,NULL,4,1,10,NULL,NULL,Evaluate fixed recombinants for rust 1.02,NULL,34
11TR2051,NULL,11TR,(09TF2191_003s)S2,NULL,10CH0258_005s,NULL,M6,NULL,4,1,10,NULL,NULL,Evaluate fixed recombinants for rust 1.02,NULL,34
11TR2052,NULL,11TR,(09TF2127_005s)S2,NULL,10CH0197_006s,NULL,M6,NULL,4,1,10,NULL,NULL,Evaluate fixed recombinants for rust 1.02,NULL,34
11TR2053,NULL,11TR,(09TF2098_016s)S2,NULL,10CH0161_001s,NULL,M6,NULL,4,1,10,NULL,NULL,Evaluate fixed recombinants for rust 1.02,NULL,34
11TR2054,NULL,11TR,(09TF2177_012s)S2,NULL,10CH0239_003s,NULL,M6,NULL,4,1,10,NULL,NULL,Evaluate fixed recombinants for rust 1.02,NULL,34
11TR2055,B73,11TR,NULL,NULL,10TI0013_001s,NULL,M6,NULL,4,1,10,NULL,NULL,Evaluate fixed recombinants for rust 1.02,NULL,34
11TR2056,1.02b73,11TR,(09TF2016_010s)S2,NULL,10CH0064_001s,NULL,M6,NULL,4,1,10,NULL,NULL,Evaluate fixed recombinants for rust 1.02,NULL,34
11TR2057,NULL,11TR,(09TF2034_006s)S2,NULL,10CH0071_007s,NULL,M6,NULL,4,1,10,NULL,NULL,Evaluate fixed recombinants for rust 1.02,NULL,34
