08SN0101_000b,NULL,08SN0101,08SN,TBBC3-03,NULL,TBBC3-03,sib/self,NULL,NULL,NULL,TBBC3-03,NULL,8,NULL,CC07_T_041,NULL,NULL
08SN0102_000b,NULL,08SN0102,08SN,TBBC3-13,NULL,TBBC3-13,sib/self,NULL,NULL,NULL,TBBC3-13,NULL,8,NULL,CC06_T_151_2,NULL,NULL
08SN0103_000b,NULL,08SN0103,08SN,TBBC3-19,NULL,TBBC3-19,sib/self,NULL,NULL,NULL,TBBC3-19,NULL,8,NULL,CC07_T_008,NULL,NULL
08SN0104_000b,NULL,08SN0104,08SN,TBBC3-24,NULL,TBBC3-24,sib/self,NULL,NULL,NULL,TBBC3-24,NULL,8,NULL,CC06_T_239_2,NULL,NULL
08SN0105_000b,NULL,08SN0105,08SN,TBBC3-06,NULL,TBBC3-06,sib/self,NULL,NULL,NULL,TBBC3-06,NULL,8,NULL,CC06_T_167_2,NULL,NULL
08SN0106_000b,NULL,08SN0106,08SN,TBBC3-14,NULL,TBBC3-14,sib/self,NULL,NULL,NULL,TBBC3-14,NULL,8,NULL,CC07_T_014,NULL,NULL
08SN0107_000b,NULL,08SN0107,08SN,TBBC3-52,NULL,TBBC3-52,sib/self,NULL,NULL,NULL,TBBC3-52,NULL,8,NULL,CC06_T_041_3,NULL,NULL
08SN0111_000b,NULL,08SN0111,08SN,Tx303,NULL,Tx303,sib/self,NULL,NULL,NULL,Tx303,NULL,8,NULL,07A5571,NULL,NULL
08SN0112_000b,NULL,08SN0112,08SN,B73,NULL,B73,sib/self,NULL,NULL,NULL,B73,NULL,8,NULL,07FL441,NULL,NULL
08SN0113_000b,NULL,08SN0113,08SN,1889_1_6F_04C_003.01,NULL,1889_1_6F_04C_003.01,sib/self,NULL,NULL,NULL,1889_1_6F_04C_003.01,NULL,8,NULL,CC07_C_003.01,NULL,NULL
08SN0115_000b,NULL,08SN0115,08SN,1889_1_6F_04G_006.01,NULL,1889_1_6F_04G_006.01,sib/self,NULL,NULL,NULL,1889_1_6F_04G_006.01,NULL,8,NULL,CC07_C_006.01,NULL,NULL
08SN0117_000b,NULL,08SN0117,08SN,1889_1_6F_05F_007.01,NULL,1889_1_6F_05F_007.01,sib/self,NULL,NULL,NULL,1889_1_6F_05F_007.01,NULL,8,NULL,CC07_C_007.01,NULL,NULL
08SN0118_000b,NULL,08SN0118,08SN,1889_1_6F_05F_007.04,NULL,1889_1_6F_05F_007.04,sib/self,NULL,NULL,NULL,1889_1_6F_05F_007.04,NULL,8,NULL,CC07_C_007.04,NULL,NULL
