09PX0001,NULL,09PX,B73,Z019E0201,08PN0308_000b,NULL,1,1,1,1,16,19,NULL,CheckB,NULL,0
09PX0002,NULL,09PX,(B73?MS71)S5,Z019E0002,NULL,NULL,1,2,1,1,16,19,NULL,Trial,NULL,0
09PX0003,NULL,09PX,(B73?MS71)S5,Z019E0039,NULL,NULL,1,3,1,1,16,19,NULL,Trial,NULL,0
09PX0004,NULL,09PX,(B73?MS71)S5,Z019E0158,NULL,NULL,1,4,1,1,16,19,NULL,Trial,NULL,0
09PX0005,NULL,09PX,(B73?MS71)S5,Z019E0179,NULL,NULL,1,5,1,1,16,19,NULL,Trial,NULL,0
09PX0006,NULL,09PX,(B73?MS71)S5,Z019E0073,NULL,NULL,1,6,1,1,16,19,NULL,Trial,NULL,0
09PX0007,NULL,09PX,(B73?MS71)S5,Z019E0100,NULL,NULL,1,7,1,1,16,19,NULL,Trial,NULL,0
09PX0008,NULL,09PX,B73,Z019E0201,08PN0308_000b,NULL,1,8,1,1,16,19,NULL,CheckB,NULL,0
09PX0009,NULL,09PX,(B73?MS71)S5,Z019E0101,NULL,NULL,1,9,1,1,16,19,NULL,Trial,NULL,0
09PX0010,NULL,09PX,(B73?MS71)S5,Z019E0147,NULL,NULL,1,10,1,1,16,19,NULL,Trial,NULL,0
09PX0011,NULL,09PX,(B73?MS71)S5,Z019E0173,NULL,NULL,1,11,1,1,16,19,NULL,Trial,NULL,0
09PX0012,NULL,09PX,(B73?MS71)S5,Z019E0053,NULL,NULL,1,12,1,1,16,19,NULL,Trial,NULL,0
09PX0013,NULL,09PX,MS71,Z019E0202,08PN0022_000b,NULL,1,13,1,1,16,19,NULL,Check,NULL,0
09PX0014,NULL,09PX,(B73?MS71)S5,Z019E0022,NULL,NULL,1,14,1,1,16,19,NULL,Trial,NULL,0
09PX0015,NULL,09PX,(B73?MS71)S5,Z019E0200,NULL,NULL,1,15,1,1,16,19,NULL,Trial,NULL,0
09PX0016,NULL,09PX,(B73?MS71)S5,Z019E0030,NULL,NULL,1,16,1,1,16,19,NULL,Trial,NULL,0
09PX0017,NULL,09PX,(B73?MS71)S5,Z019E0118,NULL,NULL,1,17,1,1,16,19,NULL,Trial,NULL,0
09PX0018,NULL,09PX,(B73?MS71)S5,Z019E0196,NULL,NULL,1,18,1,1,16,19,NULL,Trial,NULL,0
09PX0019,NULL,09PX,(B73?MS71)S5,Z019E0071,NULL,NULL,1,19,1,1,16,19,NULL,Trial,NULL,0
09PX0020,NULL,09PX,(B73?MS71)S5,Z019E0127,NULL,NULL,1,20,1,1,16,19,NULL,Trial,NULL,0
09PX0021,NULL,09PX,(B73?MS71)S5,Z019E0029,NULL,NULL,1,21,2,1,16,19,NULL,Trial,NULL,0
09PX0022,NULL,09PX,(B73?MS71)S5,Z019E0103,NULL,NULL,1,22,2,1,16,19,NULL,Trial,NULL,0
09PX0023,NULL,09PX,(B73?MS71)S5,Z019E0189,NULL,NULL,1,23,2,1,16,19,NULL,Trial,NULL,0
09PX0024,NULL,09PX,(B73?MS71)S5,Z019E0114,NULL,NULL,1,24,2,1,16,19,NULL,Trial,NULL,0
09PX0025,NULL,09PX,(B73?MS71)S5,Z019E0008,NULL,NULL,1,25,2,1,16,19,NULL,Trial,NULL,0
09PX0026,NULL,09PX,(B73?MS71)S5,Z019E0145,NULL,NULL,1,26,2,1,16,19,NULL,Trial,NULL,0
09PX0027,NULL,09PX,(B73?MS71)S5,Z019E0138,NULL,NULL,1,27,2,1,16,19,NULL,Trial,NULL,0
09PX0028,NULL,09PX,(B73?MS71)S5,Z019E0092,NULL,NULL,1,28,2,1,16,19,NULL,Trial,NULL,0
