08K0035,NULL,08K,(B73؃ML228)S5,Z003E0029,NULL,06A0468,1,18,2,NULL,NULL,3,NULL,Trial,range:1 plot:18 orientation:N;,3
08K0036,NULL,08K,(B73؃ML228)S5,Z003E0158,NULL,07A1603,2,18,2,NULL,NULL,3,NULL,Trial,range:1 plot:18 orientation:S;,3
08K0037,NULL,08K,(B73؃ML228)S5,Z003E0038,NULL,07A5883,1,19,2,NULL,NULL,3,NULL,Trial,range:1 plot:19 orientation:N;,3
08K0038,NULL,08K,(B73؃ML228)S5,Z003E0091,NULL,07A5664,2,19,2,NULL,NULL,3,NULL,Trial,range:1 plot:19 orientation:S;,3
08K0039,NULL,08K,(B73؃ML228)S5,Z003E0147,NULL,07A1259,1,20,2,NULL,NULL,3,NULL,Trial,range:1 plot:20 orientation:N;,3
08K0040,NULL,08K,(B73؃ML228)S5,Z003E0016,NULL,07A5787,2,20,2,NULL,NULL,3,NULL,Trial,range:1 plot:20 orientation:S;,3
08K0041,NULL,08K,CML228,Z003E0202,NULL,JK08-147.1,1,21,2,NULL,NULL,3,NULL,Check,range:1 plot:21 orientation:N;,3
08K0042,NULL,08K,(B73؃ML228)S5,Z003E0008,NULL,07A5137,2,21,2,NULL,NULL,3,NULL,Trial,range:1 plot:21 orientation:S;,3
08K0043,NULL,08K,(B73؃ML228)S5,Z003E0196,NULL,07A5470,1,22,2,NULL,NULL,3,NULL,Trial,range:1 plot:22 orientation:N;,3
08K0044,NULL,08K,(B73؃ML228)S5,Z003E0026,NULL,07A3584,2,22,2,NULL,NULL,3,NULL,Trial,range:1 plot:22 orientation:S;,3
08K0045,NULL,08K,(B73؃ML228)S5,Z003E0086,NULL,07A4932,1,23,3,NULL,NULL,3,NULL,Trial,range:1 plot:23 orientation:N;,3
08K0046,NULL,08K,(B73؃ML228)S5,Z003E0013,NULL,07A4402,2,23,3,NULL,NULL,3,NULL,Trial,range:1 plot:23 orientation:S;,3
08K0047,NULL,08K,(B73؃ML228)S5,Z003E0082,NULL,07A3436,1,24,3,NULL,NULL,3,NULL,Trial,range:1 plot:24 orientation:N;,3
08K0048,NULL,08K,(B73؃ML228)S5,Z003E0055,NULL,07A1586,2,24,3,NULL,NULL,3,NULL,Trial,range:1 plot:24 orientation:S;,3
08K0049,NULL,08K,(B73؃ML228)S5,Z003E0014,NULL,07A0881,1,25,3,NULL,NULL,3,NULL,Trial,range:1 plot:25 orientation:N;,3
08K0050,NULL,08K,(B73؃ML228)S5,Z003E0123,NULL,07A5584,2,25,3,NULL,NULL,3,NULL,Trial,range:1 plot:25 orientation:S;,3
08K0051,NULL,08K,(B73؃ML228)S5,Z003E0175,NULL,07A3593,1,26,3,NULL,NULL,3,NULL,Trial,range:1 plot:26 orientation:N;,3
08K0052,NULL,08K,B73,Z003E0201,NULL,JK06-D1 bulk,2,26,3,NULL,NULL,3,NULL,CheckB,range:1 plot:26 orientation:S;,3
08K0053,NULL,08K,(B73؃ML228)S5,Z003E0111,NULL,07A5164,1,27,3,NULL,NULL,3,NULL,Trial,range:1 plot:27 orientation:N;,3
08K0054,NULL,08K,(B73؃ML228)S5,Z003E0198,NULL,07A4798,2,27,3,NULL,NULL,3,NULL,Trial,range:1 plot:27 orientation:S;,3
08K0055,NULL,08K,CML228,Z003E0202,NULL,JK08-147.1,1,28,3,NULL,NULL,3,NULL,Check,range:1 plot:28 orientation:N;,3
08K0056,NULL,08K,(B73؃ML228)S5,Z003E0089,NULL,07A5801,2,28,3,NULL,NULL,3,NULL,Trial,range:1 plot:28 orientation:S;,3
08K0057,NULL,08K,(B73؃ML228)S5,Z003E0093,NULL,07A4484,1,29,3,NULL,NULL,3,NULL,Trial,range:1 plot:29 orientation:N;,3
08K0058,NULL,08K,(B73؃ML228)S5,Z003E0119,NULL,07A0671,2,29,3,NULL,NULL,3,NULL,Trial,range:1 plot:29 orientation:S;,3
08K0059,NULL,08K,(B73؃ML228)S5,Z003E0039,NULL,07A5280,1,30,3,NULL,NULL,3,NULL,Trial,range:1 plot:30 orientation:N;,3
08K0060,NULL,08K,(B73؃ML228)S5,Z003E0146,NULL,07A1930,2,30,3,NULL,NULL,3,NULL,Trial,range:1 plot:30 orientation:S;,3
08K0061,NULL,08K,(B73؃ML228)S5,Z003E0080,NULL,07A4186,1,31,3,NULL,NULL,3,NULL,Trial,range:1 plot:31 orientation:N;,3
08K0062,NULL,08K,(B73؃ML228)S5,Z003E0077,NULL,07A4216,2,31,3,NULL,NULL,3,NULL,Trial,range:1 plot:31 orientation:S;,3
08K0063,NULL,08K,(B73؃ML228)S5,Z003E0124,NULL,07A4393,1,32,3,NULL,NULL,3,NULL,Trial,range:1 plot:32 orientation:N;,3
08K0064,NULL,08K,(B73؃ML228)S5,Z003E0133,NULL,07A5474,2,32,3,NULL,NULL,3,NULL,Trial,range:1 plot:32 orientation:S;,3
08K0065,NULL,08K,(B73؃ML228)S5,Z003E0140,NULL,07A4610,1,33,3,NULL,NULL,3,NULL,Trial,range:1 plot:33 orientation:N;,3
08K0066,NULL,08K,(B73؃ML228)S5,Z003E0163,NULL,07A4278,2,33,3,NULL,NULL,3,NULL,Trial,range:1 plot:33 orientation:S;,3
08K0067,NULL,08K,(B73؃ML228)S5,Z003E0155,NULL,07A4982,1,34,4,NULL,NULL,3,NULL,Trial,range:1 plot:34 orientation:N;,3
08K0068,NULL,08K,(B73؃ML228)S5,Z003E0176,NULL,07A4366,2,34,4,NULL,NULL,3,NULL,Trial,range:1 plot:34 orientation:S;,3
08K0069,NULL,08K,B73,Z003E0201,NULL,JK06-D1 bulk,1,35,4,NULL,NULL,3,NULL,CheckB,range:1 plot:35 orientation:N;,3
08K0070,NULL,08K,(B73؃ML228)S5,Z003E0015,NULL,07A4284,2,35,4,NULL,NULL,3,NULL,Trial,range:1 plot:35 orientation:S;,3
08K0071,NULL,08K,(B73؃ML228)S5,Z003E0031,NULL,07A4423,1,36,4,NULL,NULL,3,NULL,Trial,range:1 plot:36 orientation:N;,3
08K0072,NULL,08K,(B73؃ML228)S5,Z003E0166,NULL,07A3387,2,36,4,NULL,NULL,3,NULL,Trial,range:1 plot:36 orientation:S;,3
08K0073,NULL,08K,(B73؃ML228)S5,Z003E0081,NULL,07A4212,1,37,4,NULL,NULL,3,NULL,Trial,range:1 plot:37 orientation:N;,3
08K0074,NULL,08K,(B73؃ML228)S5,Z003E0113,NULL,06A0602,2,37,4,NULL,NULL,3,NULL,Trial,range:1 plot:37 orientation:S;,3
08K0075,NULL,08K,(B73؃ML228)S5,Z003E0035,NULL,07A4743,1,38,4,NULL,NULL,3,NULL,Trial,range:1 plot:38 orientation:N;,3
08K0076,NULL,08K,(B73؃ML228)S5,Z003E0179,NULL,06A0622,2,38,4,NULL,NULL,3,NULL,Trial,range:1 plot:38 orientation:S;,3
08K0077,NULL,08K,(B73؃ML228)S5,Z003E0174,NULL,07A1598,1,39,4,NULL,NULL,3,NULL,Trial,range:1 plot:39 orientation:N;,3
08K0078,NULL,08K,(B73؃ML228)S5,Z003E0168,NULL,07A1182,2,39,4,NULL,NULL,3,NULL,Trial,range:1 plot:39 orientation:S;,3
08K0079,NULL,08K,(B73؃ML228)S5,Z003E0072,NULL,07A5669,1,40,4,NULL,NULL,3,NULL,Trial,range:1 plot:40 orientation:N;,3
08K0080,NULL,08K,(B73؃ML228)S5,Z003E0007,NULL,07A3472,2,40,4,NULL,NULL,3,NULL,Trial,range:1 plot:40 orientation:S;,3
