09BD0001,NULL,09BD,SC213R,NULL,NULL,02C4844BLK,NULL,NULL,1,1,NULL,NULL,NULL,Trial,NULL,31
09BD0002,NULL,09BD,B73,NULL,NULL,08PN0000,NULL,NULL,1,1,NULL,NULL,NULL,Check,NULL,31
09BD0003,NULL,09BD,NC352,NULL,NULL,02F1235BLK,NULL,NULL,1,1,NULL,NULL,NULL,Trial,NULL,31
09BD0004,NULL,09BD,Ki11,NULL,08PN0015_001b,NULL,NULL,NULL,1,1,NULL,NULL,NULL,Trial,NULL,31
09BD0005,NULL,09BD,A635,NULL,08JD1174_001b,NULL,NULL,NULL,1,1,NULL,NULL,NULL,Trial,NULL,31
09BD0006,NULL,09BD,NC358,NULL,NULL,08PN0024_000,NULL,NULL,1,1,NULL,NULL,NULL,checkb,NULL,31
09BD0007,NULL,09BD,Mo47,NULL,08JD1468_001b,NULL,NULL,NULL,1,1,NULL,NULL,NULL,Trial,NULL,31
09BD0008,NULL,09BD,NC314,NULL,08JD1120_001b,NULL,NULL,NULL,1,1,NULL,NULL,NULL,Trial,NULL,31
09BD0009,NULL,09BD,NC358,NULL,NULL,08PN0024_000,NULL,NULL,1,1,NULL,NULL,NULL,Check,NULL,31
09BD0010,NULL,09BD,H95,NULL,08JD1241_001b,NULL,NULL,NULL,1,1,NULL,NULL,NULL,Trial,NULL,31
09BD0011,NULL,09BD,CML258,NULL,NULL,04P152751A,NULL,NULL,1,1,NULL,NULL,NULL,Trial,NULL,31
09BD0012,NULL,09BD,L317,NULL,NULL,04P166051A,NULL,NULL,1,1,NULL,NULL,NULL,Trial,NULL,31
09BD0013,NULL,09BD,Ki2021,NULL,NULL,04P164251A,NULL,NULL,1,1,NULL,NULL,NULL,Trial,NULL,31
09BD0014,NULL,09BD,CML91,NULL,NULL,04P161151A,NULL,NULL,1,1,NULL,NULL,NULL,Trial,NULL,31
09BD0015,NULL,09BD,R177,NULL,08JD1198_001b,NULL,NULL,NULL,1,1,NULL,NULL,NULL,Trial,NULL,31
09BD0016,NULL,09BD,F7,NULL,08JD1270_001b,NULL,NULL,NULL,1,1,NULL,NULL,NULL,Trial,NULL,31
