35,Cz0003i,NULL,Cercospora zeae-maydis,Mycosphaerella /?,group I,NULL,gray leaf spot,Pennsylvania,PN,NULL,USA,NULL,corn/leaf,peter_balintkurti,NULL,NULL,NULL,NULL,NULL
36,Cz0004i,NULL,Cercospora zeae-maydis,Mycosphaerella /?,group I,NULL,gray leaf spot,N.Carolina,NC,NULL,USA,NULL,corn/leaf,peter_balintkurti,NULL,NULL,NULL,NULL,NULL
37,Cz0005i,NULL,Cercospora zeae-maydis,Mycosphaerella /?,group I,NULL,gray leaf spot,"Andrews, NC",NC,Andrews,USA,NULL,corn/leaf,marty_carson,peter_balintkurti,NULL,NULL,NULL,NULL
38,Cz0006i,NULL,Cercospora zeae-maydis,Mycosphaerella /?,group I,NULL,gray leaf spot,"Marion, NC",NC,Marion,USA,NULL,corn/leaf,marty_carson,peter_balintkurti,NULL,NULL,NULL,NULL
39,Cz0007i,NULL,Cercospora zeae-maydis,Mycosphaerella /?,group II,NULL,gray leaf spot,Pennsylvania,PN,NULL,USA,NULL,corn/leaf,peter_balintkurti,NULL,NULL,NULL,NULL,NULL
40,Cz0008i,NULL,Cercospora zeae-maydis,Mycosphaerella /?,group II,NULL,gray leaf spot,Ohio,OH,NULL,USA,NULL,corn/leaf,peter_balintkurti,NULL,NULL,NULL,NULL,NULL
62,Gf0001i,NULL,Gibberella fujikuroi,Fusarium proliferatum,NULL,NULL,NULL,"Aurora, NY",NY,Aurora,USA,Fall 2006,Maize ear rot,santiago_mideros,NULL,Other ear rots SM,NULL,NULL,Genera and species assigned based on morphological characters only
32,Gg0001i,Gg001,Glomerella graminicola,Colletotrichum graminicola,NULL,NULL,"""anthracnose leaf blight, anthracnose stalk rot""",NULL,NULL,NULL,NULL,NULL,corn/leaf,gary_bergstrom,NULL,"C1/ 2006.5.12, 2006.10.09, 2010.07.13",NULL,NULL,sporulation: Gary's lab suggested not to seal plates with parafilm. But contamination might happen without sealing. I sealed and still got enough sporulation (Chialin).
63,Gz0001i,NULL,Gibberella zeae,Fusarium graminearum,NULL,NULL,NULL,"Aurora, NY",NY,Aurora,USA,Fall 2006,Maize ear rot,santiago_mideros,NULL,Other ear rots SM,NULL,NULL,Genera and species assigned based on morphological characters only
61,Pe0001i,NULL,Penicillium spp.,NULL,NULL,NULL,Ear rot,"Aurora, NY",NY,Aurora,USA,Fall 2006,Maize ear rot,santiago_mideros,NULL,Other ear rots SM,NULL,NULL,Genera and species assigned based on morphological characters only
57,Ps0001i,PaNY001,Pantoea stewartii,Erwinia stewartii,NULL,NULL,Stewart's wilt,"Ontario, NY",NY,Ontario,USA,NULL,NULL,wendy_wilson,david_kalb,D1/ 2007.10.31,NULL,NULL,"""may NOT be P. stewartii - different color of the colony; caused wilted plant, but no typical symptoms on leaves.  (this strain might not be the right pathogen, DO NOT use it)"""
58,Ps0002i,PsNY002,Pantoea stewartii,Erwinia stewartii,NULL,NULL,Stewart's wilt,"LeRoy, NY(GeneseeCounty)",NY,LeRoy,USA,1991,Rival sweet corn,wendy_wilson,hellen_dillard,D1/ 2007.12.11,NULL,NULL,NULL
59,Ps0003i,PsNY003,Pantoea stewartii,Erwinia stewartii,NULL,NULL,Stewart's wilt,"LeRoy, NY(GeneseeCounty)",NY,LeRoy,USA,1991,Rival sweet corn,wendy_wilson,hellen_dillard,D1/ 2007.12.11,NULL,NULL,used on NILs
60,Ps0004i,Pa94-114,Pantoea stewartii,Erwinia stewartii,NULL,NULL,Stewart's wilt,unknown,NULL,NULL,NULL,NULL,NULL,NULL,hellen_dillard,D1/ 2007.10.31,NULL,NULL,Path test by Dave Kalb; Chia-Lin Chung (30 Nov 2007)
1,St0001i,EtNY001,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),race 1,Mating typeA,northern corn leaf blight,"Freeville, NY",NY,Freeville,USA,1983,corn/leaf,gary_bergstrom,NULL,"A1/ 2004.7.6, 2006.04.25, 2007.04.17, 2007.12.11, 2010.03.29, 2010.04.26",M1/ 2004.7.6,NULL,NULL
2,St0002i,EtNY002,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,"Columbia, Co",NULL,NULL,NULL,Sep-85,corn/leaf,gary_bergstrom,NULL,A1/ 2004.7.6,M1/ 2004.7.6,NULL,NULL
3,St0003i,EtNY003,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,"Lansing, NY",NY,Lansing,USA,2003,corn/leaf,margaret_smith,NULL,A2/ 2004.7.15,M1/ 2004.8.9,NULL,NULL
4,St0004i,EtNY004,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,"Lansing, NY",NY,Lansing,USA,2003,corn/leaf,margaret_smith,NULL,A2/ 2004.7.15,M1/ 2004.8.9,NULL,NULL
5,St0005i,EtNY005,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,"Livingston, NY",NY,Livingston,USA,4-Sep,corn/leaf,margaret_smith,NULL,A2/ 2004.7.15,M1/ 2004.10.22,NULL,NULL
