06FL0380_001x,06FL0380_001,06FL0380,06FL,bc (IBM262 male): plant 1,FL06-07_380,NULL,cross,NULL,IBM262,NULL,IBM262(2)///B73//B73/32-20-1-1-1,NULL,3,NULL,P30_Et4 IBM262 BC2,NULL,NULL
06FL0380_002x,06FL0380_002,06FL0380,06FL,bc (IBM262 male): plant 2,FL06-07_380,NULL,cross,NULL,IBM262,NULL,IBM262(2)///B73//B73/32-20-1-1-2,NULL,3,NULL,P30_Et4 IBM262 BC2,NULL,NULL
06FL0380_003x,06FL0380_003,06FL0380,06FL,bc (IBM262 male): plant 3,FL06-07_380,NULL,cross,NULL,IBM262,NULL,IBM262(2)///B73//B73/32-20-1-1-3,NULL,3,NULL,P30_Et4 IBM262 BC2,NULL,NULL
06FL0380_004x,06FL0380_004,06FL0380,06FL,bc (IBM262 male): plant 4,FL06-07_380,NULL,cross,NULL,IBM262,NULL,IBM262(2)///B73//B73/32-20-1-1-4,NULL,3,NULL,P30_Et4 IBM262 BC2,NULL,NULL
06FL0380_005x,06FL0380_005,06FL0380,06FL,bc (IBM262 male): plant 5,FL06-07_380,NULL,cross,NULL,IBM262,NULL,IBM262(2)///B73//B73/32-20-1-1-5,NULL,3,NULL,P30_Et4 IBM262 BC2,NULL,NULL
06FL0380_006x,06FL0380_006,06FL0380,06FL,bc (IBM262 male): plant 6,FL06-07_380,NULL,cross,NULL,IBM262,NULL,IBM262(2)///B73//B73/32-20-1-1-6,NULL,3,NULL,P30_Et4 IBM262 BC2,NULL,NULL
06FL0381_001x,06FL0381_001,06FL0381,06FL,bc (IBM262 male): plant 1,FL06-07_381,NULL,cross,NULL,IBM262,NULL,IBM262(2)///B73//B73/32-20-1-2-1,NULL,3,NULL,P30_Et4 IBM262 BC2,NULL,NULL
06FL0381_002x,06FL0381_002,06FL0381,06FL,bc (IBM262 male): plant 2,FL06-07_381,NULL,cross,NULL,IBM262,NULL,IBM262(2)///B73//B73/32-20-1-2-2,NULL,3,NULL,P30_Et4 IBM262 BC2,NULL,NULL
06FL0381_003x,06FL0381_003,06FL0381,06FL,bc (IBM262 male): plant 3,FL06-07_381,NULL,cross,NULL,IBM262,NULL,IBM262(2)///B73//B73/32-20-1-2-3,NULL,3,NULL,P30_Et4 IBM262 BC2,NULL,NULL
06FL0381_004x,06FL0381_004,06FL0381,06FL,bc (IBM262 male): plant 4,FL06-07_381,NULL,cross,NULL,IBM262,NULL,IBM262(2)///B73//B73/32-20-1-2-4,NULL,3,NULL,P30_Et4 IBM262 BC2,NULL,NULL
06FL0381_005x,06FL0381_005,06FL0381,06FL,bc (IBM262 male): plant 5,FL06-07_381,NULL,cross,NULL,IBM262,NULL,IBM262(2)///B73//B73/32-20-1-2-5,NULL,3,NULL,P30_Et4 IBM262 BC2,NULL,NULL
06FL0381_006x,06FL0381_006,06FL0381,06FL,bc (IBM262 male): plant 6,FL06-07_381,NULL,cross,NULL,IBM262,NULL,IBM262(2)///B73//B73/32-20-1-2-6,NULL,3,NULL,P30_Et4 IBM262 BC2,NULL,NULL
06FL0382_001x,06FL0382_001,06FL0382,06FL,bc (IBM262 male): plant 1,FL06-07_382,NULL,cross,NULL,IBM262,NULL,IBM262(2)///B73//B73/32-20-1-3-1,NULL,3,NULL,P30_Et4 IBM262 BC2,NULL,NULL
06FL0382_002x,06FL0382_002,06FL0382,06FL,bc (IBM262 male): plant 2,FL06-07_382,NULL,cross,NULL,IBM262,NULL,IBM262(2)///B73//B73/32-20-1-3-2,NULL,3,NULL,P30_Et4 IBM262 BC2,NULL,NULL
06FL0382_003x,06FL0382_003,06FL0382,06FL,bc (IBM262 male): plant 3,FL06-07_382,NULL,cross,NULL,IBM262,NULL,IBM262(2)///B73//B73/32-20-1-3-3,NULL,3,NULL,P30_Et4 IBM262 BC2,NULL,NULL
06FL0382_004x,06FL0382_004,06FL0382,06FL,bc (IBM262 male): plant 4,FL06-07_382,NULL,cross,NULL,IBM262,NULL,IBM262(2)///B73//B73/32-20-1-3-4,NULL,3,NULL,P30_Et4 IBM262 BC2,NULL,NULL
06FL0382_005x,06FL0382_005,06FL0382,06FL,bc (IBM262 male): plant 5,FL06-07_382,NULL,cross,NULL,IBM262,NULL,IBM262(2)///B73//B73/32-20-1-3-5,NULL,3,NULL,P30_Et4 IBM262 BC2,NULL,NULL
06FL0382_006x,06FL0382_006,06FL0382,06FL,bc (IBM262 male): plant 6,FL06-07_382,NULL,cross,NULL,IBM262,NULL,IBM262(2)///B73//B73/32-20-1-3-6,NULL,3,NULL,P30_Et4 IBM262 BC2,NULL,NULL
06FL0383_001x,06FL0383_001,06FL0383,06FL,bc (IBM262 male): plant 1,FL06-07_383,NULL,cross,NULL,IBM262,NULL,IBM262(2)///B73//B73/32-20-1-4-1,NULL,3,NULL,P30_Et4 IBM262 BC2,NULL,NULL
06FL0383_002x,06FL0383_002,06FL0383,06FL,bc (IBM262 male): plant 2,FL06-07_383,NULL,cross,NULL,IBM262,NULL,IBM262(2)///B73//B73/32-20-1-4-2,NULL,3,NULL,P30_Et4 IBM262 BC2,NULL,NULL
06FL0383_003x,06FL0383_003,06FL0383,06FL,bc (IBM262 male): plant 3,FL06-07_383,NULL,cross,NULL,IBM262,NULL,IBM262(2)///B73//B73/32-20-1-4-3,NULL,3,NULL,P30_Et4 IBM262 BC2,NULL,NULL
06FL0383_004x,06FL0383_004,06FL0383,06FL,bc (IBM262 male): plant 4,FL06-07_383,NULL,cross,NULL,IBM262,NULL,IBM262(2)///B73//B73/32-20-1-4-4,NULL,3,NULL,P30_Et4 IBM262 BC2,NULL,NULL
06FL0383_005x,06FL0383_005,06FL0383,06FL,bc (IBM262 male): plant 5,FL06-07_383,NULL,cross,NULL,IBM262,NULL,IBM262(2)///B73//B73/32-20-1-4-5,NULL,3,NULL,P30_Et4 IBM262 BC2,NULL,NULL
