09TT0001,NULL,09TT,07PR140101A - (B73xAmes 21889)BC4S2BC1S1,Z036E0014,08FL0769_008s,NULL,NULL,1,1,1,20,A,NULL,BC,NULL,10
09TT0002,NULL,09TT,07PR140101A - (B73xAmes 21889)BC4S2BC1S1,Z036E0014,08FL0769_004s,NULL,NULL,2,1,1,20,A,NULL,BC,NULL,10
09TT0003,NULL,09TT,07FG116101 - B73,B73,08PN0034_000b,NULL,NULL,3,1,1,20,A,NULL,BC,NULL,10
09TT0004,NULL,09TT,07PR140101A - (B73xAmes 21889)BC4S2BC1S1,Z036E0014,08FL0769_003s,NULL,NULL,4,1,1,20,A,NULL,BC,NULL,10
09TT0005,NULL,09TT,07PR140101A - (B73xAmes 21889)BC4S2BC1S1,Z036E0014,08FL0770_001s,NULL,NULL,5,1,1,20,A,NULL,BC,NULL,10
09TT0006,NULL,09TT,07PR140101A - (B73xAmes 21889)BC4S2BC1S1,Z036E0014,08FL0769_002s,NULL,NULL,6,1,1,20,A,NULL,BC,NULL,10
09TT0007,NULL,09TT,07PR140101A - (B73xAmes 21889)BC4S2BC1S1,Z036E0014,08FL0765_002s,NULL,NULL,7,1,1,20,A,NULL,BC,NULL,10
09TT0008,NULL,09TT,07FG116101 - B73,B73,08PN0034_000b,NULL,NULL,8,1,1,20,A,NULL,BC,NULL,10
09TT0009,NULL,09TT,07PR140101A - (B73xAmes 21889)BC4S2BC1S1,Z036E0014,08FL0770_007s,NULL,NULL,9,1,1,20,A,NULL,BC,NULL,10
09TT0010,NULL,09TT,07PR140101A - (B73xAmes 21889)BC4S2BC1S1,Z036E0014,08FL0770_008s,NULL,NULL,10,1,1,20,A,NULL,BC,NULL,10
09TT0011,NULL,09TT,07PR140101A - (B73xAmes 21889)BC4S2BC1S1,Z036E0014,08FL0766_003s,NULL,NULL,11,1,1,20,A,NULL,BC,NULL,10
09TT0012,NULL,09TT,07PR140101A - (B73xAmes 21889)BC4S2BC1S1,Z036E0014,08FL0765_003s,NULL,NULL,12,2,1,20,A,NULL,BC,NULL,10
09TT0013,NULL,09TT,07PR140101A - (B73xAmes 21889)BC4S2BC1S1,Z036E0014,08FL0765_010s,NULL,NULL,13,2,1,20,A,NULL,BC,NULL,10
09TT0014,NULL,09TT,07FG116101 - B73,B73,08PN0034_000b,NULL,NULL,14,2,1,20,A,NULL,BC,NULL,10
09TT0015,NULL,09TT,07PR140101A - (B73xAmes 21889)BC4S2BC1S1,Z036E0014,08FL0765_005s,NULL,NULL,15,2,1,20,A,NULL,BC,NULL,10
09TT0016,NULL,09TT,07PR140101A - (B73xAmes 21889)BC4S2BC1S1,Z036E0014,08FL0766_004s,NULL,NULL,16,2,1,20,A,NULL,BC,NULL,10
09TT0017,NULL,09TT,07PR140101A - (B73xAmes 21889)BC4S2BC1S1,Z036E0014,08FL0765_007s,NULL,NULL,17,2,1,20,A,NULL,BC,NULL,10
09TT0018,NULL,09TT,07PR140101A - (B73xAmes 21889)BC4S2BC1S1,Z036E0014,08FL0765_004s,NULL,NULL,18,2,1,20,A,NULL,BC,NULL,10
09TT0019,NULL,09TT,07FG116101 - B73,B73,08PN0034_000b,NULL,NULL,19,2,1,20,A,NULL,BC,NULL,10
09TT0020,NULL,09TT,07PR140101A - (B73xAmes 21889)BC4S2BC1S1,Z036E0014,08FL0766_005s,NULL,NULL,20,2,1,20,A,NULL,BC,NULL,10
09TT0021,NULL,09TT,07PR140101A - (B73xAmes 21889)BC4S2BC1S1,Z036E0014,08FL0769_009s,NULL,NULL,21,2,1,20,A,NULL,BC,NULL,10
09TT0022,NULL,09TT,07PR140101A - (B73xAmes 21889)BC4S2BC1S1,Z036E0014,08FL0766_006s,NULL,NULL,22,2,1,20,A,NULL,BC,NULL,10
09TT0023,NULL,09TT,07PR140101A - (B73xAmes 21889)BC4S2BC1S1,Z036E0014,08FL0765_008s,NULL,NULL,23,3,1,20,A,NULL,BC,NULL,10
09TT0024,NULL,09TT,07PR140101A - (B73xAmes 21889)BC4S2BC1S1,Z036E0014,08FL0765_001s,NULL,NULL,24,3,1,20,A,NULL,BC,NULL,10
09TT0025,NULL,09TT,07PR140101A - (B73xAmes 21889)BC4S2BC1S1,Z036E0014,08FL0770_009s,NULL,NULL,25,3,1,20,A,NULL,BC,NULL,10
09TT0026,NULL,09TT,07PR140101A - (B73xAmes 21889)BC4S2BC1S1,Z036E0014,08FL0770_005s,NULL,NULL,26,3,1,20,A,NULL,BC,NULL,10
09TT0027,NULL,09TT,07PR140101A - (B73xAmes 21889)BC4S2BC1S1,Z036E0014,08FL0766_001s,NULL,NULL,27,3,1,20,A,NULL,BC,NULL,10
09TT0028,NULL,09TT,07FG116101 - B73,B73,08PN0034_000b,NULL,NULL,28,3,1,20,A,NULL,BC,NULL,10
09TT0029,NULL,09TT,07PR140101A - (B73xAmes 21889)BC4S2BC1S1,Z036E0014,08FL0765_009s,NULL,NULL,28,3,1,20,A,NULL,BC,NULL,10
09TT0030,NULL,09TT,07PR140101A - (B73xAmes 21889)BC4S2BC1S1,Z036E0014,08FL0769_010s,NULL,NULL,27,3,1,20,A,NULL,BC,NULL,10
09TT0031,NULL,09TT,07FG116101 - B73,B73,08PN0034_000b,NULL,NULL,26,3,1,20,A,NULL,BC,NULL,10
09TT0032,NULL,09TT,07PR140101A - (B73xAmes 21889)BC4S2BC1S1,Z036E0014,08FL0770_006s,NULL,NULL,25,3,1,20,A,NULL,BC,NULL,10
